"0,2-HCore","1,2-HCore","3,2-HCore","4,2-HCore","5,2-HCore"
1044,84,6,9,0
1599,108,3,0,0
1599,108,0,0,0
1599,108,6,9,0
1039,42,6,9,0
1044,84,6,9,0
1599,108,0,0,0
1008,5,0,0,0
1599,108,42,1417,18047
1039,39,12,54,76
1039,39,19,163,486
1039,43,42,1179,14198
1039,59,42,1123,12526
1039,43,42,1255,15615
1039,50,42,1269,15520
1039,39,12,54,76
1039,39,21,227,934
1039,38,0,0,0
1039,39,24,312,1460
1039,43,42,1063,11219
1039,42,36,665,5515
1039,42,37,763,6060
1039,53,42,964,9318
1039,43,42,1143,12869
1039,39,15,114,292
1039,40,33,566,3854
1039,42,39,916,8899
1039,39,24,336,1711
1039,39,12,54,76
1039,39,30,455,2790
1039,38,12,59,82
1233,80,42,1374,17164
1039,38,0,0,0
1039,39,21,245,1082
1039,41,34,705,5597
1044,84,42,1303,16374
1039,43,42,941,9494
1039,39,9,27,19
1039,39,27,401,2341
1039,38,3,0,0
1039,43,42,1313,16667
1039,43,42,1242,15805
1039,39,21,189,665
1039,43,42,1236,14503
1007,3,3,0,0
1599,108,18,173,528
1599,108,12,54,76
1599,108,42,1234,15261
1599,108,42,1915,22545
1599,108,33,832,6594
1599,108,0,0,0
1599,108,9,27,19
1599,108,18,167,583
1599,108,12,54,76
1599,108,21,280,1338
1599,108,42,1476,18899
1599,108,42,1823,21874
1599,108,15,90,190
1599,108,12,71,123
1599,108,9,27,19
1599,108,21,227,934
1599,108,33,960,8333
1599,108,10,43,36
1599,108,21,237,988
1599,108,33,832,6985
1599,108,42,1201,14011
1599,108,36,660,5434
1599,108,37,984,9454
1599,108,42,1596,17442
1599,108,12,93,175
1599,108,42,1586,19248
1599,108,9,27,19
1599,108,18,135,380
1599,108,6,9,0
1599,108,33,580,3937
1599,108,39,935,9049
1599,108,18,172,562
1599,108,9,27,19
1599,108,30,501,2975
1599,108,33,1143,10109
1599,108,21,229,873
1599,108,18,152,475
1599,108,18,179,580
1599,108,9,32,24
1599,108,3,0,0
1599,108,36,594,4180
1599,108,0,0,0
1599,108,18,223,836
1599,108,30,577,3628
1599,108,18,135,380
1599,108,9,37,30
1599,108,6,9,0
1599,108,24,368,1911
1599,108,18,135,404
1599,108,9,27,19
1599,108,0,0,0
1599,108,0,0,0
1599,108,12,54,76
1599,108,12,54,76
1599,108,9,27,19
1599,108,21,199,805
1599,108,9,27,19
1599,108,30,455,2790
1599,108,42,2376,29169
1599,108,21,245,1082
1599,108,3,0,0
1599,108,18,155,535
1599,108,21,189,665
1599,108,3,0,0
1599,108,0,0,0
1599,108,34,840,7410
1599,108,42,2273,27065
1599,108,10,43,36
1599,108,3,0,0
1599,108,6,9,0
