"0,2-HCore","1,2-HCore","3,2-HCore","4,2-HCore","5,2-HCore"
1800,15,6,9,0
106,7,6,9,0
1800,190,10,69,74
1800,53,10,58,61
1800,15,10,53,46
1800,15,10,42,35
1800,15,3,0,0
1800,15,6,9,0
1800,20,10,43,36
1800,15,3,0,0
1800,43,10,72,69
1800,30,10,43,36
1800,15,3,0,0
1800,16,10,33,19
1800,15,6,9,0
1800,15,0,0,0
1599,50,10,58,61
1599,15,9,27,19
1599,20,10,43,36
1599,41,10,53,47
1599,30,10,43,36
656,20,10,43,36
843,39,10,43,36
756,30,10,43,36
133,15,12,66,110
537,16,12,66,104
143,15,12,63,106
154,15,12,63,106
123,13,12,63,106
120,13,12,54,76
520,16,12,63,90
123,15,12,63,106
133,13,12,63,106
111,13,12,63,106
108,13,12,54,76
318,8,3,0,0
412,19,9,27,19
705,28,9,27,19
518,16,3,0,0
527,16,15,106,280
518,16,15,90,190
537,16,12,54,76
518,16,15,96,262
518,16,12,54,76
518,16,15,96,262
518,16,15,90,190
518,16,15,96,262
518,16,15,96,262
120,16,15,90,190
143,15,12,63,106
120,16,15,96,262
119,13,12,63,106
120,16,15,96,262
119,16,15,90,190
120,16,15,96,262
120,16,15,96,262
115,13,12,54,76
108,16,15,90,190
108,16,15,90,190
108,16,15,90,190
108,16,15,90,190
123,13,12,63,106
120,13,12,54,76
108,16,15,96,262
108,16,15,90,190
108,16,15,96,262
108,16,15,96,262
108,13,12,54,76
108,16,15,90,190
108,16,15,96,262
108,16,15,96,262
108,16,15,90,190
108,16,15,90,190
108,16,15,96,262
1800,46,42,1341,17739
858,43,42,1178,14384
1599,47,42,1322,17497
850,43,42,1179,14496
886,43,42,1094,12360
861,43,42,1275,16472
884,43,42,1233,15551
850,43,42,1145,14294
843,42,36,655,5069
845,42,37,840,7652
879,43,42,991,10341
861,43,42,1064,11445
843,35,15,114,292
871,40,30,573,3770
843,42,36,667,5199
1233,49,42,1371,18178
843,36,21,227,934
843,41,34,756,6625
1044,43,42,1345,17826
845,43,42,875,7764
861,44,42,1283,16774
858,43,42,1231,15705
843,36,21,227,934
843,36,21,189,665
858,43,42,1146,13672
843,34,9,27,19
843,42,39,891,8112
843,36,15,90,190
843,34,9,27,19
843,34,6,9,0
843,34,0,0,0
843,34,6,9,0
843,34,6,9,0
1800,43,6,9,0
1800,49,42,1184,14296
1800,190,42,1365,17602
1800,43,42,1166,14198
1800,92,42,1111,12507
1800,53,42,1299,16430
1800,75,42,1238,15457
1800,43,42,1147,14294
1800,43,36,655,4997
1800,43,37,840,7652
1800,67,42,1005,10344
1800,53,42,1087,11535
1800,43,18,166,556
1800,107,30,577,3775
1800,43,36,667,5316
1800,43,12,54,76
1800,128,42,1407,18104
1800,43,34,763,6626
1800,111,42,1365,17872
1800,43,42,866,7683
1800,43,42,1266,16472
1800,51,42,1221,15401
1800,43,21,227,934
1800,43,21,189,665
1800,43,42,1147,13626
1800,43,15,118,296
1800,43,6,9,0
1800,43,9,27,19
1800,43,9,27,19
1800,43,9,27,19
1800,43,6,9,0
1800,43,39,876,7869
1800,43,6,9,0
1800,43,9,27,19
1800,43,3,0,0
1800,43,9,27,19
1800,43,6,9,0
1800,43,9,27,19
1800,43,0,0,0
1800,43,3,0,0
1800,43,0,0,0
1044,36,6,9,0
1599,43,42,1234,14960
845,43,42,1095,12831
886,43,42,1017,10363
858,43,42,1147,13412
873,43,42,1105,12526
829,33,21,227,934
845,43,42,1093,12452
843,42,36,655,5069
843,42,37,763,6060
871,43,42,909,8659
858,43,42,1068,11316
828,33,15,121,325
823,33,12,54,76
1233,44,42,1211,14533
831,34,21,227,934
843,41,34,705,5597
1044,43,42,1184,14483
843,43,42,889,7886
858,43,42,1217,14848
858,43,42,1140,14039
831,34,21,189,665
858,43,42,1105,12254
829,33,15,117,275
843,42,39,773,6268
818,31,6,9,0
820,33,9,29,19
818,32,6,9,0
817,30,0,0,0
1599,43,42,1147,13890
1599,70,42,1102,12360
1599,50,42,1305,16523
1599,68,42,1233,15330
1599,39,21,227,934
1599,43,42,1165,14511
1599,42,36,655,4997
1599,42,37,840,7652
1599,96,42,1017,10381
1599,54,42,1113,12089
1599,79,30,579,3775
1599,42,36,667,5199
1599,39,12,54,76
1599,106,42,1365,17671
1599,39,21,227,934
1599,41,34,761,6625
1599,106,42,1365,17861
1599,43,42,883,7779
1599,45,42,1324,17016
1599,45,42,1191,15087
1599,39,21,189,665
1599,43,42,1197,14255
1599,39,15,118,296
1599,39,9,27,19
1599,39,9,27,19
1599,39,9,27,19
1599,39,6,9,0
1599,39,15,116,246
1599,42,39,854,7634
1599,39,0,0,0
1599,39,6,9,0
1599,39,15,90,190
1599,39,0,0,0
1599,39,0,0,0
1599,39,9,32,24
886,43,42,972,9273
850,43,42,1140,13333
861,43,42,1107,12763
843,43,42,1058,11839
801,42,36,655,4997
861,43,42,867,7680
850,43,42,1021,10773
800,42,36,667,5199
1233,44,42,1184,14496
763,36,21,227,934
818,41,34,705,5597
1044,43,42,1165,14198
837,43,42,861,7677
850,43,42,1156,14198
844,43,42,1175,14496
768,36,21,227,934
843,43,42,1094,12718
827,42,39,819,6872
732,23,0,0,0
886,43,42,1068,11378
926,44,42,1046,10556
886,43,42,1017,10529
886,42,37,795,6760
922,45,42,991,10341
886,43,42,972,8968
862,32,18,135,380
910,43,30,523,3280
1233,69,42,1111,12507
886,41,34,685,5094
1044,60,42,1097,12360
886,43,42,1074,11683
886,43,42,1017,10363
886,43,42,972,9273
862,26,6,9,0
862,26,6,9,0
861,23,0,0,0
883,43,42,1202,14525
843,36,21,227,934
850,43,42,1145,14294
843,42,36,594,4180
843,42,37,840,7652
877,43,42,948,9373
860,43,42,1105,12089
843,36,18,166,556
867,40,30,523,3280
843,42,36,667,5316
1233,44,42,1318,16736
843,36,21,227,934
843,36,21,227,934
1044,43,42,1295,16523
843,43,42,819,6916
861,43,42,1273,16106
858,43,42,1179,14525
843,36,21,227,934
858,43,42,1179,14216
843,36,15,118,296
836,35,6,9,0
843,42,39,891,8112
843,36,15,90,190
837,35,9,29,19
861,43,42,1087,12459
858,42,36,655,4997
858,42,37,775,6386
882,43,42,1014,10039
858,35,18,166,556
886,40,30,503,3011
858,42,36,667,5316
1233,60,42,1273,15848
858,36,21,227,961
858,41,34,705,5608
1044,53,42,1230,15330
858,43,42,875,7764
886,43,42,1239,15203
872,43,42,1167,13924
871,43,42,1101,12247
857,33,15,90,190
858,42,39,887,7991
854,32,15,101,231
733,33,21,189,665
840,33,21,227,934
526,23,21,189,665
843,39,21,227,934
817,33,21,227,934
494,15,6,9,0
833,42,37,810,6978
861,43,42,903,8774
850,43,42,1042,11010
787,42,36,667,5199
1233,44,42,1147,14294
1044,43,42,1147,14294
837,43,42,819,6916
850,43,42,1146,14294
843,43,42,1093,13029
737,34,21,189,665
843,43,42,1099,12932
826,42,39,819,7191
704,26,6,9,0
704,24,0,0,0
607,25,15,90,190
1233,44,36,655,5069
723,38,33,495,3135
1044,42,36,655,4997
843,42,36,655,5069
843,42,36,655,4997
843,42,36,594,4180
861,41,36,699,5487
858,40,30,449,2517
1233,44,37,840,7652
1044,42,37,840,7652
845,42,37,810,6978
843,42,37,763,6060
807,40,33,542,3511
882,43,42,867,7412
886,51,30,453,2521
1233,49,42,1006,10374
858,40,33,597,4027
1044,43,42,993,10341
880,43,42,962,9668
869,43,42,903,8621
867,43,42,867,7680
849,31,9,27,19
849,29,12,54,76
849,25,6,9,0
849,22,0,0,0
876,40,30,449,2517
1233,44,42,1087,11535
841,33,21,227,934
1044,43,42,1096,11773
849,43,42,819,6916
861,43,42,1071,11316
858,43,42,1026,10773
858,43,42,1068,11316
841,32,15,90,190
843,42,39,744,5801
1233,44,15,121,325
713,27,15,108,238
843,39,15,121,325
505,17,12,54,76
606,27,18,135,380
1233,44,18,166,556
843,39,18,166,556
1233,44,30,573,3770
850,38,26,314,1462
1044,40,30,573,3770
843,20,6,9,0
843,27,9,27,19
850,38,26,315,1463
1233,44,36,667,5316
1044,42,36,667,5199
843,42,36,667,5316
843,42,36,667,5199
841,42,36,667,5199
750,40,36,594,4180
807,32,12,54,76
461,9,6,9,0
1233,44,21,227,934
1233,44,34,763,6626
1233,86,42,1351,17856
1233,44,42,896,7894
1233,60,42,1327,17069
1233,44,42,1234,15697
1233,44,21,227,934
1233,44,21,189,665
1233,44,42,1145,13588
1233,44,15,118,296
1233,44,6,9,0
1233,44,9,27,19
1233,44,15,117,275
1233,44,39,893,8112
1233,44,9,27,19
1233,44,9,27,19
1233,44,3,0,0
1233,44,3,0,0
1233,44,3,0,0
1233,44,6,12,0
1233,44,3,0,0
1233,44,0,0,0
1233,44,3,0,0
1233,44,0,0,0
1233,44,0,0,0
1233,44,3,0,0
843,39,21,227,961
827,36,21,227,961
703,33,21,202,705
510,19,12,54,76
1044,36,21,189,665
843,39,21,227,934
818,34,21,227,934
1044,41,34,761,6625
801,39,33,495,3135
843,41,34,723,6156
843,41,34,705,5597
625,22,9,27,19
1044,43,42,862,7677
1044,43,42,1282,16651
1044,43,42,1230,15486
1044,36,21,227,934
1044,36,21,189,665
1044,43,42,1179,14000
1044,36,15,118,296
1044,36,9,27,19
1044,42,39,887,7959
1044,36,15,90,190
1044,36,3,0,0
1044,36,9,27,19
1044,36,15,90,190
1044,36,6,9,0
849,43,42,897,7894
843,43,42,861,7677
843,43,42,819,6916
704,26,9,27,19
719,27,15,116,243
703,26,9,32,24
703,26,9,27,19
701,26,6,9,0
703,26,6,9,0
701,26,6,9,0
701,26,6,9,0
858,43,42,1217,15508
858,43,42,1191,14294
843,39,9,27,19
843,39,15,121,279
843,42,39,859,7545
843,39,15,90,190
843,39,9,27,19
843,39,15,101,231
843,39,6,9,0
843,39,3,0,0
843,39,6,9,0
843,39,3,0,0
843,39,6,9,0
843,39,6,12,0
843,39,3,0,0
829,36,21,227,934
858,43,42,1105,12806
843,42,39,876,7777
814,31,9,27,19
818,32,15,101,231
704,33,21,189,665
843,42,39,781,6471
814,33,15,90,190
809,32,15,90,190
799,28,3,0,0
483,13,9,27,19
462,10,9,27,19
480,13,9,32,24
475,13,6,9,0
689,29,15,101,231
474,7,3,0,0
475,7,3,0,0
455,5,0,0,0
455,3,0,0,0
455,4,3,0,0
455,3,0,0,0
455,3,0,0,0
455,3,3,0,0
455,3,3,0,0
455,6,6,9,0
455,1,0,0,0
455,3,3,0,0
455,3,3,0,0
455,1,0,0,0
455,3,3,0,0
455,3,3,0,0
455,2,0,0,0
455,3,3,0,0
455,0,0,0,0
455,0,0,0,0
1800,7,6,9,0
1800,7,3,0,0
1800,10,6,9,0
1800,8,6,9,0
58,7,6,9,0
62,7,6,9,0
1800,49,42,1429,19058
1800,190,42,1711,22917
1800,46,19,205,725
1800,46,42,1330,17152
1800,92,42,1213,14294
1800,46,9,37,30
1800,53,42,1557,21280
1800,75,42,1531,20392
1800,46,42,1163,14294
1800,46,36,673,5743
1800,46,37,896,8594
1800,67,42,1021,10532
1800,53,42,1205,13991
1800,46,33,605,4707
1800,46,39,988,10500
1800,107,30,588,3857
1800,46,18,152,475
1800,46,36,667,5199
1800,46,30,507,3426
1800,128,42,1728,23102
1800,46,18,155,535
1800,46,21,189,665
1800,46,34,774,6758
1800,46,12,59,82
1800,111,42,1557,21171
1800,46,18,135,380
1800,46,42,978,9938
1800,46,27,399,2336
1800,46,42,1445,20022
1800,51,42,1470,19511
1800,46,21,231,992
1800,46,21,189,665
1800,46,42,1334,17363
1800,46,9,27,19
1800,46,39,1033,10481
1800,46,24,297,1445
1800,46,6,9,0
1800,46,12,54,76
1800,46,18,171,561
1800,46,9,40,33
1800,46,9,27,19
1800,46,21,273,1165
1800,46,9,40,33
1800,46,0,0,0
1599,47,42,1393,18761
843,36,19,190,653
854,43,42,1232,15719
886,43,42,1059,11582
861,43,42,1304,17347
886,43,42,1301,16955
853,43,42,1079,12218
843,42,36,686,5826
850,42,37,821,7004
882,43,42,903,8621
861,43,42,1094,12643
843,36,15,117,295
843,40,33,591,4536
845,42,39,962,10222
843,37,30,507,3426
1233,49,42,1393,18356
845,41,34,705,5597
1044,43,42,1292,17145
850,43,42,963,9835
843,36,9,27,19
843,37,27,399,2336
861,44,42,1315,17416
861,43,42,1303,17674
843,36,21,189,665
858,43,42,1213,15198
845,42,39,916,8832
843,37,24,297,1445
843,36,18,171,561
843,36,9,40,33
843,36,3,0,0
843,36,9,27,19
843,36,6,9,0
843,36,0,0,0
843,36,3,0,0
1599,47,42,1283,16752
1599,70,42,1181,13949
1599,47,9,37,30
1599,50,42,1557,21050
1599,68,42,1485,19941
1599,47,42,1179,14496
1599,47,36,673,5743
1599,47,37,896,8594
1599,96,42,1021,10532
1599,54,42,1172,13648
1599,47,33,605,4707
1599,47,39,999,10500
1599,79,30,606,3949
1599,47,18,152,475
1599,47,36,667,5199
1599,47,18,223,836
1599,47,9,27,19
1599,47,30,507,3426
1599,106,42,1681,22577
1599,47,18,155,535
1599,47,21,189,665
1599,47,34,761,6625
1599,106,42,1531,20916
1599,47,18,135,380
1599,47,42,1014,10204
1599,47,27,395,2289
1599,47,42,1446,19857
1599,47,42,1419,19035
1599,47,21,189,665
1599,47,42,1354,17493
1599,47,18,135,380
1599,47,12,54,76
1599,47,39,985,10065
1599,47,15,101,231
1599,47,6,9,0
1599,47,24,297,1445
1599,47,6,9,0
1599,47,3,0,0
1599,47,6,9,0
1599,47,3,0,0
1599,47,12,54,76
1599,47,18,169,559
1599,47,6,9,0
858,39,19,190,653
1233,49,19,190,639
679,24,15,90,190
843,41,19,190,639
657,20,13,79,131
843,36,19,190,653
782,32,18,154,429
886,43,42,1017,10382
858,43,42,1322,16593
861,43,42,1227,15424
843,43,42,1059,11839
843,42,36,660,5434
861,43,42,867,7680
858,43,42,1096,12679
843,42,39,893,8372
841,42,36,667,5199
831,37,30,455,2790
1233,49,42,1283,16619
808,36,21,227,934
843,41,34,705,5597
801,35,12,59,82
1044,43,42,1230,15641
843,43,42,935,9414
831,37,27,445,2600
858,44,42,1292,16569
855,43,42,1270,16754
814,36,21,227,934
852,43,42,1179,14751
843,42,39,895,8328
812,35,18,257,935
801,35,9,40,33
801,35,12,54,76
806,35,18,171,514
801,35,12,54,76
801,35,3,0,0
801,35,18,135,380
801,35,18,135,380
801,35,18,135,380
738,26,9,27,19
1233,49,9,27,19
1044,40,9,27,19
887,43,42,1134,12972
949,44,42,1109,12075
886,43,42,1017,10529
886,42,37,838,7558
938,45,42,1009,10532
886,43,42,1034,10382
886,42,39,801,6514
933,43,30,523,3280
1233,69,42,1211,14294
869,34,21,189,665
886,41,34,705,5234
1044,60,42,1177,13949
869,34,18,135,380
889,44,42,1125,13104
886,43,42,1059,11582
886,43,42,1034,10607
871,34,21,246,993
684,22,9,37,30
760,28,9,27,19
612,13,3,0,0
886,43,42,1418,18928
858,43,42,1147,14277
843,42,36,655,4997
852,42,37,894,8594
886,43,42,986,9719
861,43,42,1147,13596
843,41,33,604,4691
850,42,39,1001,10643
884,41,30,538,3367
843,42,36,667,5199
843,41,18,223,836
843,41,9,27,19
843,41,30,507,3426
1233,49,42,1555,21140
843,41,21,227,934
843,41,21,189,665
1044,43,42,1429,19391
853,43,42,941,9236
843,41,27,464,2673
861,44,42,1424,19159
861,43,42,1330,17970
843,41,21,227,934
861,43,42,1349,17610
850,42,39,1024,10518
843,41,15,120,306
843,41,24,297,1445
843,41,3,0,0
843,41,18,226,877
843,41,21,246,1011
843,41,18,169,537
843,41,6,9,0
843,41,18,135,380
843,41,18,135,380
843,41,18,135,380
861,43,42,1095,12466
858,42,36,673,5743
861,42,37,829,7332
886,43,42,1096,12145
858,40,33,614,4835
861,42,39,1002,10643
892,40,30,503,3011
858,42,36,667,5199
858,39,9,27,19
858,39,30,507,3426
1233,60,42,1533,20260
858,39,21,227,934
861,41,34,705,5694
1044,53,42,1364,18298
858,39,18,135,380
861,43,42,962,9785
858,39,27,391,2195
886,44,42,1380,18355
886,43,42,1330,17471
886,43,42,1250,15680
858,39,18,135,380
858,39,12,54,76
861,42,39,1017,10443
858,39,24,297,1445
858,39,21,240,939
858,38,9,40,33
858,38,6,9,0
843,42,37,810,6978
861,43,42,925,8934
858,43,42,1024,10773
839,42,36,667,5199
802,32,18,172,562
1233,49,42,1176,14496
1044,43,42,1155,14294
843,43,42,838,7070
858,44,42,1137,14072
853,43,42,1100,13034
802,34,21,189,665
851,43,42,1102,12916
843,42,39,819,7191
788,27,6,9,0
790,28,9,27,19
702,25,15,90,190
1233,49,36,664,5411
801,38,33,495,3135
1044,42,36,659,5322
744,32,27,324,1596
844,44,36,665,5515
843,42,36,655,4997
843,42,36,655,4997
727,31,24,252,1064
861,41,36,699,5487
843,40,33,573,3816
861,40,30,449,2517
1233,49,37,896,8594
1044,42,37,896,8594
853,44,37,849,7887
850,42,37,821,7004
843,40,33,604,4171
756,22,6,9,0
754,21,3,0,0
886,43,42,876,7572
901,51,30,464,2604
857,31,18,163,486
1233,49,42,1047,10730
861,40,33,617,4119
1044,43,42,995,10341
886,44,42,972,9834
884,43,42,903,8621
880,43,42,876,7829
857,31,18,163,486
850,42,39,877,7911
886,40,30,465,2606
843,32,18,152,475
1233,49,42,1166,13501
843,32,18,155,535
843,31,12,54,76
1044,43,42,1112,12859
856,43,42,891,8260
843,37,27,324,1596
861,44,42,1125,12970
861,43,42,1096,12503
861,43,42,1094,12643
850,42,39,819,6818
843,34,21,224,845
1233,49,15,117,295
783,29,15,90,190
843,44,15,117,295
612,13,9,27,19
801,38,33,614,4835
744,33,28,394,2126
1233,49,33,614,4835
1044,40,33,566,3967
843,44,33,591,4266
843,41,33,604,4691
843,40,33,566,3967
691,26,18,135,380
807,38,33,540,3612
727,28,18,135,380
762,31,18,135,380
783,35,30,507,3426
1233,49,39,1032,10800
1044,42,39,935,9413
843,42,39,771,6205
850,44,39,962,9838
845,42,39,975,10365
843,42,39,903,8696
746,29,18,135,380
837,41,36,757,6214
770,31,21,224,845
845,26,15,90,190
845,27,15,90,190
1233,49,30,606,3949
858,38,26,314,1462
1044,40,30,573,3770
858,38,26,315,1463
1233,49,18,152,475
632,19,18,135,380
843,41,18,135,380
1233,49,36,667,5199
1044,42,36,667,5199
843,44,36,667,5199
843,42,36,667,5199
843,42,36,667,5199
807,40,36,594,4180
1233,49,18,223,836
792,30,18,172,562
843,36,18,198,733
587,4,0,0,0
1233,49,30,507,3426
805,35,30,405,2280
843,41,30,507,3426
798,35,28,394,2126
656,20,9,27,19
1233,49,21,227,934
1233,49,18,155,535
1233,49,21,189,665
1233,49,34,774,6758
1233,86,42,1533,21123
1233,49,18,135,380
1233,49,42,1018,10244
1233,49,9,27,19
1233,60,42,1460,19855
1233,49,42,1464,19768
1233,49,21,227,987
1233,49,21,189,665
1233,49,42,1324,17026
1233,49,18,135,380
1233,49,12,54,76
1233,49,39,1051,10703
1233,49,24,297,1445
1233,49,3,0,0
1233,49,9,27,19
1233,49,21,273,1165
1233,49,3,0,0
1233,49,9,27,19
1233,49,3,0,0
1233,49,0,0,0
1233,49,0,0,0
843,44,21,227,934
843,41,21,227,934
774,33,21,189,665
787,30,18,135,380
843,41,18,155,535
1044,40,21,189,665
843,37,21,189,665
1044,41,34,761,6625
843,39,33,495,3135
850,44,34,739,6291
845,41,34,705,5597
764,30,16,124,302
843,44,12,54,76
627,17,9,27,19
1044,40,18,135,380
1044,43,42,935,9207
1044,44,42,1362,18891
1044,43,42,1330,17899
1044,40,21,227,934
1044,40,21,189,665
1044,43,42,1303,16684
1044,40,9,27,19
1044,42,39,962,9713
1044,40,15,101,228
1044,40,24,297,1445
1044,40,12,54,76
1044,40,6,9,0
1044,40,9,27,19
1044,40,6,9,0
1044,40,13,79,131
1044,40,6,9,0
1044,40,0,0,0
856,44,42,934,8961
850,43,42,955,9600
846,43,42,916,8659
777,29,12,54,76
798,32,24,252,1064
783,29,12,54,76
771,26,6,9,0
771,26,6,9,0
843,44,9,27,19
843,44,27,407,2385
843,37,27,401,2293
664,23,13,79,131
675,24,18,192,697
666,22,18,144,456
653,20,18,135,380
653,20,18,135,380
653,20,18,135,380
861,44,42,1330,18163
861,44,42,1283,16662
843,44,18,135,380
843,44,12,54,76
850,44,39,926,9265
843,44,15,120,306
843,44,18,192,636
843,44,21,273,1165
843,44,12,54,76
843,44,3,0,0
843,44,9,27,19
843,44,13,135,306
843,44,3,0,0
843,44,12,54,76
843,44,0,0,0
843,44,6,9,0
843,44,3,0,0
843,44,6,9,0
843,41,21,227,987
858,43,42,1197,15216
843,41,18,135,380
845,42,39,1017,10269
843,41,6,9,0
843,41,6,9,0
843,41,6,9,0
843,41,12,54,76
843,41,18,135,380
843,41,6,9,0
843,41,9,27,19
843,41,9,40,33
843,41,3,0,0
843,41,3,0,0
843,41,3,0,0
783,33,21,200,704
617,12,3,0,0
843,42,39,887,8294
843,36,15,120,306
843,37,24,297,1445
843,34,6,9,0
843,35,13,101,210
843,32,3,0,0
598,7,3,0,0
754,24,0,0,0
623,18,13,79,131
618,17,9,27,19
617,17,12,54,76
632,18,18,135,417
617,17,12,54,76
618,18,18,135,380
618,18,18,135,380
618,18,18,135,380
591,5,0,0,0
579,1,0,0,0
612,15,12,54,76
593,12,12,54,76
612,15,12,54,76
606,14,3,0,0
612,18,18,135,380
612,18,18,135,380
612,18,18,135,380
585,6,6,9,0
598,18,18,135,380
598,18,18,135,380
598,18,18,135,380
1599,96,6,9,0
1599,8,6,9,0
692,8,6,9,0
1800,190,36,1020,10977
1800,92,34,747,5961
1800,56,36,872,9063
1800,49,36,953,10691
1800,54,36,888,9627
1800,67,36,949,10652
1800,53,36,884,9026
1800,38,36,861,9222
1800,107,36,949,10409
1800,38,33,725,5969
1800,128,36,895,9385
1800,38,18,162,485
1800,43,24,278,1168
1800,68,36,874,9136
1800,36,33,609,4434
1800,38,36,781,7206
1800,28,12,54,76
1800,38,36,747,6622
1800,36,27,324,1596
1800,38,36,783,7973
1800,28,12,54,76
1800,28,12,71,123
1800,38,36,639,4963
1800,38,36,861,9407
1800,28,6,9,0
1800,28,6,9,0
1800,28,6,9,0
1599,70,34,747,5961
1599,41,36,872,9063
1599,54,36,953,10691
1599,40,36,888,9627
1599,96,36,949,10652
1599,54,36,887,9034
1599,38,36,861,9222
1599,79,36,948,10409
1599,38,33,728,6014
1599,106,36,901,9392
1599,38,18,169,492
1599,45,24,278,1168
1599,45,36,875,9136
1599,36,33,621,4473
1599,38,36,781,7206
1599,28,12,54,76
1599,38,36,747,6622
1599,36,27,324,1596
1599,38,36,787,7995
1599,28,12,54,76
1599,28,12,71,123
1599,38,36,639,4963
1599,28,12,54,76
1599,28,12,54,76
1599,28,9,27,19
1599,38,36,861,9407
871,38,34,663,4703
882,38,34,738,5931
871,38,34,737,5931
886,45,34,739,5931
886,39,34,690,4978
886,43,34,727,5624
861,38,32,551,3489
1233,69,34,739,5931
886,38,24,252,1064
882,38,34,654,4662
858,38,34,660,4812
858,38,33,574,3816
828,24,12,54,76
862,38,34,661,4812
776,38,36,859,8991
743,38,36,820,8160
852,38,36,860,8991
838,38,36,787,7401
669,38,36,802,7973
843,40,36,869,9063
1233,38,36,803,7738
781,41,36,852,8991
642,36,33,556,3799
669,38,36,732,6152
673,38,36,710,5643
612,36,27,324,1596
645,38,36,758,6999
588,26,12,54,76
590,26,12,71,123
633,38,36,639,4963
705,38,36,820,8289
779,38,36,883,9627
858,41,36,939,10652
843,38,36,861,8822
701,38,36,851,9067
850,43,36,915,10328
710,38,33,725,5969
1233,38,36,865,9178
843,37,24,252,1064
805,38,36,861,8991
677,36,33,609,4434
704,38,36,781,7206
629,27,12,54,76
705,38,36,747,6622
647,36,27,324,1596
678,38,36,783,7973
673,38,36,639,4963
737,38,36,861,9407
625,25,6,9,0
625,25,6,9,0
853,38,36,886,9627
839,38,36,820,8008
669,38,36,809,8113
843,38,36,864,9275
677,38,33,690,5408
1233,38,36,861,9178
843,37,24,252,1064
779,38,36,820,8160
670,38,36,766,7168
673,38,36,724,5937
612,36,27,324,1596
645,38,36,758,7022
633,38,36,594,4180
705,38,36,828,8447
861,40,36,861,8822
838,38,36,851,9067
880,51,36,906,10287
843,38,33,725,5969
1233,49,36,869,9178
861,38,24,252,1064
858,38,36,861,8991
828,36,33,609,4434
839,38,36,770,7168
839,38,36,747,6622
814,36,27,324,1596
828,38,36,783,7973
822,38,36,639,4963
849,38,36,861,9407
782,38,36,792,7626
860,38,36,837,8483
794,38,33,658,4924
1233,44,36,853,8228
821,38,18,169,492
850,38,24,278,1168
843,38,36,803,7564
759,36,33,550,3650
784,38,36,727,5961
760,38,36,753,6798
753,38,36,639,4963
701,25,9,27,19
814,38,36,787,7653
833,38,36,851,9067
583,38,33,658,5078
1233,38,36,806,7853
633,32,18,135,380
705,38,36,815,8133
544,36,33,609,4434
574,38,36,727,6145
581,38,36,706,5736
487,36,27,324,1596
546,38,36,769,7973
532,38,36,639,4963
629,38,36,813,8398
833,38,33,725,5969
1233,44,36,852,8848
850,51,36,861,8991
818,36,33,609,4434
833,38,36,781,7206
794,27,12,54,76
833,38,36,747,6622
810,36,27,324,1596
818,38,36,783,7973
794,27,12,54,76
794,27,12,71,123
814,38,36,639,4963
839,38,36,861,9407
787,25,6,9,0
1233,38,33,690,5408
547,36,29,419,2178
580,38,33,649,4798
588,38,33,613,4322
549,38,33,641,4648
443,20,12,54,76
443,20,12,54,76
634,38,33,690,5388
1233,38,18,169,492
1233,60,24,278,1168
1233,38,36,820,7902
1233,38,36,766,7168
1233,38,36,724,5937
1233,38,36,758,7022
1233,38,36,594,4180
1233,25,9,27,19
1233,38,36,809,8014
1233,21,0,0,0
836,32,15,90,190
756,33,18,135,380
514,14,9,27,19
679,36,33,556,3799
705,38,36,732,6152
705,38,36,710,5643
653,36,27,324,1596
680,38,36,758,6999
673,38,36,639,4963
737,38,36,820,8289
617,20,0,0,0
546,36,31,473,2808
507,36,33,621,4473
485,36,33,495,3135
387,20,12,54,76
387,20,12,54,76
600,36,33,609,4434
435,25,12,54,76
578,38,36,716,5937
538,38,36,725,6145
627,38,36,767,7168
547,38,36,706,5736
633,38,36,746,6622
557,36,27,324,1596
309,14,6,9,0
487,38,36,639,4963
388,20,12,54,76
388,20,12,54,76
605,38,36,783,7973
284,15,12,54,76
590,38,36,639,4963
259,12,12,54,76
245,6,6,9,0
241,3,3,0,0
241,3,3,0,0
241,3,3,0,0
1800,190,15,98,199
1800,17,9,27,19
1800,56,15,90,190
1800,67,15,98,199
1800,13,9,27,19
1800,128,15,90,190
1800,68,15,90,190
1599,17,9,27,19
1599,41,15,90,190
1599,96,15,107,205
1599,13,9,27,19
1599,13,9,32,24
1599,106,15,90,190
1599,13,6,9,0
1599,45,15,90,190
730,17,9,27,19
841,32,15,90,190
1233,33,15,90,190
705,41,15,90,190
704,13,9,27,19
708,13,9,32,24
1233,49,15,90,190
702,13,6,9,0
849,35,15,90,190
59,10,9,27,19
1233,36,15,90,190
1800,92,18,135,380
1800,20,18,135,380
1800,128,18,135,380
1800,111,18,135,380
1800,20,18,135,380
1800,20,18,135,380
1800,111,6,9,0
1800,190,3,0,0
1800,2,0,0,0
1800,190,42,1562,20118
1800,49,12,54,76
1800,49,19,190,653
1800,49,42,1266,15819
1800,92,42,1162,12761
1800,53,42,1322,17355
1800,75,42,1405,17829
1800,49,12,54,76
1800,54,24,318,1460
1800,49,42,1087,12218
1800,49,36,676,5745
1800,49,37,821,7004
1800,67,42,989,9474
1800,53,42,1146,13493
1800,49,33,604,4767
1800,49,39,963,10222
1800,49,24,352,1866
1800,49,12,54,76
1800,49,30,507,3426
1800,49,12,59,82
1800,128,42,1530,19518
1800,49,34,705,5597
1800,111,42,1407,18372
1800,49,42,959,9753
