"0,2-HhIndex","1,2-HhIndex","3,2-HhIndex","4,2-HhIndex","5,2-HhIndex"
1207,46,19,78,104
1286,61,48,521,1374
1467,73,48,489,1211
1359,66,50,558,1464
1430,69,49,558,1500
1200,43,12,30,34
1197,45,21,105,155
1193,38,0,0,0
1299,53,25,132,209
1288,59,46,438,1023
1235,54,38,294,587
1276,55,39,303,623
1428,67,45,406,938
1371,64,48,465,1194
1197,43,15,60,76
1231,51,33,238,454
1255,55,42,405,896
1226,48,27,153,245
1196,41,12,30,34
1216,48,30,192,340
1195,40,12,35,40
1686,92,51,590,1587
1193,38,0,0,0
1200,46,21,123,183
1258,54,36,297,597
1590,91,51,586,1512
1279,56,43,408,928
1194,41,9,18,19
1212,49,28,179,317
1193,38,3,0,0
1368,67,51,585,1545
1341,65,51,582,1513
1207,45,21,84,119
1329,65,48,511,1316
1007,3,3,0,0
1827,108,19,83,120
1826,108,12,30,34
1850,110,48,558,1465
1913,115,57,684,1842
1856,110,39,333,710
1824,108,0,0,0
1826,108,9,18,19
1827,108,20,81,111
1824,108,12,30,34
1828,108,22,144,219
1866,112,52,621,1719
1897,114,54,657,1915
1826,108,15,45,55
1826,108,12,42,49
1825,108,9,18,19
1824,108,21,105,155
1857,111,42,402,865
1826,108,10,27,27
1830,108,21,120,175
1856,110,40,365,763
1846,109,50,528,1268
1836,108,37,294,587
1845,110,45,441,986
1889,116,54,631,1604
1826,108,13,54,64
1869,112,57,657,1742
1824,108,9,18,19
1827,108,18,66,86
1824,108,6,9,0
1836,108,35,238,454
1839,108,42,405,896
1824,108,18,81,111
1825,108,9,18,19
1837,108,32,201,368
1903,113,45,451,990
1833,108,21,108,157
1827,108,18,78,104
1827,108,19,92,125
1825,108,9,27,19
1824,108,3,0,0
1835,108,36,234,454
1824,108,0,0,0
1826,108,21,108,160
1839,109,33,226,441
1827,108,18,63,83
1826,108,9,27,21
1825,108,6,9,0
1835,109,27,170,273
1827,108,18,70,93
1824,108,9,18,19
1824,108,0,0,0
1824,108,0,0,0
1826,108,12,30,34
1826,108,12,30,34
1824,108,9,18,19
1827,108,21,102,147
1826,108,9,18,19
1835,108,30,192,340
2008,124,60,765,2329
1824,108,21,123,183
1824,108,3,0,0
1827,108,19,81,111
1827,108,21,84,119
1824,108,3,0,0
1824,108,0,0,0
1841,109,41,374,778
1960,124,60,735,2144
1824,108,10,27,27
1824,108,3,0,0
1825,108,6,9,0
1826,108,9,18,19
1824,108,6,9,0
1827,108,18,63,83
1824,108,6,9,0
1824,108,9,21,19
1845,109,45,439,997
1824,108,6,9,0
1826,108,12,30,34
1829,108,28,173,302
1824,108,6,9,0
1824,108,3,0,0
1864,112,54,663,1831
1861,111,54,617,1661
1824,108,9,18,19
1864,110,41,358,752
1825,108,6,9,0
1824,108,6,9,0
1826,108,12,30,34
1827,108,21,91,129
1846,110,36,272,570
1856,112,50,577,1485
1831,108,24,123,183
1532,84,0,0,0
1375,62,18,63,83
1026,17,12,30,34
1177,34,18,81,114
1321,56,18,75,99
1304,41,18,81,114
1036,21,15,45,55
1086,27,18,78,104
1369,62,12,30,34
1631,82,12,30,34
1019,11,6,9,0
1007,5,3,0,0
1026,14,3,0,0
1320,54,19,78,104
1027,14,3,0,0
1635,81,20,74,97
1053,25,15,45,55
1209,44,19,74,97
1042,21,12,30,34
1200,47,19,78,104
1436,71,45,432,1015
1139,39,21,84,119
1309,63,48,525,1351
1389,67,48,515,1354
1231,54,45,435,1010
1172,47,37,294,587
1389,62,42,348,757
1329,60,45,449,1093
1192,50,41,342,730
1165,46,36,234,454
1151,43,30,165,285
1125,34,12,35,40
1661,89,48,556,1421
1130,39,21,84,119
1194,49,36,297,597
1125,34,12,35,40
1569,89,48,548,1355
1215,52,43,408,928
1148,43,27,162,274
1120,30,3,0,0
1322,63,48,551,1399
1293,60,48,556,1421
1134,39,21,84,119
1281,61,46,515,1285
1083,25,9,18,19
1630,81,9,18,19
1532,85,9,18,19
1007,3,3,0,0
1010,6,3,0,0
1533,85,6,9,0
1025,13,6,9,0
1444,70,38,306,639
1375,63,18,81,111
1379,63,22,144,219
1480,74,48,503,1199
1369,62,21,102,147
1517,78,50,567,1426
1457,70,40,376,786
1379,63,21,120,175
1446,70,39,335,687
1433,71,47,450,1058
1423,70,42,440,986
1517,78,51,611,1532
1371,62,12,54,64
1486,75,50,600,1491
1374,62,18,63,83
1372,62,18,63,83
1365,60,6,9,0
1410,68,39,306,637
1371,62,18,81,111
1514,74,42,426,911
1384,63,21,108,157
1412,67,31,198,368
1372,63,18,63,83
1391,65,27,149,237
1375,63,18,70,93
1375,63,21,102,147
1367,60,12,30,34
1733,97,57,684,1842
1374,62,21,84,119
1366,60,9,18,19
1415,68,37,314,637
1644,97,56,666,1767
1370,62,21,123,183
1369,62,21,105,155
1365,60,6,9,0
1370,62,21,123,183
1372,62,18,63,83
1485,74,48,559,1388
1369,62,21,105,155
1471,73,48,491,1192
1456,70,38,319,648
1369,62,21,84,119
1365,61,6,9,0
1424,68,36,272,560
1465,73,46,439,1048
1381,62,24,123,183
1532,85,3,0,0
1396,61,31,225,402
1278,52,36,285,570
1257,50,37,288,561
1222,45,27,159,264
1394,62,37,294,586
1338,57,38,297,605
1176,43,30,165,285
1384,57,39,319,638
1154,35,21,107,153
1146,33,18,63,83
1679,86,39,322,661
1577,88,37,283,590
1133,28,10,27,27
1276,56,38,324,671
1133,27,12,30,34
1210,44,35,244,473
1153,35,24,123,183
1055,22,9,18,19
1320,56,19,81,111
1039,21,18,63,83
1636,83,19,81,111
1540,86,19,81,111
1025,15,12,30,34
1100,29,18,63,83
1167,30,12,30,34
1315,54,12,30,34
1295,37,12,30,34
1322,56,22,144,219
1048,25,21,84,119
1115,35,21,84,119
1046,24,21,84,119
1637,83,22,144,219
1541,86,22,144,219
1211,45,21,105,155
1445,71,51,585,1577
1222,47,21,105,155
1309,61,48,513,1217
1259,55,36,261,509
1297,57,41,369,778
1441,69,44,417,925
1387,67,48,475,1158
1231,47,19,95,132
1219,43,6,9,0
1256,53,34,229,433
1277,57,42,405,896
1221,44,6,9,0
1433,58,33,199,354
1255,54,36,238,475
1232,47,21,108,160
1223,45,12,30,34
1220,44,9,18,19
1245,50,30,192,340
1693,92,52,621,1668
1225,48,21,84,119
1226,48,21,123,183
1221,44,12,30,34
1231,48,21,84,119
1599,92,51,617,1593
1303,57,44,384,860
1240,51,28,173,302
1217,40,3,0,0
1383,69,50,603,1582
1365,66,50,585,1490
1234,48,21,84,119
1353,68,48,579,1453
1632,82,21,102,147
1535,86,21,102,147
1028,22,21,102,147
1027,22,21,84,119
1028,22,21,102,147
1027,22,21,84,119
1314,55,15,45,55
1313,53,10,27,27
1321,56,21,120,175
1401,61,32,210,366
1386,66,46,478,1115
1339,61,37,294,587
1375,64,39,370,782
1454,70,48,513,1307
1318,56,19,95,132
1337,61,33,242,469
1357,63,42,405,896
1312,50,7,13,0
1486,66,36,298,565
1326,56,21,102,147
1336,60,36,238,475
1335,58,25,146,228
1320,56,18,63,83
1310,50,9,18,19
1321,56,21,102,147
1309,52,6,9,0
1327,58,30,192,340
1718,95,53,657,1874
1312,54,21,84,119
1364,61,37,314,619
1623,94,53,657,1799
1312,52,10,27,27
1317,56,18,63,83
1380,65,45,419,961
1312,52,12,30,34
1321,58,27,171,289
1450,72,49,596,1583
1434,69,49,576,1459
1417,61,33,242,446
1372,59,30,189,377
1427,69,48,535,1363
1325,56,21,102,147
1298,40,15,45,55
1633,82,15,45,55
1536,86,15,45,55
1018,10,0,0,0
1026,16,6,9,0
1031,18,6,9,0
1021,13,6,9,0
1632,82,12,33,34
1536,86,12,33,34
1192,45,12,33,34
1057,24,12,42,49
1050,22,12,30,34
1535,86,12,42,49
1200,40,12,30,34
1312,54,9,18,19
1630,81,9,18,19
1007,0,0,0,0
1532,85,3,0,0
1126,37,21,84,119
1240,45,21,105,155
1030,24,21,84,119
1238,45,21,105,155
1189,46,21,105,155
1016,8,6,9,0
1007,6,6,9,0
1532,84,6,9,0
1280,53,39,317,635
1253,47,30,204,345
1413,67,40,398,859
1359,60,39,339,680
1174,34,18,81,111
1202,45,31,192,340
1403,61,39,340,710
1181,36,19,92,125
1216,46,33,225,441
1684,86,42,402,859
1231,45,27,170,280
1584,88,39,344,726
1355,54,30,231,398
