"0,2-d","1,2-d","3,2-d","4,2-d","5,2-d"
2050,88,6,9,0
2609,110,3,0,0
2606,108,0,0,0
2612,112,6,9,0
1576,45,6,9,0
2051,88,6,9,0
2607,109,0,0,0
1021,5,0,0,0
3096,188,90,2151,19760
1515,46,12,54,76
1560,56,21,171,494
1862,93,66,1584,15181
2225,125,66,1458,13224
2060,106,72,1773,16872
2176,122,75,1818,16796
1536,53,12,54,76
1546,55,24,243,950
1497,38,0,0,0
1870,67,27,315,1463
1811,85,57,1269,11685
1655,70,45,792,5681
1735,75,42,783,6080
2179,113,54,1134,9614
2031,100,66,1512,13642
1538,54,18,126,304
1637,68,39,621,3952
1709,75,51,1080,9215
1605,66,33,369,1748
1516,48,12,54,76
1608,62,33,477,2812
1519,50,15,72,95
2730,161,90,2052,18734
1497,38,0,0,0
1548,57,27,288,1140
1697,71,42,765,5700
2535,154,78,1881,17765
1812,83,54,1134,9823
1506,44,9,27,19
1621,67,39,495,2451
1499,40,3,0,0
2093,113,81,1935,18126
2002,104,72,1755,17081
1545,54,21,189,665
1999,110,78,1755,15618
1011,3,3,0,0
2661,128,27,216,570
2624,116,12,54,76
2971,165,69,1701,16435
3334,236,138,3042,24966
3001,168,60,1053,6935
2606,108,0,0,0
2621,116,9,27,19
2653,126,24,207,627
2627,118,12,54,76
2664,128,30,342,1425
3169,198,99,2277,20748
3285,225,129,2889,24206
2626,118,15,90,190
2625,118,15,81,133
2615,114,9,27,19
2655,124,24,243,950
3050,185,69,1314,8930
2628,118,12,45,38
2672,128,27,279,1045
2979,166,54,1008,7277
2920,167,75,1656,14991
2764,139,42,756,5567
2844,155,60,1260,9918
3288,256,153,2565,19266
2636,123,18,108,190
3140,200,111,2484,21204
2615,114,9,27,19
2668,124,21,153,399
2611,112,6,9,0
2746,141,45,675,4066
2818,147,54,1125,9405
2648,123,21,180,570
2615,114,9,27,19
2811,143,36,522,3002
3293,219,90,1665,11001
2691,131,27,261,912
2649,123,21,171,494
2669,128,24,207,608
2621,117,12,45,38
2608,110,3,0,0
2743,137,36,594,4180
2606,108,0,0,0
2665,129,27,261,874
2828,152,42,639,3705
2636,120,18,135,380
2619,116,12,45,38
2611,112,6,9,0
