"0,2-d","1,2-d","3,2-d","4,2-d","5,2-d"
740,13,3,0,0
58,2,0,0,0
1685,17,0,0,0
1897,22,6,9,0
109,7,6,9,0
3483,211,18,90,95
2447,73,15,72,76
1946,32,15,63,57
1920,27,12,45,38
1891,20,6,0,0
1896,22,6,9,0
1995,38,12,45,38
1886,17,3,0,0
2386,74,27,108,95
2148,49,15,45,38
1890,18,3,0,0
1947,34,12,36,19
1908,24,6,9,0
1892,19,0,0,0
2246,61,15,72,76
1745,21,9,27,19
1794,23,12,45,38
2185,63,15,63,57
1947,36,12,45,38
758,26,12,45,38
1149,60,12,45,38
911,34,12,45,38
182,23,21,117,171
648,35,21,108,133
209,27,18,99,152
209,22,15,81,133
166,18,15,81,133
160,16,12,54,76
622,31,18,90,114
183,27,18,99,152
183,19,15,81,133
140,17,15,81,133
134,15,12,54,76
355,8,3,0,0
459,20,9,27,19
850,42,9,27,19
592,21,3,0,0
649,42,33,207,399
610,28,18,99,190
649,35,12,54,76
612,28,18,126,304
606,26,12,54,76
612,28,18,126,304
606,26,15,90,190
612,28,18,126,304
612,28,18,126,304
171,24,18,99,190
210,24,15,81,133
173,24,18,126,304
167,22,15,81,133
173,24,18,126,304
167,22,15,90,190
173,24,18,126,304
173,24,18,126,304
161,20,12,54,76
134,17,15,90,190
134,17,15,90,190
134,17,15,90,190
134,17,15,90,190
167,15,15,81,133
161,13,12,54,76
136,18,18,126,304
130,16,15,90,190
136,18,18,126,304
136,18,18,126,304
118,13,12,54,76
130,16,15,90,190
136,18,18,126,304
136,18,18,126,304
130,16,15,90,190
130,16,15,90,190
136,18,18,126,304
2833,123,81,1980,19342
1523,100,69,1602,15409
2632,120,75,1917,19038
1398,92,66,1611,15542
1761,80,57,1359,12977
1596,106,75,1854,17860
1712,96,69,1737,16796
1347,82,63,1548,15276
1191,64,42,720,5149
1271,69,48,972,7885
1715,76,54,1206,10754
1567,79,54,1251,11913
1074,48,18,126,304
1720,64,39,621,3819
1170,61,39,693,5225
2266,127,81,2052,19855
1088,51,24,243,950
1233,68,48,918,6878
2071,108,84,2016,19456
1348,83,54,954,7885
1629,117,78,1872,18221
1538,100,72,1746,16967
1096,53,24,243,950
1081,48,21,189,665
1535,91,63,1503,14554
1042,40,9,27,19
1297,77,54,1071,8417
1078,49,15,90,190
1042,40,9,27,19
1045,39,6,9,0
1033,34,0,0,0
1038,38,6,9,0
1038,38,6,9,0
2260,47,6,9,0
2745,122,72,1602,15314
3854,272,90,2007,19190
2620,98,63,1548,15162
2983,158,60,1404,13167
2818,127,81,1881,17822
2934,144,69,1728,16682
2569,94,63,1548,15276
2413,74,39,684,5035
2493,87,48,972,7885
2937,132,60,1233,10773
2789,116,57,1287,12027
2306,60,21,180,570
2942,165,42,639,3838
2392,73,42,738,5415
2274,53,15,63,76
3488,215,96,2106,19798
2455,83,51,936,6897
3293,188,90,2034,19513
2570,95,48,927,7790
2851,124,72,1791,17841
2760,119,69,1683,16587
2318,63,24,243,950
2303,60,21,189,665
2757,112,63,1494,14497
2297,58,18,126,304
2261,48,6,9,0
2264,49,9,27,19
2327,60,9,27,19
2264,49,9,27,19
2260,47,6,9,0
2519,91,51,1017,8132
2262,47,6,9,0
2268,50,9,27,19
2257,45,3,0,0
2264,49,9,27,19
2260,47,6,9,0
2271,52,9,27,19
2255,43,0,0,0
2257,45,3,0,0
2255,43,0,0,0
1498,38,6,9,0
2544,111,75,1737,16112
1310,80,57,1377,13547
1673,82,51,1143,10659
1508,89,66,1521,14269
1624,91,60,1395,13224
994,48,27,252,950
1259,75,60,1386,13110
1103,61,42,720,5149
1183,61,42,783,6080
1627,75,51,1035,8873
1479,74,57,1278,11799
986,46,21,153,361
964,40,15,63,76
2178,117,72,1665,15618
996,47,24,243,950
1145,61,42,765,5700
1983,96,66,1602,15523
1260,75,51,990,8037
1541,108,75,1719,15979
1450,86,60,1494,14953
993,44,21,189,665
1447,86,63,1404,12901
986,47,21,144,304
1209,67,42,792,6289
950,34,6,9,0
961,40,12,36,19
957,36,6,9,0
946,31,0,0,0
2419,91,60,1485,14782
2782,132,60,1368,12977
2617,120,81,1899,17936
2733,133,69,1710,16530
2103,56,24,243,950
2368,96,66,1602,15561
2212,69,39,684,5035
2292,80,48,972,7885
2736,157,63,1260,10830
2588,113,63,1404,12692
2741,133,45,648,3838
2191,68,39,693,5225
2073,49,12,54,76
3287,189,81,1989,19266
2105,56,24,243,950
2254,77,48,918,6878
3092,179,81,2016,19494
2369,97,54,981,7923
2650,123,84,1953,18525
2559,109,63,1602,16188
2102,55,21,189,665
2556,106,72,1647,15276
2096,54,18,126,304
2071,50,15,36,19
2126,52,9,27,19
2063,45,9,27,19
2059,43,6,9,0
2095,57,24,153,285
2318,83,48,963,7847
2054,39,0,0,0
2061,44,6,9,0
2099,53,15,90,190
2054,39,0,0,0
2054,39,0,0,0
2067,47,12,45,38
1548,65,48,1035,9424
1383,88,63,1494,14174
1499,76,60,1422,13509
1134,65,54,1269,12369
978,51,39,684,5035
1502,61,45,909,7771
1354,64,51,1161,11134
957,50,39,693,5225
2053,94,66,1611,15542
875,41,24,243,950
1020,54,42,765,5700
1858,81,63,1548,15162
1135,65,45,909,7771
1416,93,63,1548,15162
1325,78,66,1611,15542
883,40,24,243,950
1322,71,57,1368,13414
1084,61,48,909,7049
821,24,0,0,0
1746,76,57,1287,11856
1862,89,57,1251,10944
1497,68,51,1152,10849
1421,62,45,873,6916
1865,86,54,1206,10754
1717,75,48,1017,9063
1234,38,18,135,380
1870,80,39,558,3306
2416,136,63,1413,13167
1383,58,42,738,5168
2221,115,57,1359,12977
1779,87,60,1314,12217
1688,70,51,1143,10659
1685,71,48,1035,9424
1200,31,6,9,0
1195,29,6,9,0
1183,23,0,0,0
1697,96,69,1665,15618
1067,50,27,252,950
1332,79,63,1548,15276
1176,61,36,594,4180
1256,66,48,972,7885
1700,73,51,1098,9652
1552,76,63,1404,12692
1069,47,21,180,570
1705,59,36,549,3306
1155,61,42,738,5415
2251,113,81,1935,18202
1073,49,24,243,950
1069,48,24,243,950
2056,105,78,1890,17936
1333,76,42,819,6916
1614,108,78,1863,17461
1523,92,66,1611,15580
1081,47,24,243,950
1520,96,69,1620,15219
1060,43,18,126,304
1023,35,6,9,0
1282,74,54,1071,8417
1063,45,15,90,190
1034,40,12,36,19
1448,75,57,1359,13129
1292,56,39,684,5035
1372,64,45,855,6536
1668,73,51,1125,10298
1185,43,21,180,570
1821,61,36,531,3040
1271,58,42,738,5415
2367,130,75,1827,17176
1189,45,27,270,1007
1334,61,45,810,5776
2172,113,69,1710,16530
1449,75,48,945,7885
1730,103,75,1773,16416
1639,84,66,1575,14877
1636,84,60,1377,12901
1175,41,15,90,190
1398,73,54,1062,8284
1166,39,18,117,247
818,41,21,189,665
1038,38,24,243,950
555,24,21,189,665
1100,57,24,243,950
1006,43,24,243,950
520,16,6,9,0
1007,57,45,882,7106
1451,64,48,1017,8987
1303,64,54,1215,11419
906,52,39,693,5225
2002,96,63,1548,15276
1807,85,66,1557,15276
1084,64,42,819,6916
1365,86,66,1557,15276
1274,71,57,1386,13775
817,40,21,189,665
1271,75,60,1422,13680
1033,60,45,891,7334
774,28,6,9,0
772,26,0,0,0
654,26,15,90,190
1846,80,42,720,5149
813,45,33,495,3135
1651,63,39,684,5035
1209,75,42,720,5149
1118,52,39,684,5035
1115,55,36,594,4180
1375,55,42,756,5567
1380,47,33,459,2527
1926,86,48,972,7885
1731,73,48,972,7885
1289,74,45,882,7106
1198,61,42,783,6080
957,50,36,558,3534
1671,80,45,891,7448
1824,87,36,477,2546
2370,114,57,1233,10811
1337,56,39,630,4066
2175,95,54,1206,10754
1733,84,54,1143,10032
1642,67,48,1008,8816
1639,65,45,909,7771
1209,35,9,27,19
1178,36,12,54,76
1144,27,6,9,0
1137,22,0,0,0
1676,71,33,459,2527
2222,107,57,1287,12027
1040,38,24,243,950
2027,91,60,1341,12312
1304,65,42,819,6916
1585,88,57,1278,11799
1494,67,51,1161,11134
1491,69,57,1278,11799
1031,34,15,90,190
1253,57,42,765,5833
1729,60,21,153,361
811,37,18,117,247
1092,56,21,153,361
537,21,12,54,76
643,27,18,135,380
1739,60,21,180,570
1102,55,21,180,570
2375,100,39,621,3819
1342,44,27,315,1463
2180,84,39,621,3819
1159,23,6,9,0
1214,31,9,27,19
1406,45,27,315,1463
1825,76,42,738,5415
1630,62,39,693,5225
1188,69,42,738,5415
1097,56,39,693,5225
1094,56,39,693,5225
856,46,36,594,4180
976,35,12,54,76
479,9,6,9,0
1743,61,24,243,950
1888,86,51,936,6897
2726,164,78,1989,19475
2003,105,57,1017,8056
2284,143,93,1971,18582
2193,108,69,1728,16948
1751,63,24,243,950
1736,59,21,189,665
2190,111,63,1467,14440
1730,58,18,126,304
1694,48,6,9,0
1697,50,9,27,19
1729,61,21,144,304
1952,90,54,1071,8417
1701,52,9,27,19
1704,53,9,27,19
1690,46,3,0,0
1690,46,3,0,0
1690,46,3,0,0
1700,52,9,18,0
1692,48,6,0,0
1688,44,0,0,0
1692,48,3,0,0
1691,46,0,0,0
1688,44,0,0,0
1690,46,3,0,0
1106,58,27,270,1007
1015,44,27,270,1007
774,37,24,216,722
542,20,12,54,76
1544,49,21,189,665
1102,56,24,243,950
1008,43,24,243,950
1693,72,48,918,6878
970,53,36,513,3154
1251,77,45,846,6365
1160,58,42,765,5700
668,24,9,27,19
1808,79,45,909,7771
2089,111,78,1854,18069
1998,99,72,1719,16701
1556,50,24,243,950
1541,50,21,189,665
1995,100,69,1593,14953
1535,49,18,126,304
1502,40,9,27,19
1757,76,54,1053,8246
1538,50,15,90,190
1495,36,3,0,0
1502,40,9,27,19
1525,46,15,90,190
1498,38,6,9,0
1366,91,60,1026,8056
1275,72,45,909,7771
1272,69,42,819,6916
787,32,9,27,19
811,43,27,162,285
783,32,12,45,38
783,30,9,27,19
775,28,6,9,0
782,29,6,9,0
775,28,6,9,0
775,28,6,9,0
1556,94,69,1710,16720
1553,94,72,1656,15333
1060,45,9,27,19
1092,58,27,171,323
1315,78,51,990,7771
1096,53,15,90,190
1064,46,9,27,19
1083,52,18,117,247
1056,43,6,9,0
1053,41,3,0,0
1063,46,6,9,0
1053,41,3,0,0
1056,43,6,9,0
1063,46,9,18,0
1055,42,3,0,0
1023,43,24,243,950
1462,77,60,1404,13528
1224,68,54,1044,8056
969,31,9,27,19
992,38,18,117,247
782,36,21,189,665
1221,66,45,837,6593
1002,40,15,90,190
989,38,15,90,190
959,28,3,0,0
513,18,9,27,19
485,12,9,27,19
509,18,12,45,38
501,14,6,9,0
751,32,18,117,247
502,9,3,0,0
505,11,3,0,0
471,5,0,0,0
467,3,0,0,0
463,6,3,0,0
462,5,0,0,0
459,3,0,0,0
463,6,3,0,0
461,5,3,0,0
465,6,6,9,0
456,1,0,0,0
461,5,3,0,0
460,4,3,0,0
456,1,0,0,0
460,4,3,0,0
462,5,3,0,0
458,2,0,0,0
463,6,3,0,0
455,0,0,0,0
455,0,0,0,0
1820,10,6,9,0
1815,7,3,0,0
1852,17,9,18,0
1825,13,9,18,0
59,7,6,9,0
64,8,6,9,0
2868,131,87,2178,20881
3977,283,111,2682,25213
2441,71,27,252,779
2743,113,81,1962,18677
3106,161,69,1647,15314
2393,55,12,45,38
2941,140,93,2421,23370
3057,157,93,2367,22401
2692,97,66,1566,15295
2536,79,45,819,5966
2616,93,51,1071,8892
3060,133,57,1260,11001
2912,122,72,1638,14953
2518,80,45,738,4883
2590,88,57,1269,11096
3065,168,42,657,3933
2421,63,21,171,494
2515,75,39,693,5225
2489,78,39,576,3496
3611,223,108,2709,25422
2424,63,21,180,570
2413,60,21,189,665
2578,86,51,963,7049
2397,56,15,72,95
3416,197,99,2412,23256
2407,58,18,135,380
2693,99,60,1233,10355
2502,77,36,477,2432
2974,132,84,2196,21926
2883,138,99,2277,21413
2441,69,30,297,1064
2426,63,21,189,665
2880,120,78,1962,18905
2387,52,9,27,19
2642,99,66,1368,11096
2446,65,27,315,1463
2383,50,6,9,0
2418,56,12,54,76
2453,69,24,198,589
2402,56,12,45,38
2387,52,9,27,19
2457,71,30,324,1216
2395,55,12,45,38
2379,47,0,0,0
2667,125,81,2088,20520
1131,53,24,216,684
1433,98,72,1755,16986
1796,88,54,1260,12084
1631,105,75,1917,18867
1747,107,75,1908,18449
1382,81,57,1332,12825
1226,69,48,855,6080
1306,70,45,882,7087
1750,79,48,1008,8816
1602,83,57,1359,13319
1109,52,21,144,323
1208,66,39,666,4655
1280,76,54,1206,10735
1179,61,36,558,3477
2301,128,90,2106,20083
1268,67,42,765,5700
2106,108,72,1854,18620
1383,82,57,1197,10222
1077,42,9,27,19
1192,69,36,477,2432
1664,119,87,1953,18962
1573,108,75,1926,19247
1116,50,21,189,665
1570,97,72,1701,16359
1332,78,54,1116,9196
1136,55,27,315,1463
1143,59,24,198,589
1092,46,12,45,38
1072,39,3,0,0
1081,43,9,27,19
1080,41,6,9,0
1068,36,0,0,0
1070,38,3,0,0
2542,111,72,1836,18183
2905,140,66,1575,14877
2192,57,15,45,38
2740,138,99,2421,23123
2856,151,93,2295,21888
2491,104,69,1611,15542
2335,79,45,819,5966
2415,91,54,1080,8892
2859,163,57,1260,11001
2711,124,66,1548,14535
2317,80,45,738,4883
2389,89,60,1296,11115
2864,141,45,693,4047
2220,61,21,171,494
2314,75,39,693,5225
2236,65,27,261,874
2189,54,9,27,19
2288,73,36,558,3477
3410,202,108,2628,24833
2223,63,21,180,570
2212,61,21,189,665
2377,85,48,918,6878
3215,193,96,2358,22952
2206,60,18,135,380
2492,106,66,1314,10678
2301,78,36,468,2375
2773,136,87,2205,21755
2682,133,99,2178,20843
2225,63,21,189,665
2679,119,81,2007,19076
2204,59,18,135,380
2200,57,12,54,76
2441,96,60,1260,10583
2222,62,21,117,247
2182,51,6,9,0
2245,67,27,315,1463
2182,51,6,9,0
2179,49,3,0,0
2182,51,6,9,0
2179,49,3,0,0
2217,59,12,54,76
2252,69,21,180,570
2182,51,6,9,0
1320,53,24,216,684
1874,68,24,216,665
765,31,15,90,190
1146,58,24,216,665
704,27,15,81,133
1143,49,24,216,684
905,41,21,162,437
1671,77,51,1143,10678
1506,110,87,1998,18069
1622,98,69,1719,16644
1257,77,54,1269,12369
1101,65,42,756,5567
1625,71,45,909,7771
1477,79,60,1386,13376
1155,73,48,999,8550
1080,61,39,693,5225
1054,59,33,477,2812
2176,111,75,1845,18031
998,52,24,243,950
1143,66,42,765,5700
962,45,15,72,95
1981,99,69,1701,16872
1258,78,51,1098,9709
1067,68,45,585,2774
1539,110,84,1926,18012
1448,106,75,1872,18202
1006,55,27,261,969
1445,88,66,1611,15827
1207,78,54,1080,8626
1018,64,42,378,1083
967,45,12,45,38
957,43,12,54,76
1011,60,36,261,627
957,43,12,54,76
945,37,3,0,0
970,47,18,135,380
970,47,18,135,380
970,47,18,135,380
802,29,9,27,19
1823,56,9,27,19
1628,47,9,27,19
1869,86,63,1476,13737
1985,99,63,1431,12711
1620,68,51,1152,10849
1544,65,48,963,7771
1988,84,57,1260,11001
1840,78,54,1188,10678
1518,60,45,846,6574
1993,80,36,549,3306
2539,141,69,1647,15314
1341,37,21,189,665
1506,58,45,783,5339
2344,121,66,1575,14877
1335,35,18,135,380
1902,92,60,1449,13889
1811,86,54,1260,12084
1808,76,54,1197,10963
1385,45,27,279,1026
733,25,12,45,38
857,32,9,27,19
638,14,3,0,0
1820,116,87,2178,20748
1455,89,63,1548,15257
1299,73,42,729,5111
1379,79,51,1071,8892
1823,81,57,1197,10089
1675,89,63,1512,14459
1281,72,42,711,4845
1353,84,60,1314,11286
1828,69,39,585,3420
1278,70,39,693,5225
1200,60,27,261,874
1153,49,9,27,19
1252,71,36,558,3477
2374,128,93,2421,23218
1196,58,24,243,950
1176,55,21,189,665
2179,121,90,2196,21242
1456,87,54,1125,9519
1265,75,48,621,2869
1737,123,90,2205,20995
1646,118,78,1989,19608
1204,60,24,243,950
1643,111,84,2052,19228
1405,89,63,1350,11134
1186,56,21,153,342
1209,59,27,315,1463
1143,43,3,0,0
1216,66,33,315,988
1220,62,27,279,1045
1209,64,30,252,646
1146,45,6,9,0
1168,53,18,135,380
1168,53,18,135,380
1168,53,18,135,380
1571,85,60,1377,13148
1415,68,45,819,5966
1495,77,48,954,7543
1791,86,60,1377,12768
1397,69,45,756,5035
1469,78,60,1314,11286
1944,71,36,531,3040
1394,67,39,693,5225
1269,43,9,27,19
1368,64,39,576,3496
2490,145,96,2385,22268
1312,54,24,243,950
1457,71,48,846,5890
2295,129,81,2034,19988
1286,48,18,135,380
1572,86,57,1188,10165
1381,65,33,432,2242
1853,118,84,2097,20083
1762,110,81,1989,19057
1759,99,75,1791,16967
1284,48,18,135,380
1280,46,12,54,76
1521,88,63,1341,11039
1325,57,27,315,1463
1336,58,27,270,969
1274,45,12,45,38
1262,40,6,9,0
1130,60,45,882,7106
1574,62,51,1062,9177
1426,67,51,1161,11134
1029,51,39,693,5225
951,40,21,180,570
2125,101,66,1602,15542
1930,91,63,1548,15276
1207,65,45,864,7106
1488,91,60,1494,14991
1397,87,63,1413,13794
940,40,21,189,665
1394,80,60,1422,13661
1156,65,45,891,7334
897,28,6,9,0
909,32,9,27,19
777,28,15,90,190
1969,87,45,783,5548
936,47,33,495,3135
1774,71,42,747,5434
860,42,27,324,1596
1332,82,45,792,5681
1241,70,39,684,5035
1238,62,42,729,5111
804,33,24,252,1064
1498,56,42,756,5567
1028,53,36,576,3819
1503,50,33,459,2527
2049,94,51,1071,8892
1854,82,51,1071,8892
1412,82,48,981,8113
1321,80,51,891,7087
1080,58,39,639,4218
821,23,6,9,0
818,21,3,0,0
1794,81,48,936,7638
1947,85,36,495,2641
1319,36,21,171,494
2493,117,60,1314,11248
1460,54,42,666,4180
2298,99,54,1206,10754
1856,87,54,1170,10222
1765,81,48,1008,8816
1762,68,48,954,7961
1339,39,21,171,494
1324,63,48,963,8018
1799,74,36,495,2641
1155,39,21,171,494
2345,115,66,1539,14364
1158,38,21,180,570
1131,33,12,54,76
2150,100,57,1377,13566
1427,69,48,972,8360
1236,51,27,324,1596
1708,96,63,1449,13737
1617,86,60,1377,13167
1614,77,57,1359,13319
1376,65,45,864,6878
1191,42,24,234,855
1852,65,21,144,323
934,38,15,90,190
1215,61,21,144,323
632,14,9,27,19
930,53,45,756,5035
829,39,30,396,2128
1951,82,45,756,5035
1756,70,36,585,3990
1314,75,42,675,4370
1223,72,42,711,4845
1220,60,36,585,3990
745,28,18,135,380
982,53,39,585,3686
797,33,18,135,380
849,38,18,135,380
901,47,36,558,3477
2023,95,66,1377,11495
1828,85,54,1125,9785
1105,62,45,828,6308
1386,86,57,1215,10317
1295,84,57,1251,10925
1292,70,51,1053,8949
817,34,18,135,380
1054,61,45,846,6384
869,40,24,234,855
1308,28,15,90,190
1324,29,15,90,190
2498,105,45,693,4047
1465,44,27,315,1463
2303,90,39,621,3819
1529,50,27,315,1463
1854,65,21,171,494
667,21,18,135,380
1126,55,18,135,380
1948,80,39,693,5225
1753,67,39,693,5225
1311,73,39,693,5225
1220,71,39,693,5225
1217,60,39,693,5225
979,50,36,594,4180
1870,70,27,261,874
952,41,21,180,570
1139,51,24,225,760
590,4,0,0,0
1922,74,36,558,3477
1004,50,30,405,2280
1194,69,39,576,3496
953,48,30,396,2128
706,20,9,27,19
1866,65,24,243,950
1857,65,21,180,570
1846,63,21,189,665
2011,91,51,963,7049
2849,175,93,2367,23180
1840,61,18,135,380
2126,111,66,1323,10735
1820,55,9,27,19
2407,153,96,2250,21774
2316,129,93,2259,21679
1874,71,27,279,1045
1859,64,21,189,665
2313,121,78,1935,18525
1838,61,18,135,380
1834,60,12,54,76
2075,100,66,1404,11362
1879,68,27,315,1463
1813,51,3,0,0
1835,60,9,27,19
1890,72,30,324,1216
1815,52,3,0,0
1824,56,9,27,19
1813,51,3,0,0
1811,49,0,0,0
1811,49,0,0,0
1229,62,24,243,950
1138,59,24,243,950
897,41,21,189,665
939,39,18,135,380
1129,56,21,180,570
1651,54,21,189,665
1115,45,21,189,665
1816,78,48,918,6878
1093,54,33,495,3135
1374,82,48,891,6536
1283,74,42,765,5700
857,34,18,126,304
1193,53,12,54,76
660,19,9,27,19
1645,53,18,135,380
1931,86,54,1107,9481
2212,122,81,2034,20634
2121,121,81,1953,19513
1679,59,24,243,950
1664,56,21,189,665
2118,111,81,1899,18126
1625,46,9,27,19
1880,87,57,1215,10184
1661,57,18,117,247
1684,61,27,315,1463
1656,52,12,54,76
1621,44,6,9,0
1625,46,9,27,19
1621,44,6,9,0
1684,61,15,81,133
1621,44,6,9,0
1616,40,0,0,0
1489,97,54,1080,9196
1398,89,57,1170,9956
1395,75,51,1044,8835
916,35,12,54,76
961,43,24,252,1064
933,38,12,54,76
898,29,6,9,0
898,29,6,9,0
1183,50,9,27,19
1298,75,39,513,2508
1204,62,39,495,2394
747,30,15,81,133
777,41,30,270,798
770,39,27,216,551
729,29,18,135,380
729,29,18,135,380
729,29,18,135,380
1679,115,78,1989,19817
1676,104,75,1863,18088
1201,56,18,135,380
1197,56,15,54,76
1438,88,54,1143,9671
1219,59,21,153,342
1249,68,30,252,703
1253,66,30,324,1216
1188,52,12,54,76
1178,47,3,0,0
1187,51,9,27,19
1242,66,27,189,361
1176,46,3,0,0
1188,52,12,54,76
1174,44,0,0,0
1186,50,6,9,0
1177,47,3,0,0
1179,48,6,9,0
1146,62,30,279,1045
1585,98,66,1647,16359
1110,53,18,135,380
1347,89,63,1332,10849
1088,45,6,9,0
1088,45,6,9,0
1088,45,6,9,0
1123,53,12,54,76
1158,61,18,135,380
1088,45,6,9,0
1092,47,9,27,19
1100,50,12,45,38
1085,43,3,0,0
1085,43,3,0,0
1087,44,3,0,0
905,44,24,216,722
643,13,3,0,0
1344,76,51,1035,8569
1125,46,21,153,342
1148,50,27,315,1463
1085,35,6,9,0
1148,50,18,117,228
1082,33,3,0,0
604,7,3,0,0
842,24,0,0,0
691,29,15,81,133
677,23,9,27,19
667,22,12,54,76
721,36,27,207,513
667,22,12,54,76
680,26,18,135,380
680,26,18,135,380
680,26,18,135,380
602,5,0,0,0
579,1,0,0,0
660,21,12,54,76
606,12,12,54,76
660,21,12,54,76
648,15,3,0,0
673,25,18,135,380
673,25,18,135,380
673,25,18,135,380
588,6,6,9,0
632,18,18,135,380
632,18,18,135,380
632,18,18,135,380
2286,100,6,9,0
1618,9,6,9,0
701,9,6,9,0
3637,244,72,1476,11989
2766,135,48,855,6099
2433,103,60,1206,9785
2482,99,69,1377,11628
2411,100,57,1233,10412
2720,114,60,1341,11571
2572,99,57,1197,9709
2243,69,57,1206,9994
2725,157,69,1368,11343
2260,68,45,837,6156
3271,176,57,1215,10127
2353,63,21,171,494
2634,78,27,288,1178
2492,115,57,1197,9861
2191,60,39,657,4484
2228,64,48,927,7505
2060,36,12,54,76
2246,66,45,873,6859
2110,51,30,333,1596
2192,61,48,999,8455
2063,37,12,54,76
2068,39,15,81,133
2165,55,39,684,5035
2335,76,54,1179,10184
2043,31,6,9,0
2043,31,6,9,0
2043,31,6,9,0
2565,113,48,855,6099
2232,86,60,1206,9785
2281,104,63,1368,11628
2210,86,57,1233,10412
2519,143,60,1341,11571
2371,100,60,1215,9728
2042,69,57,1206,9994
2524,129,66,1359,11343
2059,74,51,882,6232
3070,154,60,1233,10146
2152,69,24,189,513
2433,81,27,288,1178
2291,90,57,1197,9861
1990,61,45,702,4560
2027,66,48,927,7505
1859,37,12,54,76
2045,67,45,873,6859
1909,47,27,324,1596
1991,63,54,1044,8531
1862,37,12,54,76
1867,39,15,81,133
1964,57,39,684,5035
1851,35,12,54,76
1851,35,12,54,76
1846,33,9,27,19
2134,81,54,1179,10184
1361,58,42,693,4731
1410,66,45,828,6042
1339,59,45,828,6042
1648,77,45,828,6042
1500,67,42,729,5035
1653,81,45,792,5700
1188,49,36,558,3496
2199,106,45,828,6042
1562,50,24,252,1064
1420,60,39,666,4674
1156,47,39,675,4826
1174,49,36,576,3819
996,25,12,54,76
1263,56,39,675,4826
1077,66,54,1152,9671
1006,63,51,1053,8664
1315,65,54,1152,9671
1167,63,48,963,7771
838,58,51,1044,8493
1320,81,60,1206,9785
1866,67,48,981,8132
1087,79,54,1152,9671
786,50,36,576,3819
823,52,42,792,6251
841,53,42,765,5719
705,41,27,324,1596
787,53,45,891,7277
658,30,12,54,76
663,32,15,81,133
760,47,39,684,5035
930,61,51,1062,8835
1055,67,57,1233,10412
1364,81,60,1341,11571
1216,67,54,1143,9462
887,62,54,1161,9804
1369,89,60,1305,11229
904,65,45,837,6156
1915,78,54,1161,9880
1278,45,24,252,1064
1136,69,54,1152,9671
835,55,39,657,4484
872,61,48,927,7505
704,32,12,54,76
890,59,45,873,6859
754,42,27,324,1596
836,57,48,999,8455
809,51,39,684,5035
979,68,54,1179,10184
687,27,6,9,0
687,27,6,9,0
1293,68,57,1233,10412
1145,65,51,1044,8474
816,58,51,1053,8645
1298,75,54,1170,10013
833,53,42,756,5491
1844,71,54,1161,9880
1207,41,24,252,1064
1065,69,51,1053,8664
801,53,45,900,7448
819,51,42,783,6042
683,39,27,324,1596
765,52,45,891,7296
738,45,36,594,4180
908,59,51,1071,9025
1454,77,54,1143,9462
1125,58,54,1161,9804
1607,93,57,1278,11172
1142,57,45,837,6156
2153,89,54,1161,9880
1516,52,24,252,1064
1374,68,54,1152,9671
1073,51,39,657,4484
1110,55,45,900,7448
1128,56,45,873,6859
992,40,27,324,1596
1074,54,48,999,8455
1047,47,39,684,5035
1217,68,54,1179,10184
977,57,51,1017,8075
1459,78,51,1080,9063
994,54,42,729,5016
2005,83,57,1116,8740
1087,48,24,189,513
1368,57,27,288,1178
1226,66,51,1008,7961
925,49,36,567,3667
962,53,42,783,6042
926,53,45,882,7068
899,46,39,684,5035
781,26,9,27,19
1069,57,48,981,8075
1130,63,54,1161,9804
665,50,42,738,5187
1676,59,51,1026,8303
758,33,18,135,380
897,60,54,1089,8683
596,49,39,657,4484
633,49,42,792,6251
651,48,42,774,5852
515,39,27,324,1596
597,53,48,999,8455
570,47,39,684,5035
740,55,51,1071,8987
1147,61,45,837,6156
2158,85,51,1098,9481
1379,93,54,1152,9671
1078,55,39,657,4484
1115,60,48,927,7505
947,32,12,54,76
1133,59,45,873,6859
997,46,30,333,1596
1079,58,48,999,8455
950,33,12,54,76
955,35,15,81,133
1052,52,39,684,5035
1222,72,54,1179,10184
930,27,6,9,0
1693,55,42,756,5491
613,46,36,441,2204
650,48,39,675,4826
668,49,39,648,4351
614,50,45,711,4731
474,25,12,54,76
474,25,12,54,76
757,53,42,756,5491
1786,66,24,189,513
2067,90,27,288,1178
1925,73,51,1026,8322
1661,55,45,900,7448
1679,55,42,783,6042
1625,54,45,891,7296
1598,48,36,594,4180
1480,27,9,27,19
1768,62,48,999,8493
1471,21,0,0,0
1149,45,15,90,190
1007,37,18,135,380
562,14,9,27,19
845,51,36,576,3819
882,52,42,792,6251
900,53,42,765,5719
764,41,27,324,1596
846,53,45,891,7277
819,48,39,684,5035
989,61,51,1062,8835
692,20,0,0,0
599,44,33,477,2812
545,48,45,702,4560
518,41,33,495,3135
405,23,12,54,76
405,23,12,54,76
688,50,39,657,4484
450,26,12,54,76
636,47,42,783,6042
582,48,42,792,6251
725,52,45,900,7448
600,47,42,774,5852
743,52,45,873,6859
607,37,27,324,1596
315,14,6,9,0
519,45,39,684,5035
406,26,12,54,76
406,26,12,54,76
689,52,48,999,8455
293,15,12,54,76
662,45,39,684,5035
266,12,12,54,76
248,6,6,9,0
242,3,3,0,0
242,3,3,0,0
242,3,3,0,0
3434,206,21,126,228
1890,20,9,27,19
2230,68,15,90,190
2517,83,21,126,228
1850,14,9,27,19
