"0,2-nd","1,2-nd","3,2-nd","4,2-nd","5,2-nd"
1326859,4290,2802,454752,7962615
971383,1566,99,1449,0
971383,1566,99,1449,0
1984270,4763,2901,489582,8627064
1694871,4257,2574,422370,7744286
1090382,3357,2433,381834,7178694
1966581,5243,2871,470664,8244480
1129260,3058,1917,287946,5448649
3392522,5350,2790,486585,8537878
1761421,2605,888,122607,2109266
1490913,4448,2622,414612,7592837
1088594,3069,2139,354384,6941726
1110786,3003,1959,314199,5807711
939115,2073,993,125451,2141794
1021919,2930,2085,340920,6507880
999848,2528,1563,243045,4618824
1227955,3626,2511,415602,7510225
2290973,5730,2907,477864,8155826
1705503,3780,2598,432189,7631084
2551769,7367,3300,525735,8696870
1741554,3701,2124,334818,5746208
3967293,7693,3096,517581,8537878
2361810,3842,1077,142236,2109266
2104500,4837,2790,469737,8016081
1635078,3180,1743,250902,4010292
1702629,3563,2190,378648,6941726
1722209,3642,2172,354933,6167210
1556130,2460,1011,133668,2141794
1636802,3403,2277,384498,6960270
1615376,2989,1728,280377,5003479
1833311,4583,2793,465948,7962615
1412959,3411,2346,375786,6892079
2281562,5631,2775,455652,7773242
1450948,3228,1884,284805,5098973
3688439,6888,2952,471987,7902252
1599289,2988,840,77301,1027159
2062386,3965,1167,146979,2259309
1813886,4399,2514,410652,7274720
1343021,2794,1533,211014,3514373
1411003,3156,1962,321471,6148134
1343940,3059,2067,329877,6198351
1322102,2662,1653,263223,5003479
1195408,1519,195,9567,86735
1551535,3611,2340,396360,7038987
1689953,4108,2649,430947,7631084
839666,2620,1809,256167,4879922
3122979,4057,2394,404793,7201608
999502,1740,546,50859,782040
1208666,3557,2490,383751,7126083
728204,2441,1668,225135,4010292
799424,2586,1908,299367,6028567
821169,2562,1857,285255,5387032
645177,1834,990,114759,2141794
728309,2723,2235,340065,6960270
705577,2357,1710,245970,5003479
939914,3113,2415,385002,7049456
1726884,3950,2145,326394,5746208
3968911,7026,2937,492741,8155294
2064640,6897,2994,463104,8016081
1620540,3468,1776,253458,4010292
1687152,3888,2250,378567,6943379
1494861,2119,351,24741,239191
1708499,3895,2196,355761,6167210
1540138,2786,1071,136782,2141794
1622281,3680,2295,386577,6960270
1491356,2087,330,17523,142994
1497469,2177,414,26289,253935
1600058,3295,1758,281826,5003479
1818448,4919,2841,465129,7962615
1473343,1829,123,2484,0
3163224,3885,1920,320679,5448649
766376,2224,1260,142425,2279620
836065,2482,1677,245160,4841808
856656,2558,1671,229059,4211654
767607,2473,1728,234315,4415562
613485,1093,240,7344,47234
613485,1093,240,7344,47234
976894,2954,1923,283743,5139367
3282575,4883,912,86004,1027159
3707187,7952,1329,163089,2259309
3509258,5569,2643,447084,7615751
3121639,3842,2139,376749,6941726
3141792,3844,1968,331155,5807711
3057614,3589,2079,354924,6507880
3035898,3211,1560,256626,4618824
2917525,1938,195,9954,86735
3255769,4492,2457,428877,7421039
2912611,1668,0,0,0
1643530,2786,543,51561,718067
1410110,2220,591,57303,782040
768649,602,126,8163,86735
1139243,2890,1590,220860,3638918
1209461,3113,1959,327375,6325043
1229636,3178,1926,308178,5598350
1058592,2234,1002,129348,2141794
1141595,3070,2076,340299,6375146
1118282,2756,1707,267939,5003479
1346170,3841,2517,411552,7316786
985617,1295,0,0,0
746850,2178,1323,171648,2933619
655704,2262,1653,217044,4012116
633011,1889,1266,167913,3194337
500003,915,234,7335,47234
500003,915,234,7335,47234
866325,2663,1713,238707,4010292
591847,1169,303,19962,239191
816177,2470,1830,285300,5807711
726762,2414,1845,286749,6028567
936034,2909,2115,350091,6941726
748507,2393,1806,273321,5387032
956924,2957,2097,332865,6167210
786391,1900,966,124335,2141794
409868,516,84,2484,0
633384,2128,1605,233208,5003479
502135,1106,252,7470,47234
502135,1106,252,7470,47234
868549,2837,2226,363276,6960270
380893,415,180,10395,142994
846353,2425,1680,260712,5003479
337224,266,144,5778,47234
328828,128,36,1449,0
322078,9,9,0,0
322078,9,9,0,0
322078,9,9,0,0
7906130,42083,1173,63612,592249
4741004,1662,168,12537,107407
5120718,6259,615,55233,588335
5685053,8566,846,60462,592249
4700130,1188,126,11538,104063
6900578,21642,912,60696,588335
5200902,7914,657,56097,588335
3998632,1678,186,12789,107407
4423346,4484,591,54936,588335
4889453,13184,939,59985,592420
3948769,997,120,3492,20406
3954787,1225,171,12015,104234
6246630,16176,888,60633,588335
3947032,970,78,3069,0
4523468,4974,630,55863,588335
1305419,1079,177,10764,107407
1770673,2601,507,47682,588335
3195373,2922,486,53001,588335
1262544,3325,558,40473,588335
1246657,673,120,3492,20406
1254509,778,171,9990,104234
3753256,5557,675,56421,588335
1244003,646,78,3069,0
1876705,2885,537,48771,588335
88951,144,90,972,20406
3294250,3459,531,53712,588335
5740293,12482,807,44433,355984
4702532,1264,360,34947,355984
6884785,21435,885,44955,355984
6420834,16961,873,44919,355984
4707429,1305,375,35487,355984
4707429,1305,375,35487,355984
6406368,16502,315,9756,0
7883465,41251,228,0,0
4649232,312,0,0,0
8425383,49204,6660,1041597,19031122
5305498,5514,489,45432,491720
5331205,5976,1005,101736,1345922
5703321,9512,4365,846315,17145334
6317655,18417,4563,779355,15369860
5997243,12061,4818,919503,17925645
6210892,15909,5427,927099,17432785
5315789,5486,486,39915,427348
5705207,10401,1728,229176,3434440
5664553,8735,3540,738045,15447513
5455168,7218,2415,408330,7972704
5578820,8313,2676,498393,9777115
6259243,13720,3642,623466,12165320
6006952,11875,4164,796680,16233676
5435645,7049,2178,354024,6412747
5530459,7774,3096,606375,12041554
5401914,6691,1515,210951,3205433
5302733,5367,471,33336,359860
5387783,6717,1806,258552,4289763
5299072,5307,507,31707,326287
7425074,28908,6423,1027584,18891586
5522427,7740,2394,416664,7756541
6985471,23415,5748,986886,18623515
5640029,8534,3168,592002,12323153
5387671,6557,1689,207504,3311225
6052035,11794,4866,944010,18569346
5899487,11762,4746,921681,18343379
5337810,5954,930,116019,1699284
5887773,10849,4518,848691,16868713
5294010,5170,315,16704,152418
5573565,8417,3060,540837,10628106
5336304,5922,768,73683,862315
5299532,5262,441,20979,194731
5338075,5859,720,73872,858002
5355801,6105,1242,160920,2413665
5332977,5724,942,85320,1153205
5288804,4983,114,0,0
5299365,5175,432,20376,197600
5296528,5181,357,20790,208202
5289280,4844,111,1836,0
5296258,5165,357,18063,182647
5288804,4861,102,0,0
5291066,4974,174,4086,27474
5288804,4760,18,0,0
5298420,5096,300,13275,117249
5291928,5010,276,12834,122588
5298401,5195,189,4113,27474
4647633,239,9,0,0
7917775,42391,1569,103167,1014448
7896833,41821,870,50697,491720
8265071,46271,5496,932778,17713225
8781298,60014,9984,1360566,23067178
8234802,49416,6489,792828,11414041
7888862,41499,543,21348,176206
7919853,42379,1554,111852,1140171
7935658,42605,1905,173790,2151465
8512966,50631,6936,1085868,19617025
8689762,56419,9003,1232973,20760673
7902224,42117,1242,81639,795017
7894199,41715,801,37053,317471
8311519,50379,7206,899118,13059954
7895024,41747,804,35226,297787
7940879,42656,1917,143253,1402751
8227234,49219,6300,819072,12370197
8213133,46161,5391,885924,16892976
8033891,43627,3027,433341,7972419
8137209,45621,4974,718560,12264481
8657718,60053,9552,1331928,22341036
7901899,41955,1041,57222,526129
8508939,51580,8853,1380591,24618794
7924853,42284,1365,104184,1183035
8010612,43616,2952,377991,6415084
8102560,44416,4011,647721,12041554
7887610,41534,576,21033,171152
8043519,44523,4047,528219,7973274
8588550,63722,9099,1048068,15298781
7946098,43017,2232,176319,1887327
7915582,42240,1350,90873,959614
7921551,42581,1830,120258,1184213
7889441,41486,495,13950,104063
8015173,43469,2913,417852,7863321
8063443,45158,4317,511515,7372570
7912208,42362,1509,118809,1274330
7891083,41668,747,35208,307515
7974518,43441,2631,251964,3264903
7914368,42342,1488,107550,1116079
7898760,41828,888,45621,429799
7892954,41592,624,34119,359860
7925659,42413,1596,110862,1086211
7889580,41637,684,25326,196118
7968452,43122,2325,271485,4290409
9789348,76063,13107,1786176,29487430
7883466,41249,228,0,0
7914134,42170,1329,89595,1004492
7918062,42322,1512,141606,1841575
7883466,41249,228,0,0
8088380,44772,4098,559971,9263583
9345405,71377,12231,1606140,26533063
7885157,41430,432,12960,0
7890199,41502,510,15282,112632
7911259,42242,1404,120528,1418597
8186467,45938,4602,673623,12817077
7889466,41534,615,20241,147345
7969186,42807,1971,213048,3300053
8590292,49150,6828,1125828,20473925
8430516,49642,6573,1052721,19371678
8304146,51507,6945,841797,12211015
7885708,41493,501,17829,0
7890403,41573,624,17712,117743
7922254,42399,1581,134586,1768938
8092601,46441,4914,537273,7416650
8426614,48367,6156,963225,17906645
7936458,42927,2121,161892,1727480
7913869,42232,1449,102312,1097193
7886006,41335,381,9108,62035
7899548,41831,960,49671,451972
7884430,41176,201,2907,18544
7884430,41176,201,2907,18544
7884430,41176,201,2907,18544
7883466,41211,204,0,0
7883865,41126,126,0,0
7904250,41935,1026,69084,770146
7894521,41674,783,34542,314203
7886818,41469,528,21798,185478
7888169,41456,549,26271,250591
7946127,42948,2157,169164,1749843
7883468,41023,0,0,0
7884743,41265,297,10188,0
7883466,41242,249,0,0
7887766,41486,564,24111,217018
7883468,41023,0,0,0
7883468,41023,0,0,0
7985214,43607,3156,360738,5136346
7901456,41976,1161,81054,860643
7886241,41483,522,16551,0
7883468,41023,0,0,0
7885383,41432,465,15363,0
7894973,41805,930,49041,458888
7888423,41484,585,18270,124146
8042626,44424,3984,518373,8056551
7894038,41731,855,41166,366092
7883465,41170,180,0,0
7883466,41259,261,0,0
7883466,41119,120,0,0
8053310,44750,4242,519228,7727737
7924208,42516,1740,160767,2192866
7886092,41403,465,15417,118693
7890159,41488,570,18576,133095
7888054,41456,498,22923,228874
7883466,41211,204,0,0
7995289,43551,3243,437490,6960270
7894715,41788,891,50103,459192
7975820,43427,2823,291627,3902999
7898512,41845,996,64602,673132
7884713,41270,264,0,0
7883468,41023,0,0,0
7885368,41324,366,9261,0
7884134,41192,231,6705,0
7889304,41543,636,26001,213617
7886454,41349,411,16812,152418
7890374,41530,651,22221,154109
7883726,41105,108,0,0
7883467,41024,0,0,0
7894003,41728,873,34803,265050
7883468,41023,0,0,0
7891547,41644,726,29691,242383
7887046,41401,411,11646,0
7896281,41811,918,50535,468635
7891538,41618,738,35208,312018
7904287,41825,984,79056,971679
7894908,41658,732,29151,234536
7884486,41220,219,8325,0
7904289,42011,1155,60948,548283
7883468,41023,0,0,0
7883464,41178,192,0,0
8134563,45378,4653,669636,11984801
7973925,43271,2775,341271,5233569
7888448,41444,540,15120,89224
7885296,41288,303,8244,0
7920372,42379,1542,108981,1116383
7924853,42469,1746,134703,1554257
7886850,41389,420,12348,0
7884506,41254,261,0,0
7883466,41109,105,0,0
7889777,41425,483,20754,194389
7883466,41071,69,0,0
7904104,42058,1221,77112,756523
7895440,41751,843,39744,333526
7884379,41195,216,3195,13889
7885620,41270,348,7830,44365
7889034,41541,630,26100,213541
7884866,41206,198,0,0
7890720,41657,753,38196,338314
7918149,42444,1605,112914,1133597
7883466,41188,192,0,0
7938831,42491,1746,171693,2414121
7883468,41023,0,0,0
7883466,41041,27,0,0
7884551,41224,240,9549,0
7905552,41690,708,28251,241908
7883468,41023,0,0,0
7884714,41268,264,0,0
7897813,41913,1050,58149,547808
7884609,41332,351,10431,0
7883984,41123,111,0,0
7895927,41735,816,32301,251788
7883468,41023,0,0,0
7884875,41340,381,12132,0
7893027,41719,735,24516,178676
7883466,41168,180,0,0
8137648,46338,5379,688887,10164354
7883466,41211,204,0,0
7901383,41908,1074,68796,676761
7900041,41683,711,33651,337782
7883468,41023,0,0,0
7883466,41027,9,0,0
7885739,41486,522,19674,0
7892275,41621,774,38214,341962
7883466,41027,9,0,0
7920465,41887,978,86967,1152749
7883466,41242,249,0,0
7888557,41591,669,24372,189050
7897616,41848,978,49689,429571
7893257,41675,813,38025,324748
7892659,41586,657,29583,260376
7883468,41023,0,0,0
7883466,41116,114,0,0
7883466,41034,18,0,0
7883468,41023,0,0,0
5768326,12928,1083,91008,997823
5243671,5965,1041,95616,1012966
5700095,8811,1152,96768,999305
5589817,15635,1227,97542,1012966
4761076,2023,420,36036,384218
4938987,3268,789,84744,1012966
4725728,1473,102,4446,0
5027682,3911,783,70965,763401
5737222,12582,759,49725,491720
6882965,21550,894,51822,491720
4739812,1654,117,5202,0
4682133,749,60,189,0
4649772,269,15,0,0
4702541,1193,42,0,0
5663296,9895,1113,104400,1345922
4701695,1126,54,0,0
6904477,21994,1302,105363,1323179
4809683,2157,387,32544,415796
5343195,6159,987,100746,1322723
4753724,1927,420,27729,317357
5329634,5317,957,99846,1345922
4999718,3774,756,67392,906604
4698341,930,0,0,0
4702827,1182,168,3573,17024
4700977,1125,117,1269,2527
4704637,1098,0,0,0
4698339,939,12,0,0
6140928,16010,3741,688014,14091749
5161697,4302,864,125577,1825938
5803133,10614,4422,857655,17096865
6032350,13505,4569,836442,16308878
5477318,6767,3198,705789,15087843
5266832,5307,2109,391536,7909776
6078099,11552,2970,542637,11033072
5820928,9859,3681,745668,15794567
5342083,5860,2607,536445,10982133
5246821,5153,1968,378783,7838298
5197741,4913,1557,235017,4022357
5108567,3551,459,31329,326287
7264961,25786,5262,918927,17591302
5332019,5932,2208,404829,7756541
5107789,3494,444,31185,339283
6809441,21021,4842,887904,17367083
5452690,6578,2847,570357,12260282
5197530,4817,1494,199062,3299122
5873122,9353,4287,869670,17448479
5712177,9903,4467,869670,17608706
5147133,4221,1017,126666,1931274
5706698,8526,3861,809757,16814639
5383186,6666,2787,502731,10130990
5107609,3546,393,20619,194731
5139127,4194,939,84393,1153205
5107832,3452,396,20295,197600
5098569,3273,177,7866,0
5100145,3289,264,12735,122588
6407038,16467,255,4644,0
4708742,1209,81,4644,0
6127758,18504,3984,556038,8336668
5769400,12969,1194,106362,1139088
5782844,13240,1572,163116,2151465
6432911,18669,4533,803493,15535996
5748162,12610,993,53991,412034
6628436,23437,6357,926010,16503571
6229907,18305,4698,661572,10014767
5786466,13324,1575,136773,1402751
6119074,18379,4236,619956,9874471
6093755,15759,3819,699183,14249981
5999703,15839,3891,623025,11488274
6658701,22502,6795,1064871,19356193
5748862,12641,846,55584,526129
6423064,19639,5952,1036377,19819470
5769447,12952,1068,97560,1182370
5761584,12804,1038,84852,1072436
5963993,14611,2835,482436,9652361
6549924,29193,5868,765549,11808462
5796795,13576,1689,162099,1877732
5942125,14817,2880,387117,5764296
5755910,12968,1152,112950,1274330
5833894,13777,1980,224055,3132150
5761454,12980,1182,102735,1116079
5775304,13033,1311,106317,1086211
5734031,12228,465,28143,312227
7794785,39354,9558,1353087,23158454
5762635,12949,1185,129429,1841575
5726075,12101,369,11619,89661
5948374,15015,3120,468576,8219400
7362867,33351,8925,1276281,22250045
5752230,12680,1089,58716,435689
5748342,12616,1008,55881,425239
5752230,12680,1089,58716,435689
5756589,12878,1098,112572,1418597
6495879,17824,4815,870336,16687909
5748342,12616,1008,55881,425239
6338052,18213,4302,776421,15373945
6204236,20323,4353,584901,8822593
5744299,12548,909,50661,397594
5724860,12113,351,14067,0
5974756,16013,3453,460296,7032622
6325730,17291,3990,704538,14102484
5787908,13458,1617,152658,1726283
5800988,13489,1755,158913,1749843
5744402,12665,855,73665,860643
5909002,14515,2736,397647,6423159
5920734,14838,2949,386856,5891254
5736675,12520,702,48519,459192
5726457,12139,312,9261,0
5740958,12433,537,28152,251142
5728135,12194,330,11646,0
5766095,13060,1188,96867,1065805
5747036,12772,933,72054,756523
5732680,12384,576,35730,338314
5768566,13013,1254,107415,1133597
5743934,12585,729,52830,545813
5725093,12145,324,12132,0
6022799,15808,3522,478296,7217017
5746755,12577,813,63153,676761
5742090,12565,765,48384,429571
5737117,12365,570,28989,260376
5722815,11758,0,0,0
5722813,11957,192,0,0
5722815,11758,0,0,0
5722813,11909,123,0,0
5779785,13178,1437,129258,1693584
5722815,11758,0,0,0
5722813,11909,123,0,0
5722813,11957,192,0,0
5724599,11955,219,4113,27474
5722815,11758,0,0,0
5722825,11778,36,81,0
5722814,11759,0,0,0
5722825,11778,36,81,0
5724727,12082,327,12141,0
5722825,11778,36,81,0
5729297,12258,459,17361,138738
5722813,11909,123,0,0
5722815,11758,0,0,0
5722815,11758,0,0,0
5722813,11957,192,0,0
6404904,16415,207,0,0
6036341,14910,2733,313344,3983749
5606810,11554,4146,657063,10410917
5491157,11888,3993,627597,10224337
5381596,8603,1779,247878,3469799
6057662,14552,4488,678726,10433926
5808330,12366,4026,618408,9702103
5276054,8380,3006,455670,7257544
5932862,22324,5385,728937,11308116
5163194,7177,1503,150957,1892229
5139140,6726,1110,96084,1036317
7256815,27891,5025,711099,10731998
6800098,23196,4467,582624,8264658
5097786,6063,675,22275,131062
5561946,14940,5172,709596,11369866
5098804,5952,387,17217,117572
5344316,9532,2976,426663,6792158
5155030,6976,1248,133839,1727309
5086616,5623,132,0,0
5212530,7594,2292,313488,4685191
5096391,5925,462,18018,124146
5276747,8118,2622,434079,7342987
5290028,8415,2844,435213,7004350
5138122,6819,1365,149895,2150534
5220806,7577,2397,383337,6375146
5198140,7439,1923,263277,3876304
5091372,5758,210,8730,0
5099546,5975,546,21978,154109
5104379,6125,648,33354,265050
5114925,6440,996,62244,555294
5382942,8343,1269,135369,1593872
5197916,7369,2154,322416,5233569
5096416,5896,447,15030,89224
5103698,6220,801,41922,340708
5092384,5752,312,7830,44365
5106295,6171,687,32139,252415
5392668,9461,3699,578403,9213594
5087582,5533,189,2682,17233
5088980,5613,216,5787,35359
5087582,5533,189,2682,17233
5089064,5691,315,10827,76418
5087582,5533,189,2682,17233
5089434,5650,216,8001,0
5086620,5384,0,0,0
5086620,5384,0,0,0
5086618,5390,12,0,0
5086618,5407,30,0,0
5086620,5384,0,0,0
5089432,5663,387,8406,34067
5113551,6372,837,65619,709821
5090221,5736,354,16623,143659
5087761,5648,252,8712,0
5086620,5384,0,0,0
4822710,2082,264,18819,176206
4967026,3105,243,10440,84835
5668359,9872,1116,103221,1140171
4762653,1956,414,68121,1014486
6912094,21999,1392,110916,1139088
6447439,17541,1362,110619,1139088
4715144,1400,189,16416,147345
4977594,4174,675,82377,1119005
5682690,10145,1503,164610,2151465
4793832,2262,546,77337,1069605
5023826,3952,807,114615,1658890
4779444,2095,525,76302,1069605
6925316,22279,1821,174168,2151465
6462145,17792,1758,172512,2151465
5364123,6303,1077,146628,2092717
6311438,16879,5724,976428,18040500
5768496,9556,3966,806481,16496579
5563341,7763,2274,392328,7514747
5682079,9110,3045,563481,10729623
6369503,14224,3681,640746,12281353
6112299,12559,4293,820269,16384384
5436243,6429,1056,103095,1256033
5398692,5579,213,8262,0
5542348,7708,2310,362421,6395305
5635130,8544,3273,621702,12081017
5403359,5751,309,10539,0
6270826,20493,2469,344997,5370901
5542657,7676,2352,407196,7879927
5417226,6043,459,40779,429799
5491868,7486,1980,264249,4292233
7539103,29141,6588,1078173,19536769
5408230,5838,435,26694,251769
5437993,6503,945,129384,1841575
7078309,24667,6060,1032282,19225701
5747123,9141,3147,580158,11867685
5494209,7226,1605,207117,3298495
6158874,12386,5115,973458,18719883
6000210,12788,5028,937620,18302377
5446604,6548,1110,131760,1930647
5984014,12164,4938,905310,17794659
5438362,6358,735,71748,849167
5424363,6210,642,60552,722456
5425868,6198,864,78615,971679
5399237,5651,210,8325,0
5674707,9389,3570,605034,11450901
5464215,6677,1242,162783,2413665
5439389,6392,897,86058,1152350
5397183,5325,0,0,0
5397181,5363,57,0,0
5400610,5588,312,9693,69863
5456720,6725,1248,129708,1679011
5404972,5719,327,17919,182647
5400610,5588,312,9693,69863
5398781,5569,201,7866,0
5400484,5668,342,9891,22097
5397183,5325,0,0,0
5397799,5460,168,3897,0
5398918,5497,231,3681,22097
5398918,5497,231,3681,22097
5399953,5579,303,6678,22097
6891644,21563,1071,54513,412034
6428083,17089,1059,54477,412034
4716654,1433,561,45045,412034
4712073,1371,480,42210,401584
4716654,1433,561,45045,412034
4712073,1371,480,42210,401584
5644656,9648,807,74961,795017
5639117,9365,576,34002,297787
5687911,10139,1389,130725,1402751
6032379,14568,2565,323775,4559962
5990138,12957,4188,773640,15307388
5786414,11150,2664,418959,7976637
5901959,12665,3576,574020,10264389
6331415,16118,5088,886023,16726992
5659595,9811,1224,105498,1256033
5763988,11163,2631,373248,6454110
5858772,11887,3561,630423,12081017
5627885,9083,399,13536,0
6483695,24310,3747,459927,6608675
5700312,10321,1281,126855,1464216
5764290,11103,2589,408006,7881181
5735217,10607,1731,196983,2675466
5661955,9840,1014,98010,1113856
5675857,9899,1170,103590,1084558
5716703,10780,2124,267579,4291929
7715960,34997,8571,1218015,20642246
5849545,11880,2910,433107,7507432
7274904,29521,7854,1169820,20351451
5656239,9781,1023,113094,1418597
5965198,12735,3648,619488,12524591
5630978,9201,468,19926,147345
5721612,10342,1704,204894,3292909
6379854,15765,5505,966060,18081274
6225232,15968,5274,918468,17462919
6115334,16629,2991,352827,4689428
5882516,12449,2232,253467,3392355
6213761,14973,4977,866034,16490062
5690206,10228,1206,106614,1181591
5639363,9328,570,32787,310023
5705809,10161,1185,102033,1043708
5624415,9006,288,10188,0
5628446,9175,402,16551,0
5623819,8918,180,0,0
5736744,10425,1125,104067,1218052
5640944,9488,768,63009,673132
5627046,9081,390,16812,152418
5649472,9542,963,78570,972021
5623824,8923,183,0,0
5892487,13005,4020,640620,12000305
5668521,9882,996,80460,869326
5632983,9146,417,19377,190627
5685973,10124,1485,166203,2414121
5624547,9058,315,12132,0
5622218,8916,180,0,0
5636718,9283,573,29079,260376
5624012,8850,168,5445,35359
5622219,8665,0,0,0
5629336,9086,444,21762,209589
5622218,8660,9,0,0
5625299,8899,315,9693,69863
5680271,10099,1416,122040,1494502
5622218,8742,102,0,0
5625299,8899,315,9693,69863
5622220,8656,0,0,0
5627322,9002,429,20574,190608
5622218,8660,9,0,0
5623299,8848,183,3636,0
5624181,8988,294,12141,0
5647623,9358,690,41391,392673
5568017,15308,711,68004,795017
6890052,21759,1083,81000,795017
6425906,17283,1044,79992,795017
4712813,1296,93,4500,0
4683488,802,66,216,0
6892512,21487,735,42156,427348
6427481,17024,750,42273,427348
5312580,4903,492,39690,427348
4680096,670,0,0,0
4827847,2223,342,30393,317471
4793029,2032,258,20358,178619
6417881,16948,756,36711,317471
5316579,5602,438,32004,300922
6404904,16415,207,0,0
5599199,11405,4284,679545,10924658
5490087,8085,2028,278100,4022167
6150068,15020,5670,840078,12965676
5916069,11889,4320,677691,10706861
5384469,7874,3234,500310,7865050
6035829,22229,5796,772380,11533418
5249139,6121,1161,109845,1174409
5413622,8263,3321,476748,7372570
7351469,27938,5745,816147,12360450
5433652,7522,1710,226260,3272332
6894902,23275,5094,664497,9632905
5993415,9734,2223,301725,4297705
5831646,10296,1797,234792,3355552
5683159,13406,4455,666675,10435693
5456096,8821,2910,434745,6716975
5238881,5769,726,58833,604010
5281893,6248,1107,116055,1356182
5320543,7116,2571,350172,5136897
5220518,5677,795,77076,860643
5382058,7834,3018,485640,8018114
5213571,5475,603,40383,366092
5397105,8017,3195,487719,7682270
5248861,6170,1299,151812,2141794
5208545,5263,411,18450,133095
5329435,7070,2652,426861,6960270
5308263,6847,1932,255807,3645644
5198576,5057,231,6705,0
5214654,5469,519,45360,468635
5209445,5390,558,34596,312018
5217744,5380,525,28782,234536
5306823,6821,2262,332100,5237445
5250739,6060,1197,126432,1552262
5202447,5187,258,12348,0
5223166,5744,771,71730,756523
5205786,5317,459,25533,213541
5498233,9169,4161,648144,10118089
5221600,5631,789,66285,676761
5209715,5419,570,37368,341962
5205793,5339,399,23310,189050
5201556,4924,99,0,0
5203439,5194,495,29277,265696
5196998,4818,99,1449,0
5196998,4818,99,1449,0
6419267,16979,747,35055,297787
4746367,1565,168,14283,130967
4700124,1102,84,5517,0
5613712,15712,1050,106182,1290974
4847854,2660,597,79317,1079200
4784461,2132,522,75951,1069605
6926631,22355,1767,142524,1402751
6466253,17828,1710,141273,1402751
4814474,2424,567,69579,861954
6047032,14560,4809,728289,11492967
5799220,12303,4311,679860,11105082
5087239,5608,309,19377,171152
5269821,8156,3000,461385,7403236
5933504,21648,5067,707940,11036378
5304383,8125,2673,427491,6966920
7242524,28007,5433,781002,12264386
6794119,22934,4365,605286,9178159
5878084,10030,1983,280872,4193376
5565117,13935,4419,638145,10246187
5340660,9117,2790,430695,6994546
5103432,5839,477,35982,387961
5090639,5594,414,25794,250591
5087395,5615,339,22779,217018
5104763,6006,753,74088,860643
5269761,7953,2826,470421,8015549
5080643,5350,120,0,0
5285017,8102,2772,442665,7230355
5132821,6525,1305,148653,2150363
5085721,5572,321,15201,118693
5215070,7315,2397,388881,6507880
5095570,5816,447,42471,459192
5192541,7163,1857,246573,3614769
5094016,5711,390,26523,242383
5102340,5695,420,27009,233339
5110587,6067,714,53505,529720
5192880,7053,1998,298647,4829895
5134737,6409,1203,124668,1554257
5102759,5956,678,53550,547808
5387921,9121,3540,578106,9378381
5096564,5818,609,36900,324748
5083049,5347,210,5787,35359
5080643,5124,0,0,0
5080641,5146,36,0,0
5081385,5293,150,2610,0
5083139,5336,177,4113,27474
5097681,5797,600,49851,534983
5080645,5118,0,0,0
5080643,5124,12,0,0
5106854,6146,873,65790,709992
5080645,5118,0,0,0
5080644,5119,0,0,0
5080645,5118,0,0,0
5083231,5436,276,9036,63023
5084224,5417,267,8316,60173
5088142,5649,444,18081,138909
5080643,5279,99,0,0
5342223,6233,2580,490905,9780516
6030675,11315,3189,589617,12052707
5777122,9429,3438,702090,14898166
5100414,3791,666,88551,1182370
5201466,4817,1980,372807,7862067
7219005,25459,5052,878409,16868124
6760753,20810,4818,864009,16868124
5409355,6086,2433,495261,10853123
5836957,8418,3735,803826,16468820
5675428,8979,3702,768330,15975732
5554947,10205,1716,235197,3403679
5100605,3877,822,111393,1699284
5659917,8294,3708,745821,15591153
5079269,3563,516,57465,722456
5081105,3520,771,74592,972021
5339521,6189,2640,486027,9880456
5066222,3325,408,27630,260376
5058302,3017,315,16974,169499
7017400,23561,2985,423630,7854334
5073188,4316,1497,248976,5136897
6565035,18744,2781,416574,7853992
4940192,3020,966,138267,2612006
5626253,6980,2385,412596,7914336
5469866,7236,2148,392031,7787131
5455649,6432,2151,379530,7514747
4904389,2768,780,116091,2053444
4843451,1950,252,12879,118674
4861704,2281,447,35541,392673
5939536,11263,3084,503793,9069137
5208617,5215,1767,323955,6251323
5831994,17936,2688,367047,5797527
7130849,25223,4611,711666,12263398
6674732,20505,4374,695385,12262942
5749874,8058,2979,558018,10583019
5586401,8717,2898,526887,10144176
5461053,10306,2019,273798,3930511
4961805,2956,150,5589,0
5044742,4083,795,97938,1212466
5248741,6015,2148,351801,6601132
4993073,3284,279,18531,176491
4974591,3275,360,26694,260376
4978255,3036,90,0,0
4963224,2907,153,5247,0
4958011,2813,54,0,0
6349534,15889,6132,1044612,19132373
5661031,8095,438,20934,171152
5839154,10692,3369,506088,7861174
6472904,25885,6567,882036,13581979
5664696,8058,384,13950,104063
5870889,10881,3306,484479,7343481
5687660,8766,1023,108873,1274330
5768231,9448,1467,168282,2387578
5674741,8289,561,41400,429799
7771507,32463,8013,1251639,21656542
5882957,10706,2685,399231,6850735
7331979,26970,6909,1086939,18903613
5659267,8000,321,12960,0
5663620,8067,384,15093,112632
6432685,13380,4029,713826,13415463
6274556,13776,3510,620631,12167467
6132916,16437,4869,705168,10829487
5911249,11676,3150,453663,6746672
6265853,12726,3144,555939,11051464
5723663,9141,1236,120060,1354833
5660239,8062,447,21681,185478
5664122,8056,501,26217,250591
5775890,9900,2616,351297,5133021
5677628,8504,921,79245,860643
5657887,8002,342,15363,0
5670228,8330,702,47628,458888
5838008,10560,3150,494712,8015549
5850652,10854,3336,493020,7671706
