0,1,2
1,2,132
1,2,19
1,2,7
1,2,5
1,2,22
1,2,84
1,2,14
1,2,311
1,2,107
1,2,215
1,2,32
1,2,1301
1,2,748
1,2,18
1,2,768
1,2,104
1,2,94
1,2,1326
1,2,1005
1,2,17
1,2,745
1,2,49
1,21,22
1,21,23
1,7,29
1,5,29
1,22,29
1,29,30
1,29,32
1,29,31
1,18,29
1,8,29
1,14,39
1,5,50
1,32,50
1,50,52
1,56,57
1,5,62
1,65,83
1,7,65
1,5,65
1,65,84
1,65,66
1,65,71
1,65,78
1,65,74
1,65,67
1,65,85
1,49,65
1,19,132
1,7,132
1,132,159
1,35,132
1,5,132
1,132,184
1,22,132
1,84,132
1,14,132
1,132,197
1,107,132
1,132,196
1,132,215
1,32,132
1,132,141
1,132,144
1,132,140
1,31,132
1,125,132
1,132,163
1,18,132
1,132,205
1,132,206
1,104,132
1,94,132
1,132,179
1,17,132
1,16,132
1,132,199
1,132,190
1,132,177
1,49,132
1,7,83
1,83,219
1,83,221
1,83,220
1,74,83
1,7,19
1,19,35
1,5,19
1,19,262
1,19,184
1,19,268
1,19,22
1,19,235
1,19,84
1,14,19
1,19,107
1,19,196
1,19,215
1,19,32
1,19,141
1,19,144
1,15,19
1,19,20
1,19,236
1,19,31
1,19,241
1,19,125
1,19,274
1,19,277
1,19,67
1,18,19
1,19,205
1,19,126
1,19,289
1,19,104
1,19,232
1,19,94
1,19,244
1,19,179
1,19,258
1,19,239
1,17,19
1,16,19
1,19,199
1,19,177
1,19,49
1,5,299
1,5,349
1,32,349
1,52,349
1,7,363
1,5,363
1,22,363
1,11,363
1,311,363
1,27,363
1,32,363
1,141,363
1,115,363
1,31,363
1,99,363
1,18,363
1,179,363
1,17,363
1,8,363
1,7,389
1,5,389
1,389,393
1,11,389
1,32,389
1,389,391
1,389,392
1,18,389
1,389,390
1,8,389
1,7,505
1,7,159
1,7,445
1,7,721
1,7,35
1,7,576
1,5,7
1,7,393
1,7,582
1,7,219
1,7,262
1,7,184
1,7,649
1,7,22
1,7,344
1,7,11
1,7,235
1,7,221
1,7,356
1,7,443
1,7,84
1,7,578
1,7,14
1,7,754
1,7,220
1,7,661
1,7,417
1,7,311
1,7,435
1,7,23
1,7,27
1,7,107
1,7,196
1,7,215
1,7,32
1,7,490
1,7,141
1,7,66
1,7,140
1,7,334
1,7,15
1,7,20
1,7,109
1,7,602
1,7,115
1,7,31
1,7,399
1,7,241
1,7,433
1,7,71
1,7,392
1,7,125
1,7,78
1,7,446
1,7,99
1,7,633
1,7,748
1,7,560
1,7,310
1,7,92
1,7,453
1,7,645
1,7,163
1,7,355
1,7,74
1,7,658
1,7,67
1,7,460
1,7,18
1,7,771
1,7,126
1,7,768
1,7,289
1,7,485
1,7,488
1,7,682
1,7,104
1,7,232
1,7,94
1,7,697
1,7,475
1,7,502
1,7,703
1,7,85
1,7,710
1,7,712
1,7,687
1,7,244
1,7,489
1,7,179
1,7,533
1,7,239
1,7,17
1,7,746
1,7,745
1,7,16
1,7,199
1,7,8
1,7,557
1,7,561
1,7,715
1,7,564
1,7,46
1,7,736
1,7,177
1,7,296
1,7,368
1,7,49
1,7,44
1,22,505
1,505,578
1,18,505
1,94,505
1,505,697
1,505,687
1,94,159
1,5,445
1,5,819
1,5,822
1,84,822
1,94,822
1,5,837
1,52,844
1,5,35
1,35,582
1,35,262
1,35,184
1,22,35
1,35,84
1,14,35
1,35,220
1,35,197
1,35,855
1,27,35
1,35,107
1,35,196
1,35,215
1,32,35
1,35,141
1,35,144
1,15,35
1,20,35
1,35,310
1,35,163
1,35,67
1,35,460
1,18,35
1,35,866
1,35,206
1,35,104
1,35,94
1,35,179
1,35,258
1,35,239
1,35,859
1,17,35
1,16,35
1,35,177
1,35,49
1,576,736
1,5,393
1,5,582
1,5,184
1,5,22
1,5,11
1,5,990
1,5,235
1,5,356
1,5,996
1,5,443
1,5,84
1,5,14
1,5,754
1,5,661
1,5,30
1,5,197
1,5,311
1,5,435
1,5,23
1,5,27
1,5,107
1,5,196
1,5,215
1,5,32
1,5,490
1,5,141
1,5,391
1,5,66
1,5,886
1,5,15
1,5,20
1,5,889
1,5,602
1,5,115
1,5,31
1,5,399
1,5,241
1,5,433
1,5,392
1,5,894
1,5,125
1,5,901
1,5,274
1,5,99
1,5,633
1,5,748
1,5,897
1,5,310
1,5,92
1,5,970
1,5,972
1,5,874
1,5,645
1,5,163
1,5,277
1,5,355
1,5,658
1,5,67
1,5,18
1,5,206
1,5,771
1,5,126
1,5,289
1,5,485
1,5,923
1,5,104
1,5,94
1,5,910
1,5,992
1,5,502
1,5,712
1,5,1017
1,5,244
1,5,52
1,5,921
1,5,179
1,5,390
1,5,533
1,5,239
1,5,1005
1,5,927
1,5,17
1,5,16
1,5,1013
1,5,8
1,5,557
1,5,936
1,5,46
1,5,177
1,5,368
1,5,49
1,5,44
1,94,1027
