Time=2, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.001, wd=0.0, alpha=0.5, val_acc=0.8324652650206092, acc=0.8182464159585818
Time=3, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.001, wd=0.0, alpha=0.5, val_acc=0.8039278960507581, acc=0.7958165458803161
Time=4, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.001, wd=0.0, alpha=0.5, val_acc=0.8275331977230734, acc=0.8193870843011263
*** beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.001, wd=0.0, alpha=0.5, std=0.00749370820337308 *** ave_acc=0.8132930532186605 (best_acc=0.8095033083682404)
Time=0, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.001, wd=0.0001, alpha=0.5, val_acc=0.7896438090211695, acc=0.7779856733276855
Time=1, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.001, wd=0.0001, alpha=0.5, val_acc=0.8215396779848161, acc=0.8099274725567023
Time=2, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.001, wd=0.0001, alpha=0.5, val_acc=0.7969884670114867, acc=0.7947340506628308
Time=3, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.001, wd=0.0001, alpha=0.5, val_acc=0.8026450928492302, acc=0.7996633657390791
Time=4, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.001, wd=0.0001, alpha=0.5, val_acc=0.8142651318455524, acc=0.8124979878847701
*** beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.001, wd=0.0001, alpha=0.5, std=0.00749370820337308 *** ave_acc=0.7989617100342137 (best_acc=0.8095033083682404)
Time=0, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.001, wd=0.01, alpha=0.5, val_acc=0.8089241135152263, acc=0.8026115263772909
Time=1, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.001, wd=0.01, alpha=0.5, val_acc=0.6190575925811217, acc=0.5787582765895025
Time=2, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.001, wd=0.01, alpha=0.5, val_acc=0.7804463413024579, acc=0.7687862286487397
Time=3, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.001, wd=0.01, alpha=0.5, val_acc=0.6075314348706244, acc=0.5520764423183518
Time=4, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.001, wd=0.01, alpha=0.5, val_acc=0.5958414356424329, acc=0.5610166053395967
*** beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.001, wd=0.01, alpha=0.5, std=0.00749370820337308 *** ave_acc=0.6526498158546963 (best_acc=0.8095033083682404)
Time=0, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.01, wd=0.0, alpha=0.5, val_acc=0.8295909358456243, acc=0.8078250850771562
Time=1, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.01, wd=0.0, alpha=0.5, val_acc=0.8266717144188368, acc=0.7637852674794873
Time=2, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.01, wd=0.0, alpha=0.5, val_acc=0.8428181557311638, acc=0.8077814743034044
Time=3, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.01, wd=0.0, alpha=0.5, val_acc=0.8125598234649248, acc=0.7626726313307025
Time=4, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.01, wd=0.0, alpha=0.5, val_acc=0.8196072901759403, acc=0.7954301479553911
*** beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.01, wd=0.0, alpha=0.5, std=0.00749370820337308 *** ave_acc=0.7874989212292283 (best_acc=0.8095033083682404)
Time=0, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.01, wd=0.0001, alpha=0.5, val_acc=0.7945099304948592, acc=0.7030141675499806
Time=1, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.01, wd=0.0001, alpha=0.5, val_acc=0.8106749788989523, acc=0.7754714036484853
