"1,0-nd","2,0-nd","3,0-nd"
282,2378,0
4777,41376,216783
2952,25730,140475
1046,7752,37308
1046,7752,37308
5519,46060,235959
1046,7752,37308
5831,47376,239001
3354,30440,164439
710,5344,26385
710,5344,26385
3181,29078,157179
710,5344,26385
1220,11100,61848
4133,36900,196023
2614,22994,124077
3660,32916,179007
3888,34598,187629
5089,44288,231909
3866,34364,183987
2968,27024,149307
404,3608,19626
4315,39186,211236
2221,18212,93912
1,0,0
1,0,0
841,6742,34983
3286,29982,163329
2302,20594,110988
2007,16442,85209
1088,9120,47901
3832,34222,183162
4115,37708,205341
854,6748,33519
643,5642,30300
3685,32854,177816
6,0,0
6,0,0
412,3208,0
377,3376,0
1,0,0
1,0,0
694,4978,0
585,3840,17238
2063,18168,97452
1039,7542,35424
1348,10330,50529
310,0,0
230,2366,0
3665,32220,172389
792,6716,34572
20,120,0
843,7428,39063
2030,16980,88701
551,0,0
1100,8178,39267
243,2018,0
243,2018,0
70,0,0
1031,7600,36822
626,4404,21231
551,0,0
667,5388,0
2155,18452,97854
406,0,0
1619,12650,61920
2107,17038,87702
2280,19818,107007
178,1558,7212
170,1520,7143
678,4788,22788
1295,9728,47877
723,5124,23697
178,1558,7212
871,6030,27948
178,1558,7212
178,1558,7212
3061,28166,155682
870,6354,30759
1176,10850,60063
214,1790,7437
100,668,1623
602,3842,16590
855,5916,27594
3851,34146,182559
817,5788,27426
1165,8662,41862
145,0,0
553,3604,0
553,3604,0
16,86,0
16,86,0
2060,16772,87201
670,5874,30045
4799,42478,223542
1349,11086,56502
461,3774,18441
664,5844,29985
1278,10316,52014
2678,24394,132498
204,0,0
1790,14616,76473
92,750,4377
101,796,4377
3151,28240,153981
657,5764,30720
80,724,4365
3419,30884,169896
87,742,4377
1106,8790,45021
60,0,0
204,0,0
522,4480,23115
1370,11702,62628
441,3628,18369
2491,22828,124248
7,0,0
626,4380,0
310,0,0
1004,7446,37143
153,1286,7056
153,1286,7056
1567,11832,59289
126,0,0
1548,12098,61818
2669,23340,127458
1874,15390,80766
694,4978,0
417,3278,0
1128,11238,61974
553,3604,0
553,3604,0
3676,32586,176814
108,916,0
105,0,0
495,4814,28104
105,0,0
118,936,5409
209,2070,0
885,7710,40344
1792,14914,80226
4055,38346,211728
113,946,0
275,2714,15921
1092,9812,54822
424,3400,5412
125,1016,5622
1186,9086,45711
109,920,0
656,4514,0
105,0,0
131,1026,5625
160,1646,0
966,6982,35427
305,2822,15837
415,3380,0
226,2278,0
105,0,0
