"1,0-d","2,0-d","3,0-d"
2,2,0
241,2016,10485
41,362,1821
5,20,30
5,20,30
406,3200,15594
5,20,30
551,3602,16554
79,910,5100
5,20,30
5,20,30
70,792,4671
5,20,30
8,56,168
136,1360,8106
21,282,1557
85,1012,6135
126,1194,6936
310,2468,13470
104,1158,7218
32,426,2832
3,6,3
145,1458,8661
18,134,480
1,0,0
1,0,0
5,20,30
63,748,4476
21,240,1176
10,70,195
5,20,30
143,1376,7119
121,1366,8157
6,26,39
6,8,3
88,982,6045
1,0,0
1,0,0
2,2,0
2,2,0
1,0,0
1,0,0
2,2,0
4,12,12
18,158,549
7,30,42
9,50,93
1,0,0
2,2,0
94,1006,5844
6,18,15
2,2,0
8,30,33
14,102,303
1,0,0
3,6,3
2,2,0
2,2,0
1,0,0
4,10,6
4,6,3
1,0,0
3,4,0
20,172,612
1,0,0
25,170,387
19,126,354
23,224,1065
8,54,150
7,42,105
7,14,6
11,74,171
9,50,114
8,54,150
7,26,27
8,54,150
8,54,150
37,530,3312
6,16,9
18,128,309
8,42,90
6,30,60
7,18,12
10,28,33
98,1128,6873
3,6,3
19,128,312
1,0,0
2,2,0
2,2,0
2,2,0
2,2,0
14,84,219
7,36,66
204,2078,11562
10,64,144
5,20,30
6,28,48
7,38,78
32,446,2589
1,0,0
14,76,147
6,18,15
7,18,12
32,402,2280
6,10,6
3,6,3
60,630,4203
4,12,12
9,38,45
1,0,0
1,0,0
7,16,9
17,108,276
3,6,3
28,412,2766
1,0,0
4,6,0
1,0,0
3,6,3
3,6,3
3,6,3
24,86,117
1,0,0
8,46,96
24,276,1557
12,94,285
2,2,0
2,2,0
11,78,231
2,2,0
2,2,0
105,912,5403
2,2,0
1,0,0
4,12,12
1,0,0
4,8,3
2,2,0
8,36,51
13,104,345
67,1070,7548
2,2,0
4,12,12
13,84,210
4,8,3
3,6,3
5,16,15
2,2,0
2,2,0
1,0,0
5,12,6
3,4,0
3,6,3
4,12,12
2,2,0
2,2,0
1,0,0
2,2,0
4,12,12
2,2,0
15,92,213
5,20,30
8,40,72
3,6,3
1,0,0
1,0,0
2,2,0
1,0,0
2,2,0
4,12,12
7,28,36
1,0,0
3,6,3
2,2,0
4,12,12
16,146,585
14,98,303
2,2,0
62,632,3288
5,20,30
5,10,3
10,66,168
1,0,0
53,732,4947
10,26,21
2,2,0
2,2,0
5,14,12
3,6,3
2,2,0
12,84,210
1,0,0
2,2,0
4,10,6
3,4,0
28,318,1713
14,100,348
3,6,3
15,128,435
4,8,3
3,6,3
5,8,3
11,86,255
2,2,0
12,112,423
12,104,399
2,2,0
6,28,48
5,20,30
1,0,0
1,0,0
2,2,0
8,34,48
7,26,27
44,478,2940
4,12,12
2,2,0
2,0,0
5,16,15
19,80,123
3,6,3
1,0,0
1,0,0
2,2,0
3,4,0
5,20,30
39,596,3948
5,12,6
2,2,0
22,256,1536
1,0,0
8,40,78
1,0,0
3,6,3
7,32,51
2,2,0
3,6,3
1,0,0
24,250,1062
2,2,0
12,88,249
2,2,0
1,0,0
10,60,168
12,50,78
2,2,0
7,28,39
2,2,0
1,0,0
4,10,6
3,6,3
4,12,12
2,2,0
