"1,0-d","2,0-d","3,0-d"
3,6,3
3,6,3
20,160,540
1,0,0
5,20,30
7,36,66
1,0,0
18,138,381
22,128,363
4,12,12
2,2,0
1,0,0
3,6,3
2,2,0
6,26,39
1,0,0
6,30,60
9,48,90
2,2,0
13,82,168
16,120,378
2,2,0
1,0,0
7,26,33
4,8,3
8,56,168
8,56,168
4,10,6
6,30,60
17,152,492
4,12,12
1,0,0
14,138,549
4,12,12
8,56,168
9,72,252
3,4,0
4,12,12
3,6,3
4,12,12
2,2,0
2,2,0
12,32,21
1,0,0
13,84,186
2,2,0
1,0,0
7,32,60
3,4,0
29,382,2433
5,20,30
5,20,30
29,418,2667
2,2,0
4,8,3
5,20,30
24,218,852
68,890,5505
3,6,3
1,0,0
1,0,0
2,2,0
2,2,0
5,20,30
1,0,0
1,0,0
3,4,0
6,20,21
2,2,0
1,0,0
2,0,0
1,0,0
2,2,0
2,2,0
1,0,0
2,2,0
5,8,0
4,12,12
1,0,0
2,2,0
5,14,12
1,0,0
1,0,0
3,4,0
3,4,0
2,0,0
1,0,0
3,6,3
1,0,0
1,0,0
8,6,3
2,2,0
2,2,0
2,2,0
5,14,12
4,12,12
5,20,30
1,0,0
2,2,0
2,2,0
5,20,30
13,112,381
12,96,297
6,28,48
2,2,0
2,2,0
2,2,0
2,2,0
22,308,1812
40,478,3039
6,30,60
7,42,105
22,310,2100
17,102,258
39,488,2601
6,30,60
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
8,46,99
3,6,3
5,20,30
4,12,12
4,12,12
3,6,3
3,6,3
2,2,0
1,0,0
2,2,0
4,12,12
1,0,0
8,52,135
9,62,165
11,72,168
4,12,12
5,20,30
7,32,51
15,112,360
2,2,0
7,26,33
2,2,0
10,40,60
2,2,0
18,172,636
3,6,3
4,12,12
4,12,12
4,12,12
3,6,3
3,6,3
2,2,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,2,0
4,8,3
1,0,0
3,6,3
2,2,0
1,0,0
1,0,0
1,0,0
1,0,0
3,6,3
3,6,3
9,46,99
4,8,3
1,0,0
5,20,30
1,0,0
1,0,0
1,0,0
3,6,3
14,128,444
1,0,0
9,46,90
8,50,120
1,0,0
2,2,0
5,18,21
2,2,0
1,0,0
2,2,0
12,118,483
3,6,3
4,8,3
2,2,0
3,6,3
12,54,81
2,2,0
2,2,0
2,2,0
2,2,0
4,12,12
3,6,3
2,2,0
4,10,6
1,0,0
1,0,0
13,56,84
9,46,84
3,6,3
8,42,105
2,2,0
1,0,0
5,12,6
1,0,0
1,0,0
2,2,0
2,2,0
2,2,0
7,32,51
5,18,21
1,0,0
1,0,0
11,70,168
4,12,12
1,0,0
6,30,60
5,20,30
3,6,3
3,6,3
4,10,6
3,6,3
2,2,0
3,6,3
3,4,0
1,0,0
2,2,0
2,2,0
12,62,132
6,30,60
2,2,0
7,32,60
1,0,0
6,20,21
13,102,306
2,2,0
4,12,12
1,0,0
7,40,90
1,0,0
6,16,12
4,12,12
1,0,0
8,56,168
2,2,0
2,2,0
12,84,270
1,0,0
2,2,0
2,2,0
2,2,0
1,0,0
2,2,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,2,0
6,28,48
1,0,0
1,0,0
3,6,3
1,0,0
3,6,3
3,6,3
1,0,0
1,0,0
2,2,0
6,30,60
10,50,120
6,30,60
1,0,0
2,2,0
1,0,0
4,12,12
1,0,0
4,6,3
4,10,6
1,0,0
2,2,0
1,0,0
1,0,0
1,0,0
3,6,3
1,0,0
1,0,0
7,42,105
3,6,3
1,0,0
1,0,0
1,0,0
1,0,0
4,12,12
1,0,0
1,0,0
3,6,3
10,72,252
2,2,0
1,0,0
3,4,0
3,6,3
4,12,12
1,0,0
1,0,0
2,2,0
2,2,0
5,20,30
2,2,0
1,0,0
1,0,0
7,32,51
4,6,3
1,0,0
11,86,315
7,26,27
7,40,90
3,6,3
8,38,69
1,0,0
5,20,30
1,0,0
1,0,0
1,0,0
4,12,12
1,0,0
1,0,0
1,0,0
2,2,0
3,6,3
1,0,0
2,2,0
2,2,0
7,42,105
1,0,0
4,10,6
1,0,0
2,2,0
5,20,30
2,2,0
2,2,0
2,2,0
4,12,12
8,38,66
14,128,462
2,2,0
1,0,0
1,0,0
7,36,69
5,12,6
2,2,0
1,0,0
9,50,111
1,0,0
1,0,0
8,42,75
2,2,0
3,6,3
2,2,0
3,4,0
1,0,0
2,2,0
10,64,174
2,2,0
4,8,3
2,2,0
2,2,0
10,72,192
1,0,0
9,62,177
8,28,33
3,6,3
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
9,58,144
4,8,3
6,30,60
3,6,3
9,46,81
2,2,0
3,6,3
6,30,60
5,16,15
1,0,0
5,16,15
1,0,0
1,0,0
1,0,0
2,2,0
4,12,12
2,2,0
6,26,39
3,6,3
6,30,60
7,40,90
3,6,3
1,0,0
2,2,0
1,0,0
4,12,12
6,30,60
1,0,0
6,26,39
9,58,168
4,12,12
5,20,30
11,76,183
7,26,33
3,6,3
2,2,0
1,0,0
2,2,0
2,2,0
2,2,0
2,2,0
6,24,33
2,2,0
1,0,0
3,6,3
2,2,0
11,102,399
4,12,12
3,4,0
2,2,0
1,0,0
1,0,0
6,30,60
1,0,0
2,2,0
1,0,0
11,102,399
3,6,3
2,2,0
7,30,42
4,12,12
4,12,12
10,88,336
3,6,3
1,0,0
1,0,0
1,0,0
1,0,0
4,12,12
2,2,0
1,0,0
9,32,36
1,0,0
4,12,12
5,12,12
1,0,0
4,12,12
1,0,0
1,0,0
4,12,12
2,2,0
1,0,0
1,0,0
1,0,0
1,0,0
7,32,60
3,6,3
1,0,0
1,0,0
2,2,0
3,6,3
1,0,0
1,0,0
1,0,0
5,20,30
3,6,3
1,0,0
3,6,3
1,0,0
2,2,0
8,42,75
3,6,3
2,2,0
1,0,0
9,30,39
10,88,336
9,68,213
6,28,48
2,2,0
3,6,3
2,2,0
1,0,0
8,40,72
7,42,105
3,6,3
4,12,12
2,2,0
1,0,0
8,44,93
3,6,3
6,26,39
1,0,0
1,0,0
1,0,0
3,6,3
3,6,3
4,10,6
10,44,81
1,0,0
3,6,3
3,6,3
2,2,0
2,2,0
2,2,0
1,0,0
1,0,0
1,0,0
2,2,0
1,0,0
3,6,3
7,40,90
3,6,3
2,2,0
1,0,0
3,2,0
1,0,0
4,10,6
6,18,12
3,6,3
4,12,12
4,12,12
4,12,12
1,0,0
9,58,144
4,12,12
1,0,0
4,12,12
1,0,0
3,6,3
3,6,3
3,6,3
2,2,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
3,6,3
1,0,0
2,2,0
3,6,3
1,0,0
2,2,0
1,0,0
1,0,0
2,2,0
2,2,0
1,0,0
5,14,12
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
1,0,0
2,2,0
1,0,0
6,14,6
2,2,0
3,6,3
2,2,0
1,0,0
1,0,0
3,4,0
2,2,0
1,0,0
1,0,0
1,0,0
3,6,3
5,16,15
2,2,0
2,0,0
2,0,0
1,0,0
1,0,0
1,0,0
3,6,3
2,2,0
2,2,0
4,12,12
2,2,0
2,2,0
1,0,0
1,0,0
2,2,0
3,6,3
3,6,3
2,2,0
3,6,3
1,0,0
3,6,3
1,0,0
2,2,0
3,6,3
1,0,0
1,0,0
1,0,0
2,2,0
1,0,0
3,6,3
4,8,3
3,6,3
2,2,0
2,2,0
2,2,0
1,0,0
1,0,0
4,12,12
3,6,3
3,6,3
1,0,0
3,6,3
4,12,12
1,0,0
7,26,33
12,86,294
2,2,0
1,0,0
2,2,0
1,0,0
3,6,3
1,0,0
2,2,0
4,12,12
3,6,3
3,6,3
1,0,0
2,2,0
1,0,0
1,0,0
2,2,0
2,2,0
1,0,0
2,2,0
4,12,12
3,4,0
9,52,99
3,6,3
2,2,0
2,2,0
3,6,3
1,0,0
1,0,0
2,2,0
1,0,0
2,2,0
1,0,0
6,26,39
1,0,0
2,2,0
4,12,12
2,2,0
10,56,108
4,10,6
2,2,0
3,6,3
3,6,3
2,2,0
3,4,0
4,10,6
2,2,0
1,0,0
4,12,12
2,2,0
2,2,0
7,32,51
1,0,0
1,0,0
6,24,30
1,0,0
4,8,3
1,0,0
1,0,0
5,16,15
2,2,0
4,8,3
1,0,0
1,0,0
3,6,3
1,0,0
2,2,0
1,0,0
2,2,0
4,8,3
2,2,0
2,2,0
1,0,0
1,0,0
2,2,0
3,6,3
2,2,0
1,0,0
2,2,0
2,2,0
2,2,0
3,6,3
5,20,30
1,0,0
2,2,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
3,6,3
2,2,0
4,12,12
2,2,0
1,0,0
2,2,0
1,0,0
2,2,0
1,0,0
2,2,0
4,12,12
3,6,3
2,2,0
3,6,3
3,6,3
2,2,0
1,0,0
2,2,0
8,44,93
3,6,3
2,2,0
1,0,0
2,2,0
2,2,0
1,0,0
2,2,0
3,4,0
9,22,15
1,0,0
1,0,0
2,2,0
1,0,0
2,2,0
4,12,12
4,8,3
5,20,30
1,0,0
2,2,0
2,2,0
6,14,12
1,0,0
1,0,0
3,4,0
1,0,0
1,0,0
3,6,3
2,0,0
1,0,0
1,0,0
2,2,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,2,0
1,0,0
1,0,0
3,6,3
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,2,0
2,2,0
1,0,0
1,0,0
2,2,0
2,2,0
2,2,0
2,2,0
1,0,0
1,0,0
4,10,6
1,0,0
2,2,0
2,2,0
1,0,0
1,0,0
4,12,12
1,0,0
3,6,3
3,6,3
1,0,0
1,0,0
1,0,0
4,4,0
1,0,0
1,0,0
2,2,0
1,0,0
1,0,0
2,2,0
2,2,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,2,0
2,2,0
1,0,0
2,2,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
4,12,12
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
3,6,3
1,0,0
1,0,0
2,2,0
1,0,0
1,0,0
1,0,0
2,2,0
2,2,0
1,0,0
1,0,0
1,0,0
2,2,0
2,2,0
3,6,3
7,34,63
3,6,3
3,6,3
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,2,0
1,0,0
3,6,3
3,6,3
3,4,0
1,0,0
2,2,0
1,0,0
1,0,0
5,14,9
3,4,0
3,4,0
1,0,0
1,0,0
2,2,0
3,6,3
2,2,0
2,0,0
1,0,0
1,0,0
4,12,12
1,0,0
2,2,0
1,0,0
1,0,0
6,22,30
2,2,0
1,0,0
1,0,0
1,0,0
1,0,0
2,2,0
1,0,0
2,2,0
1,0,0
1,0,0
2,2,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,2,0
2,2,0
2,2,0
1,0,0
2,0,0
1,0,0
1,0,0
2,2,0
1,0,0
1,0,0
3,6,3
1,0,0
1,0,0
1,0,0
1,0,0
2,2,0
2,2,0
2,2,0
1,0,0
3,6,3
1,0,0
2,2,0
4,12,12
4,12,12
1,0,0
1,0,0
1,0,0
2,2,0
2,2,0
2,2,0
3,6,3
1,0,0
2,2,0
1,0,0
1,0,0
2,2,0
1,0,0
1,0,0
4,12,12
2,0,0
2,2,0
1,0,0
2,2,0
1,0,0
2,2,0
2,2,0
2,2,0
1,0,0
1,0,0
1,0,0
4,12,12
4,12,12
5,14,12
4,12,12
2,2,0
1,0,0
3,6,3
1,0,0
1,0,0
1,0,0
2,2,0
3,6,3
1,0,0
1,0,0
2,2,0
1,0,0
1,0,0
1,0,0
1,0,0
2,0,0
1,0,0
1,0,0
2,2,0
3,6,3
1,0,0
6,18,15
5,20,30
2,2,0
2,2,0
2,2,0
1,0,0
5,20,30
5,20,30
1,0,0
1,0,0
2,2,0
1,0,0
1,0,0
1,0,0
3,4,0
4,12,12
1,0,0
1,0,0
1,0,0
3,2,0
2,2,0
3,6,3
3,6,3
1,0,0
1,0,0
2,2,0
1,0,0
1,0,0
1,0,0
2,2,0
1,0,0
7,24,30
5,20,30
2,2,0
3,6,3
1,0,0
1,0,0
1,0,0
1,0,0
4,12,12
2,2,0
1,0,0
2,2,0
2,2,0
3,2,0
1,0,0
3,6,3
3,6,3
7,34,63
1,0,0
1,0,0
1,0,0
2,2,0
1,0,0
1,0,0
1,0,0
2,2,0
1,0,0
1,0,0
1,0,0
2,2,0
4,6,0
1,0,0
3,6,3
2,2,0
1,0,0
1,0,0
2,2,0
1,0,0
1,0,0
2,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
3,4,0
1,0,0
1,0,0
1,0,0
3,6,3
1,0,0
1,0,0
1,0,0
2,2,0
1,0,0
1,0,0
3,4,0
1,0,0
2,2,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,2,0
2,2,0
1,0,0
1,0,0
2,2,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
3,6,3
4,4,0
2,2,0
1,0,0
1,0,0
7,32,60
1,0,0
1,0,0
2,2,0
2,2,0
2,2,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
3,6,3
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,2,0
1,0,0
2,2,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,2,0
1,0,0
4,8,3
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
4,10,6
1,0,0
1,0,0
1,0,0
1,0,0
2,2,0
1,0,0
1,0,0
1,0,0
2,2,0
1,0,0
2,2,0
2,2,0
2,2,0
3,6,3
3,6,3
1,0,0
1,0,0
1,0,0
1,0,0
3,6,3
3,6,3
2,2,0
1,0,0
1,0,0
1,0,0
3,6,3
3,6,3
1,0,0
2,2,0
4,12,12
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,2,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
6,30,60
1,0,0
1,0,0
2,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,2,0
3,6,3
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,2,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,2,0
1,0,0
2,2,0
2,2,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
