"1,0-HCore","2,0-HCore","3,0-HCore"
2,2,0
17,1821,10331
17,342,1807
5,20,30
5,20,30
17,2852,15324
5,20,30
17,3184,16239
17,844,5043
5,20,30
5,20,30
17,741,4628
5,20,30
8,56,168
17,1257,8019
14,275,1550
17,940,6070
17,1092,6853
17,2229,13281
17,1075,7146
17,413,2821
3,6,3
17,1344,8568
11,126,477
1,0,0
1,0,0
5,20,30
17,704,4438
15,234,1171
8,68,193
5,20,30
17,1250,7024
17,1259,8065
6,26,39
3,7,3
17,914,5985
1,0,0
1,0,0
2,2,0
2,2,0
1,0,0
1,0,0
2,2,0
4,12,12
12,152,543
6,28,40
6,47,90
1,0,0
2,2,0
17,931,5783
5,17,15
2,2,0
5,27,31
10,98,300
1,0,0
3,6,3
2,2,0
2,2,0
1,0,0
3,9,5
3,6,3
1,0,0
3,4,0
12,164,606
1,0,0
9,152,370
9,118,349
14,217,1058
7,52,148
7,42,105
3,11,5
8,71,168
7,49,114
7,52,148
5,25,26
7,52,148
7,52,148
17,511,3296
5,15,9
9,119,302
7,41,89
6,30,60
4,14,12
5,25,30
17,1048,6805
3,6,3
8,118,302
1,0,0
2,2,0
2,2,0
2,2,0
2,2,0
9,78,215
5,34,64
17,1904,11409
6,60,140
5,20,30
5,27,47
6,37,77
17,428,2573
1,0,0
8,70,141
4,15,12
4,15,12
17,389,2269
4,10,6
3,6,3
17,598,4179
4,12,12
7,36,44
1,0,0
1,0,0
4,14,8
9,101,269
3,6,3
17,401,2753
1,0,0
4,6,0
1,0,0
3,6,3
3,6,3
3,6,3
8,72,107
1,0,0
8,46,96
15,268,1550
9,90,281
2,2,0
2,2,0
9,76,230
2,2,0
2,2,0
17,835,5349
2,2,0
1,0,0
4,12,12
1,0,0
3,7,3
2,2,0
6,34,49
11,102,344
17,1017,7495
2,2,0
4,12,12
9,80,207
3,7,3
3,6,3
4,15,14
2,2,0
2,2,0
1,0,0
3,9,3
2,3,0
3,6,3
4,12,12
2,2,0
2,2,0
1,0,0
2,2,0
4,12,12
2,2,0
9,86,207
5,20,30
6,38,70
3,6,3
1,0,0
1,0,0
2,2,0
1,0,0
2,2,0
4,12,12
5,26,34
1,0,0
3,6,3
2,2,0
4,12,12
12,142,582
10,95,300
2,2,0
17,591,3250
5,20,30
3,8,3
9,65,166
1,0,0
17,697,4916
4,22,18
2,2,0
2,2,0
5,14,12
3,6,3
2,2,0
9,80,207
1,0,0
2,2,0
3,9,5
2,3,0
15,305,1703
10,97,346
3,6,3
11,123,430
3,7,3
3,6,3
3,7,3
10,85,254
2,2,0
10,110,421
10,102,398
2,2,0
6,28,48
5,20,30
1,0,0
1,0,0
2,2,0
7,33,48
7,26,27
17,460,2926
4,12,12
2,2,0
2,0,0
4,15,14
9,71,118
3,6,3
1,0,0
1,0,0
2,2,0
3,4,0
5,20,30
17,569,3922
4,11,6
2,2,0
15,250,1530
1,0,0
7,39,78
1,0,0
3,6,3
7,32,51
2,2,0
3,6,3
1,0,0
12,239,1051
2,2,0
9,86,247
2,2,0
1,0,0
8,58,168
7,45,74
2,2,0
5,26,38
2,2,0
1,0,0
4,10,6
3,6,3
4,12,12
2,2,0
3,6,3
3,6,3
12,152,536
1,0,0
5,20,30
7,36,66
1,0,0
9,128,371
11,120,358
4,12,12
2,2,0
1,0,0
3,6,3
2,2,0
5,25,38
1,0,0
6,30,60
8,47,89
2,2,0
8,75,161
11,116,374
2,2,0
1,0,0
5,24,32
4,8,3
8,56,168
8,56,168
3,9,5
6,30,60
9,144,484
4,12,12
1,0,0
11,135,546
4,12,12
8,56,168
9,72,252
2,3,0
4,12,12
3,6,3
4,12,12
2,2,0
2,2,0
6,26,20
1,0,0
8,78,180
2,2,0
1,0,0
6,31,60
3,4,0
17,372,2423
5,20,30
5,20,30
17,405,2653
2,2,0
3,7,3
5,20,30
12,207,842
17,836,5457
3,6,3
1,0,0
1,0,0
2,2,0
2,2,0
5,20,30
1,0,0
1,0,0
2,3,0
4,18,20
2,2,0
1,0,0
1,0,0
1,0,0
2,2,0
2,2,0
1,0,0
2,2,0
4,7,0
4,12,12
1,0,0
2,2,0
4,13,12
1,0,0
1,0,0
3,4,0
3,4,0
1,0,0
1,0,0
3,6,3
1,0,0
1,0,0
3,6,3
2,2,0
2,2,0
2,2,0
4,12,12
4,12,12
5,20,30
1,0,0
2,2,0
2,2,0
5,20,30
9,108,377
9,93,294
5,27,47
2,2,0
2,2,0
2,2,0
2,2,0
16,302,1806
17,456,3019
6,30,60
7,42,105
16,305,2095
12,99,256
17,464,2580
6,30,60
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
7,45,98
3,6,3
5,20,30
4,12,12
4,12,12
3,6,3
3,6,3
2,2,0
1,0,0
2,2,0
4,12,12
1,0,0
7,51,134
7,60,163
8,69,165
4,12,12
5,20,30
5,30,49
10,108,357
2,2,0
6,25,33
2,2,0
6,37,58
2,2,0
12,165,630
3,6,3
4,12,12
4,12,12
4,12,12
3,6,3
3,6,3
2,2,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,2,0
3,7,3
1,0,0
3,6,3
2,2,0
1,0,0
1,0,0
1,0,0
1,0,0
3,6,3
3,6,3
7,45,98
3,7,3
1,0,0
5,20,30
1,0,0
1,0,0
1,0,0
3,6,3
10,124,440
1,0,0
8,46,90
7,49,119
1,0,0
2,2,0
5,18,21
2,2,0
1,0,0
2,2,0
11,117,481
3,6,3
3,7,3
2,2,0
3,6,3
7,49,77
2,2,0
2,2,0
2,2,0
2,2,0
4,12,12
3,6,3
2,2,0
3,9,5
1,0,0
1,0,0
8,51,82
7,44,82
3,6,3
7,42,105
2,2,0
1,0,0
4,11,6
1,0,0
1,0,0
2,2,0
2,2,0
2,2,0
6,31,50
5,18,21
1,0,0
1,0,0
8,68,167
4,12,12
1,0,0
6,30,60
5,20,30
3,6,3
3,6,3
4,10,6
3,6,3
2,2,0
3,6,3
3,4,0
1,0,0
2,2,0
2,2,0
9,60,130
6,30,60
2,2,0
6,31,60
1,0,0
5,19,21
9,98,302
2,2,0
4,12,12
1,0,0
6,39,89
1,0,0
4,14,12
4,12,12
1,0,0
8,56,168
2,2,0
2,2,0
9,81,269
1,0,0
2,2,0
2,2,0
2,2,0
1,0,0
2,2,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,2,0
5,27,47
1,0,0
1,0,0
3,6,3
1,0,0
3,6,3
3,6,3
1,0,0
1,0,0
2,2,0
6,30,60
8,50,120
6,30,60
1,0,0
2,2,0
1,0,0
4,12,12
1,0,0
3,6,3
4,10,6
1,0,0
2,2,0
1,0,0
1,0,0
1,0,0
3,6,3
1,0,0
1,0,0
7,42,105
3,6,3
1,0,0
1,0,0
1,0,0
1,0,0
4,12,12
1,0,0
1,0,0
3,6,3
9,72,252
2,2,0
1,0,0
3,4,0
3,6,3
4,12,12
1,0,0
1,0,0
2,2,0
2,2,0
5,20,30
2,2,0
1,0,0
1,0,0
6,31,50
3,6,3
1,0,0
9,85,314
5,24,25
6,39,89
3,6,3
7,37,69
1,0,0
5,20,30
1,0,0
1,0,0
1,0,0
4,12,12
1,0,0
1,0,0
1,0,0
2,2,0
3,6,3
1,0,0
2,2,0
2,2,0
7,42,105
1,0,0
4,10,6
1,0,0
2,2,0
5,20,30
2,2,0
2,2,0
2,2,0
4,12,12
6,36,64
11,125,459
