"1,0-HCore","2,0-HCore","3,0-HCore"
2,2,0
1,0,0
1,0,0
6,34,67
4,10,6
2,2,0
1,0,0
7,48,109
1,0,0
1,0,0
7,41,74
2,2,0
3,6,3
2,2,0
3,4,0
1,0,0
2,2,0
8,62,172
2,2,0
3,7,3
2,2,0
2,2,0
8,70,190
1,0,0
8,61,176
6,26,31
3,6,3
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
8,56,142
4,8,3
6,30,60
3,6,3
7,44,79
2,2,0
3,6,3
6,30,60
5,16,15
1,0,0
4,14,13
1,0,0
1,0,0
1,0,0
2,2,0
4,12,12
2,2,0
6,26,39
3,6,3
6,30,60
7,40,90
3,6,3
1,0,0
2,2,0
1,0,0
4,12,12
6,30,60
1,0,0
6,26,39
8,57,168
4,12,12
5,20,30
7,71,178
5,24,32
3,6,3
2,2,0
1,0,0
2,2,0
2,2,0
2,2,0
2,2,0
6,24,33
2,2,0
1,0,0
3,6,3
2,2,0
9,97,394
4,12,12
3,4,0
2,2,0
1,0,0
1,0,0
6,30,60
1,0,0
2,2,0
1,0,0
9,97,394
3,6,3
2,2,0
5,28,40
4,12,12
4,12,12
9,86,334
3,6,3
1,0,0
1,0,0
1,0,0
1,0,0
4,12,12
2,2,0
1,0,0
6,29,34
1,0,0
4,12,12
4,12,12
1,0,0
4,12,12
1,0,0
1,0,0
4,12,12
2,2,0
1,0,0
1,0,0
1,0,0
1,0,0
6,31,60
3,6,3
1,0,0
1,0,0
2,2,0
3,6,3
1,0,0
1,0,0
1,0,0
5,20,30
3,6,3
1,0,0
3,6,3
1,0,0
2,2,0
6,40,73
3,6,3
2,2,0
1,0,0
5,27,38
9,86,334
9,68,213
6,28,48
2,2,0
3,6,3
2,2,0
1,0,0
6,36,68
7,42,105
3,6,3
4,12,12
2,2,0
1,0,0
7,43,92
3,6,3
6,25,38
1,0,0
1,0,0
1,0,0
3,6,3
3,6,3
4,10,6
6,41,78
1,0,0
3,6,3
3,6,3
2,2,0
2,2,0
2,2,0
1,0,0
1,0,0
1,0,0
2,2,0
1,0,0
3,6,3
6,39,89
3,6,3
2,2,0
1,0,0
2,2,0
1,0,0
3,9,5
4,16,10
3,6,3
4,12,12
4,12,12
4,12,12
1,0,0
8,57,143
4,12,12
1,0,0
4,12,12
1,0,0
3,6,3
3,6,3
3,6,3
2,2,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
3,6,3
1,0,0
2,2,0
3,6,3
1,0,0
2,2,0
1,0,0
1,0,0
2,2,0
2,2,0
1,0,0
4,13,12
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
1,0,0
2,2,0
1,0,0
3,11,5
2,2,0
3,6,3
2,2,0
1,0,0
1,0,0
2,3,0
2,2,0
1,0,0
1,0,0
1,0,0
3,6,3
4,15,14
2,2,0
2,0,0
2,0,0
1,0,0
1,0,0
1,0,0
3,6,3
2,2,0
2,2,0
4,12,12
2,2,0
2,2,0
1,0,0
1,0,0
2,2,0
3,6,3
3,6,3
2,2,0
3,6,3
1,0,0
3,6,3
1,0,0
2,2,0
3,6,3
1,0,0
1,0,0
1,0,0
2,2,0
1,0,0
3,6,3
3,6,3
3,6,3
2,2,0
2,2,0
2,2,0
1,0,0
1,0,0
4,12,12
3,6,3
3,6,3
1,0,0
3,6,3
4,12,12
1,0,0
5,24,32
10,85,294
2,2,0
1,0,0
2,2,0
1,0,0
3,6,3
1,0,0
2,2,0
4,12,12
3,6,3
3,6,3
1,0,0
2,2,0
1,0,0
1,0,0
2,2,0
2,2,0
1,0,0
2,2,0
4,12,12
3,4,0
8,51,98
3,6,3
2,2,0
2,2,0
3,6,3
1,0,0
1,0,0
2,2,0
1,0,0
2,2,0
1,0,0
5,24,37
1,0,0
2,2,0
4,12,12
2,2,0
6,52,104
4,10,6
2,2,0
3,6,3
3,6,3
2,2,0
2,3,0
3,9,5
2,2,0
1,0,0
4,12,12
2,2,0
2,2,0
6,31,50
1,0,0
1,0,0
6,24,30
1,0,0
4,8,3
1,0,0
1,0,0
5,16,15
2,2,0
3,6,3
1,0,0
1,0,0
3,6,3
1,0,0
2,2,0
1,0,0
2,2,0
3,7,3
2,2,0
2,2,0
1,0,0
1,0,0
2,2,0
3,6,3
2,2,0
1,0,0
2,2,0
2,2,0
2,2,0
3,6,3
5,20,30
1,0,0
2,2,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
3,6,3
2,2,0
4,12,12
2,2,0
1,0,0
2,2,0
1,0,0
2,2,0
1,0,0
2,2,0
4,12,12
3,6,3
2,2,0
3,6,3
3,6,3
2,2,0
1,0,0
2,2,0
7,43,92
3,6,3
2,2,0
1,0,0
2,2,0
2,2,0
1,0,0
2,2,0
3,4,0
6,20,15
1,0,0
1,0,0
2,2,0
1,0,0
2,2,0
4,12,12
3,7,3
5,20,30
1,0,0
2,2,0
2,2,0
4,12,12
1,0,0
1,0,0
3,4,0
1,0,0
1,0,0
3,6,3
1,0,0
1,0,0
1,0,0
2,2,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,2,0
1,0,0
1,0,0
3,6,3
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,2,0
2,2,0
1,0,0
1,0,0
2,2,0
2,2,0
2,2,0
2,2,0
1,0,0
1,0,0
4,10,6
1,0,0
2,2,0
2,2,0
1,0,0
1,0,0
4,12,12
1,0,0
3,6,3
3,6,3
1,0,0
1,0,0
1,0,0
4,4,0
1,0,0
1,0,0
2,2,0
1,0,0
1,0,0
2,2,0
2,2,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,2,0
2,2,0
1,0,0
2,2,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
4,12,12
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
3,6,3
1,0,0
1,0,0
2,2,0
1,0,0
1,0,0
1,0,0
2,2,0
2,2,0
1,0,0
1,0,0
1,0,0
2,2,0
2,2,0
3,6,3
6,31,60
3,6,3
3,6,3
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,2,0
1,0,0
3,6,3
3,6,3
3,4,0
1,0,0
2,2,0
1,0,0
1,0,0
5,14,9
3,4,0
3,4,0
1,0,0
1,0,0
2,2,0
3,6,3
2,2,0
2,0,0
1,0,0
1,0,0
4,12,12
1,0,0
2,2,0
1,0,0
1,0,0
5,21,30
2,2,0
1,0,0
1,0,0
1,0,0
1,0,0
2,2,0
1,0,0
2,2,0
1,0,0
1,0,0
2,2,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,2,0
2,2,0
2,2,0
1,0,0
2,0,0
1,0,0
1,0,0
2,2,0
1,0,0
1,0,0
3,6,3
1,0,0
1,0,0
1,0,0
1,0,0
2,2,0
2,2,0
2,2,0
1,0,0
3,6,3
1,0,0
2,2,0
4,12,12
4,12,12
1,0,0
1,0,0
1,0,0
2,2,0
2,2,0
2,2,0
3,6,3
1,0,0
2,2,0
1,0,0
1,0,0
2,2,0
1,0,0
1,0,0
4,12,12
2,0,0
2,2,0
1,0,0
2,2,0
1,0,0
2,2,0
2,2,0
2,2,0
1,0,0
1,0,0
1,0,0
4,12,12
4,12,12
4,12,12
4,12,12
2,2,0
1,0,0
3,6,3
1,0,0
1,0,0
1,0,0
2,2,0
3,6,3
1,0,0
1,0,0
2,2,0
1,0,0
1,0,0
1,0,0
1,0,0
2,0,0
1,0,0
1,0,0
2,2,0
3,6,3
1,0,0
6,18,15
5,20,30
2,2,0
2,2,0
2,2,0
1,0,0
5,20,30
5,20,30
1,0,0
1,0,0
2,2,0
1,0,0
1,0,0
1,0,0
2,3,0
4,12,12
1,0,0
1,0,0
1,0,0
2,2,0
2,2,0
3,6,3
3,6,3
1,0,0
1,0,0
2,2,0
1,0,0
1,0,0
1,0,0
2,2,0
1,0,0
5,22,30
5,20,30
2,2,0
3,6,3
1,0,0
1,0,0
1,0,0
1,0,0
4,12,12
2,2,0
1,0,0
2,2,0
2,2,0
2,2,0
1,0,0
3,6,3
3,6,3
7,33,62
1,0,0
1,0,0
1,0,0
2,2,0
1,0,0
1,0,0
1,0,0
2,2,0
1,0,0
1,0,0
1,0,0
2,2,0
4,6,0
1,0,0
3,6,3
2,2,0
1,0,0
1,0,0
2,2,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
3,4,0
1,0,0
1,0,0
1,0,0
3,6,3
1,0,0
1,0,0
1,0,0
2,2,0
1,0,0
1,0,0
3,4,0
1,0,0
2,2,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,2,0
2,2,0
1,0,0
1,0,0
2,2,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
3,6,3
3,4,0
2,2,0
1,0,0
1,0,0
6,30,60
1,0,0
1,0,0
2,2,0
2,2,0
2,2,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
3,6,3
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,2,0
1,0,0
2,2,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,2,0
1,0,0
3,6,3
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
3,9,5
1,0,0
1,0,0
1,0,0
1,0,0
2,2,0
1,0,0
1,0,0
1,0,0
2,2,0
1,0,0
2,2,0
2,2,0
2,2,0
3,6,3
3,6,3
1,0,0
1,0,0
1,0,0
1,0,0
3,6,3
3,6,3
2,2,0
1,0,0
1,0,0
1,0,0
3,6,3
3,6,3
1,0,0
2,2,0
4,12,12
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,2,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
6,30,60
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,2,0
3,6,3
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,2,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,2,0
1,0,0
2,2,0
2,2,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
