0,1,591
0,1,580
0,1,1628
0,1,6333
0,1,588
0,1,315
0,5,1628
0,23,3422
0,23,8845
0,57,2114
0,11,1442
0,22,1628
0,40,84
0,84,1442
0,112,1628
0,143,6953
0,134,2469
0,134,1442
0,66,841
0,40,897
0,40,1442
0,629,1628
0,588,629
0,432,582
0,463,582
0,463,841
0,432,1345
0,432,897
0,1794,2818
0,432,6333
0,2469,5399
0,1339,3422
0,1339,5399
0,1339,6333
0,1339,1442
1,1568,1628
1,276,588
1,97,1568
1,103,276
1,135,1568
1,469,1568
1,1568,1603
1,1568,2771
1,1568,2313
1,1568,6854
1,1568,4043
5,6,1628
5,28,1628
5,1628,4463
5,103,4519
5,3172,4463
4,5,6
4,5,374
5,6,5471
5,6,166
5,28,375
5,28,327
5,28,4426
5,28,4742
5,28,1827
5,28,5471
5,28,166
5,28,243
5,28,5960
5,3692,4463
5,1616,4463
5,4463,7415
5,4153,4463
5,4463,7628
5,375,3444
5,375,1090
5,327,3521
5,3521,4204
5,1789,3521
5,3521,3692
5,3521,3632
5,3521,6630
5,243,3889
5,243,2613
18,20,155
18,21,213
18,21,136
24,30,32
28,57,71
28,57,2149
57,131,1831
57,1111,1831
11,1442,1789
11,17,1442
11,970,1442
11,526,1442
11,1442,3246
11,1442,3033
11,495,1442
11,51,1442
11,714,1442
11,1442,1648
11,710,1442
11,1031,1442
11,1442,4351
11,1442,4190
11,1442,7053
11,71,97
7,8,11
11,28,375
11,28,71
11,17,28
11,28,860
11,28,151
11,28,230
11,28,710
11,51,1616
8,11,71
11,71,140
11,51,71
11,71,1031
11,17,368
11,104,108
11,970,1031
11,51,526
11,119,198
11,90,161
11,32,161
11,48,352
11,51,714
11,51,4531
11,368,740
11,710,1971
15,22,1628
22,51,135
15,22,1616
22,51,1616
22,33,4481
22,30,4481
15,22,1702
22,104,122
22,30,494
22,51,526
22,122,399
22,122,503
22,30,32
22,3262,4351
19,22,30
22,30,1814
86,102,296
40,84,1442
10,112,563
10,143,1616
10,143,860
10,143,970
10,143,3049
10,143,4449
10,143,4799
10,143,4901
10,143,5719
129,461,2080
134,1139,2469
21,134,2469
21,134,1442
134,996,1442
134,355,1442
134,1442,1564
134,1442,3389
134,1442,4089
134,1442,4070
134,1442,4098
21,134,1568
134,1568,3389
133,134,1196
133,134,1564
70,133,134
133,134,612
134,1139,2844
21,134,996
134,1576,2080
134,1564,3389
134,1203,1564
40,1442,1702
40,970,1442
40,1246,1442
40,399,1442
40,475,1442
40,268,1442
40,1442,3525
40,1442,3676
40,1442,3891
40,1442,2700
40,51,1442
40,714,1442
40,437,1442
40,1442,1831
40,1442,2886
40,1442,3758
40,1442,4538
40,1442,1654
40,1442,2131
40,1431,1442
40,1442,2164
40,616,1442
40,1442,3414
40,1442,3185
40,1442,3406
40,1442,3512
40,1442,4358
40,1442,4719
40,1442,4595
40,1442,4182
40,1442,3587
40,71,97
40,135,2700
40,51,135
40,887,1603
40,1603,3185
40,375,2166
40,375,1434
16,40,71
16,40,970
16,40,2081
16,40,2785
16,40,475
16,40,2700
16,26,40
16,40,437
16,40,1257
40,51,71
40,71,314
40,71,2772
40,887,1089
40,887,1431
40,887,2194
40,887,4595
40,1257,2166
40,1860,2166
40,2166,4538
40,1805,2166
40,2166,3208
40,2166,5068
40,2166,6717
40,2166,9515
40,620,2700
40,58,104
40,58,1434
40,1434,3185
40,1434,3210
40,1006,3525
40,3525,4771
40,3525,5686
40,2134,3676
40,2026,2824
40,2700,4577
40,869,2700
40,2700,5753
40,2700,4212
40,2700,4771
40,2700,5912
40,2700,6206
40,2700,7590
40,2700,8018
40,2700,7657
40,58,161
40,51,714
40,51,8313
40,51,3414
40,51,4182
40,51,8084
40,51,8295
40,437,1160
40,437,1989
40,437,2134
40,234,833
40,365,3758
40,365,6206
40,58,162
40,1654,7590
40,1742,2194
40,1379,2073
40,616,1989
40,1989,6145
40,3360,3640
40,3185,4719
40,2134,3185
40,3185,3819
40,2134,6329
40,5528,6709
40,5753,6206
135,545,1564
21,545,1616
545,1564,1616
545,1407,1564
314,545,1407
309,545,1847
64,160,363
629,1433,1628
629,909,1628
243,588,629
588,629,1831
588,629,1300
243,629,1829
629,909,1793
629,1433,4189
296,323,582
21,28,285
60,98,841
186,1568,1628
64,1568,1628
6,181,1628
28,186,1628
28,149,1628
28,1628,1969
1628,2166,4115
186,618,1628
186,1628,3578
909,1356,1628
64,618,1628
576,1628,3239
1433,1628,4115
1203,1628,3100
1167,1345,1468
432,897,1672
897,1196,2984
133,432,1523
432,1060,1117
243,432,1389
115,243,432
243,432,3335
432,494,5960
115,414,432
432,494,1389
179,432,494
115,432,860
179,399,432
432,1031,1762
432,1060,3823
432,979,3823
432,1060,5459
39,432,1060
432,1523,1742
432,566,1762
432,1060,1742
432,1060,6425
432,551,979
832,1029,2114
21,97,2469
97,636,2469
97,2469,4784
97,2469,5560
21,74,2469
636,2469,2771
2469,3525,6854
21,2469,6854
636,2469,6854
243,636,2469
243,1217,2469
243,1829,2469
243,2469,4867
304,2469,3525
1834,2469,3745
2469,3608,4867
2469,3525,5686
2469,3525,4769
2033,2469,3525
2026,2469,2824
636,2469,4578
2469,4578,4867
108,209,2469
2469,4351,4784
2469,4351,4867
2469,4784,7053
2469,5560,7053
2469,4867,7053
228,2469,4784
636,1313,2469
21,2469,2824
21,1116,2469
21,2469,3823
636,2469,3823
1334,2469,3823
616,636,2469
636,2469,4719
636,2469,5605
636,2469,6048
636,2469,5178
636,1318,2469
636,2469,4442
636,2033,2469
346,2469,5392
1972,2194,2469
1760,2469,2963
616,1334,2469
2469,2772,4636
2469,2772,4488
2469,2772,4051
2469,2984,4595
2469,4595,4867
2469,4344,7023
331,2393,2469
331,2469,4108
950,2469,4769
1972,2469,3662
17,1056,2700
17,1056,2175
1056,2700,6715
1056,2700,7506
636,1056,3823
222,636,1056
497,1056,2061
1056,4867,7506
1568,3389,4940
1564,3389,4940
588,1111,3521
588,1111,7628
588,1111,1831
1339,1442,6854
744,1339,1442
1339,1442,1702
1339,1442,3891
1339,1442,3173
1339,1442,2744
39,1339,1442
1339,1442,1637
1339,1442,2933
1339,1442,3946
1339,1442,2731
1339,1442,4337
1344,1442,2313
51,1442,2313
17,1442,2085
304,1442,2085
186,1442,2085
1246,1442,2085
1442,2085,3891
51,1442,2085
1217,1442,2085
1329,1442,2085
616,1442,2085
1442,2085,3414
1442,2085,4365
1442,2085,2120
1344,1442,6854
1442,3525,6854
21,1442,6854
1329,1442,6854
1442,1564,6854
1442,4115,6854
1442,4098,6854
1442,2887,6854
1442,3534,6854
1442,3295,6854
1031,1442,3172
327,1442,3521
327,1344,1442
17,327,1442
114,327,1442
327,1442,2788
327,1442,1688
327,1442,4135
1442,2788,4426
1442,3521,4204
1344,1442,4204
1442,1564,4204
1442,2788,4204
1442,4204,4349
1442,4204,4591
1306,1442,2788
1442,1789,3521
996,1442,1789
1329,1442,1789
1442,1789,4349
309,1442,3685
1442,3521,3692
1329,1442,3692
1442,2788,3692
1442,3692,3747
1442,3692,4202
526,1442,3521
1442,3521,7053
228,1442,3521
1116,1442,3521
1217,1442,3521
1442,2744,3521
1442,3521,4755
979,1442,3521
166,1344,1442
166,1442,4329
166,1442,4098
166,1442,4755
1442,1564,4481
923,1070,1442
1070,1442,1482
1070,1442,1688
1442,1564,2702
1442,2702,2788
1442,4519,5687
1442,4349,7837
1442,1564,3043
1442,2788,3043
51,1442,7628
51,1090,1442
437,1090,1442
1090,1442,2149
623,744,1442
996,1442,4040
355,1442,4040
1442,2788,4040
1442,4040,4089
1442,4040,4349
996,1442,1702
1442,1688,1844
526,1344,1442
1344,1442,3280
1344,1442,3676
1344,1442,2700
1344,1442,5961
495,1344,1442
1344,1442,4190
1344,1442,7053
1344,1442,2475
1344,1442,2823
1344,1442,2744
1344,1442,1654
1344,1442,2164
1121,1344,1442
1344,1442,8046
1069,1344,1442
1344,1442,6982
1344,1442,2933
1344,1442,2337
1344,1442,3231
1344,1442,3295
1344,1442,3866
475,1442,2170
1442,2170,3676
1442,2170,3033
1442,2170,4190
1442,2170,7053
1069,1442,2170
1442,2170,3124
1442,2170,6215
1442,2170,2933
17,1442,2700
17,106,1442
17,1442,5819
304,1442,3525
304,623,1442
304,1442,1564
304,1442,2788
186,355,1442
186,1329,1442
186,1442,1564
355,883,1442
883,1442,1564
51,713,1442
713,1442,1688
1388,1389,1442
1389,1442,2149
923,996,1442
923,1060,1442
970,1031,1442
355,970,1442
970,1442,4115
970,1442,2788
970,1442,4089
970,1442,1482
970,1442,4349
21,229,1442
1442,1564,1677
309,1442,1677
1442,1482,1677
1442,1564,1824
1442,1824,3270
51,526,1442
526,1442,4365
526,1442,4115
526,1442,2788
526,1442,4349
399,1442,4115
399,1442,2788
475,710,1442
475,1329,1442
475,1442,4115
475,1442,2562
806,1329,1442
1442,3525,7413
1442,2033,3525
1442,1564,3676
1442,3676,4349
355,1442,3891
623,1442,3891
1442,1564,3891
309,1442,3891
395,1442,3891
1442,3270,3891
1442,4115,4800
1121,1442,2700
1442,2700,8046
1442,2700,7288
1442,4365,7379
51,714,1442
51,996,1442
51,1442,1564
51,1442,3414
51,1442,4182
51,309,1442
51,1121,1442
51,1442,9444
51,1442,8046
51,700,1442
1217,1442,1648
1442,1648,2788
227,710,1442
710,1442,1637
183,710,1442
710,1442,2697
1031,1442,1564
616,1031,1442
1031,1442,1665
1442,2788,4351
355,1442,4190
1060,1442,4190
1442,4349,7053
1442,3295,7053
228,1442,1564
228,1442,3902
437,1442,1564
1060,1442,2475
106,1442,4115
1060,1442,5819
21,114,1442
21,260,1442
21,509,1442
21,227,1442
21,996,1442
21,1116,1442
114,1442,2788
114,1442,3316
260,1442,1564
260,309,1442
260,1442,4089
227,1329,1442
227,1442,3185
996,1442,2823
996,1442,2744
700,996,1442
996,1442,5413
996,1442,7288
1116,1442,4349
1217,1388,1442
1388,1442,1564
355,1442,1831
623,1442,1831
1060,1442,1831
1442,1564,1831
309,1442,1831
1442,1688,1831
979,1442,1831
623,1442,2886
1442,1564,2886
1442,2886,4202
355,1217,1442
355,1442,4538
355,616,1442
355,1442,3414
355,1442,4636
355,722,1442
355,1442,3861
309,1217,1442
1217,1442,4349
1442,2149,2788
