"1,0-HhIndex","2,0-HhIndex","3,0-HhIndex"
24,14,3
21,10,0
3,0,0
3,0,0
6,3,0
27,17,0
16,5,0
5,2,0
18,5,0
8,0,0
36,24,3
25,16,4
3,2,0
9,2,0
6,2,0
10,7,0
25,12,0
19,14,0
12,4,0
8,3,0
10,4,0
25,17,3
24,14,0
13,2,0
8,2,0
2,0,0
6,2,0
5,0,0
33,22,0
12,2,0
20,8,0
13,0,0
7,4,0
16,8,0
20,6,0
5,0,0
15,2,0
7,2,0
3,0,0
19,8,3
36,23,6
9,3,0
6,0,0
14,4,0
11,2,0
8,2,0
6,0,0
6,0,0
13,4,0
3,0,0
3,0,0
34,22,8
10,2,0
2,0,0
7,3,0
2,0,0
6,0,0
10,6,0
16,8,0
4,0,0
8,3,0
5,0,0
8,0,0
11,2,0
24,12,0
14,2,0
12,2,0
4,0,0
12,4,0
2,0,0
17,4,0
21,11,0
4,0,0
2,0,0
7,2,0
19,4,0
4,0,0
2,0,0
2,0,0
3,0,0
3,0,0
8,0,0
11,3,0
14,5,0
9,3,3
9,0,0
9,2,0
7,2,0
9,0,0
5,0,0
19,2,0
13,2,0
6,0,0
10,2,0
5,0,0
7,2,0
15,2,0
17,9,0
4,2,0
7,2,0
7,0,0
10,0,0
17,3,0
17,6,0
18,9,0
11,0,0
8,4,0
4,0,0
14,5,0
8,2,0
8,2,0
7,2,0
9,4,0
2,0,0
10,5,3
21,10,0
14,4,0
4,0,0
11,2,0
14,4,0
10,2,0
7,3,0
16,10,0
11,0,0
13,0,0
3,0,0
15,4,0
8,0,0
6,0,0
12,2,0
6,0,0
4,2,0
18,0,0
26,10,0
23,15,4
30,12,0
16,6,0
5,0,0
7,0,0
3,0,0
4,2,0
4,0,0
7,0,0
19,6,0
9,0,0
8,0,0
2,0,0
3,0,0
13,2,0
12,2,0
8,0,0
5,2,0
9,0,0
5,0,0
2,0,0
17,4,0
6,0,0
7,0,0
13,0,0
6,0,0
8,2,0
11,4,0
4,2,0
8,0,0
11,0,0
8,3,0
26,10,0
5,0,0
3,0,0
2,0,0
6,0,0
8,0,0
9,0,0
5,0,0
4,0,0
2,0,0
19,3,0
8,0,0
4,0,0
13,3,0
9,0,0
6,2,0
6,2,0
12,4,0
5,0,0
4,0,0
18,12,3
31,18,3
14,4,0
5,0,0
5,0,0
4,0,0
19,5,0
3,0,0
7,0,0
9,0,0
6,0,0
4,0,0
8,2,0
7,0,0
3,0,0
7,0,0
9,2,0
5,0,0
9,2,0
7,0,0
16,5,0
3,0,0
6,0,0
14,5,0
3,0,0
10,0,0
11,0,0
12,3,0
7,0,0
7,0,0
8,0,0
5,0,0
4,0,0
18,4,0
7,0,0
8,2,0
7,2,0
6,0,0
13,2,0
16,5,0
12,2,0
17,6,0
20,7,0
5,2,0
18,2,0
8,0,0
11,0,0
7,0,0
17,3,0
5,0,0
12,0,0
11,0,0
12,4,0
6,0,0
9,0,0
3,0,0
2,0,0
49,30,4
21,10,0
2,0,0
13,7,0
3,0,0
10,2,0
7,0,0
4,0,0
3,0,0
2,0,0
2,0,0
5,0,0
6,0,0
17,0,0
7,0,0
6,0,0
4,2,0
16,10,0
4,0,0
5,0,0
3,0,0
7,0,0
15,5,0
5,0,0
13,0,0
11,2,0
2,0,0
4,0,0
18,6,0
2,0,0
12,0,0
13,0,0
9,0,0
17,7,0
8,0,0
19,2,0
15,4,0
2,0,0
10,2,0
29,14,0
7,0,0
9,0,0
8,2,0
7,0,0
3,0,0
5,2,0
9,0,0
12,2,0
30,14,0
17,5,0
13,0,0
