"0,1-d","2,1-d","3,1-d"
64,4,5
68,10,50
82,30,400
68,10,50
71,10,50
74,16,110
83,28,440
75,22,225
70,14,95
100,46,890
71,14,90
66,8,30
65,4,0
65,6,10
65,6,15
66,8,30
70,12,75
63,2,0
64,4,5
78,22,160
63,2,0
64,2,0
63,2,0
68,8,30
67,8,30
69,14,70
64,4,5
65,2,0
62,0,0
62,0,0
62,0,0
62,0,0
102,36,630
179,38,715
125,40,815
77,16,125
82,30,485
74,16,135
368,58,1150
60,2,0
262,56,1120
120,34,590
62,6,10
184,48,975
143,46,930
137,24,285
72,20,155
152,52,1045
72,20,95
60,2,0
60,2,0
70,18,155
95,36,640
62,6,5
62,6,15
71,18,70
65,10,45
76,14,95
60,2,0
62,6,15
60,2,0
61,4,5
64,10,20
65,10,15
61,4,5
62,6,15
60,2,0
59,0,0
59,0,0
63,2,0
59,0,0
60,2,0
59,0,0
61,4,5
59,0,0
59,0,0
59,0,0
59,0,0
59,0,0
59,0,0
205,4,5
95,4,5
39,12,75
336,46,605
58,30,370
230,32,510
50,20,225
152,46,610
111,28,445
120,32,485
33,8,30
40,18,180
36,12,55
39,20,125
30,6,15
30,6,15
31,8,30
28,2,0
28,2,0
32,6,15
28,2,0
19,8,30
313,8,30
8,8,30
97,8,30
163,36,630
46,6,15
74,26,380
185,34,490
352,54,940
246,48,920
168,40,695
127,42,665
121,26,345
54,6,15
62,16,135
79,32,490
66,8,30
46,6,15
55,10,50
61,4,5
50,8,20
45,4,5
44,2,0
47,6,10
45,4,5
45,4,0
44,2,0
43,0,0
43,0,0
43,0,0
44,2,0
43,0,0
43,0,0
43,0,0
186,76,1555
124,8,30
131,18,165
124,8,30
147,40,790
262,102,1805
126,12,50
122,4,5
135,16,130
151,42,770
128,16,115
143,24,235
124,8,30
128,10,50
429,98,2005
151,36,565
323,80,1660
125,6,15
128,8,30
125,6,15
127,12,40
121,2,0
125,10,40
123,6,15
245,48,910
204,42,750
124,8,30
198,58,1150
158,36,630
213,36,650
137,18,170
124,8,30
126,10,50
141,34,585
122,4,5
128,14,105
122,4,5
130,18,145
123,6,15
121,2,0
126,12,70
148,40,725
148,44,805
135,22,240
141,34,635
140,34,450
125,10,50
127,10,50
126,12,70
124,6,15
123,6,15
131,10,50
121,2,0
141,30,500
121,2,0
126,10,45
125,10,35
124,8,20
121,2,0
123,6,5
133,24,235
121,2,0
121,2,0
125,10,50
124,8,20
125,10,50
133,18,135
122,4,5
122,4,5
121,2,0
128,12,75
123,6,15
122,4,5
121,2,0
158,62,1140
128,16,130
124,8,25
139,20,130
128,12,75
124,8,30
125,10,40
122,2,0
122,4,5
120,0,0
121,2,0
120,0,0
122,2,0
120,0,0
121,2,0
121,2,0
120,0,0
120,0,0
122,4,5
122,4,5
120,0,0
120,0,0
121,2,0
120,0,0
77,10,50
28,10,50
24,12,55
214,16,100
13,4,5
13,2,0
11,0,0
97,36,625
93,38,680
208,72,1310
77,18,145
97,36,620
71,8,30
89,20,220
375,86,1920
77,20,205
77,16,135
71,8,30
73,10,50
269,74,1575
71,6,15
127,42,730
89,22,255
191,58,1135
150,44,905
144,54,1015
69,6,15
104,38,635
159,46,975
83,20,190
76,16,120
70,8,30
87,30,470
72,12,70
94,36,620
87,32,565
71,10,50
102,36,625
87,28,445
72,8,30
79,20,195
75,10,50
70,8,30
104,40,770
73,12,70
75,12,70
85,18,170
74,12,75
82,16,120
67,2,0
69,6,15
67,2,0
67,2,0
67,2,0
66,0,0
66,0,0
321,20,140
73,14,95
137,22,145
14,4,5
23,10,50
18,10,40
15,6,15
13,2,0
10,8,30
3,2,0
28,18,125
19,2,0
327,20,165
221,18,125
111,24,215
36,16,105
35,20,130
25,12,70
23,10,50
19,2,0
18,0,0
19,2,0
19,2,0
32,14,100
35,14,105
321,20,190
137,20,190
24,8,15
31,14,100
13,2,0
312,6,15
206,6,15
97,6,15
5,2,0
96,6,15
51,32,495
43,18,160
42,22,270
329,36,560
223,30,445
145,32,475
104,32,485
113,28,420
27,14,105
56,28,390
39,16,130
46,16,110
53,26,370
340,50,895
234,48,745
92,32,535
156,42,780
115,44,805
124,36,670
38,14,105
67,32,545
33,4,5
50,18,170
34,6,15
34,6,15
34,6,15
33,4,5
32,2,0
32,2,0
31,0,0
39,10,30
16,4,5
12,2,0
21,6,10
27,8,25
205,4,5
4,4,5
153,18,135
42,18,165
214,18,165
95,14,105
49,14,105
12,2,0
11,0,0
29,10,50
315,12,55
209,10,50
131,12,55
90,10,50
12,4,5
169,44,850
58,30,480
336,40,735
88,14,105
105,44,810
33,8,15
48,32,500
55,30,510
55,30,500
42,22,250
48,34,635
47,24,320
29,4,5
48,32,525
29,4,5
65,38,735
33,12,75
43,18,135
27,0,0
153,14,90
155,26,255
157,12,75
173,44,805
150,16,115
451,84,1660
173,26,325
345,72,1355
143,2,0
152,14,60
220,102,1565
180,50,770
144,4,5
146,8,30
161,24,255
163,36,610
150,14,105
144,4,5
152,16,130
148,12,70
148,10,50
170,44,755
149,12,70
149,8,25
170,44,810
157,28,290
146,8,30
144,4,5
163,36,640
162,32,450
147,10,50
149,14,95
150,16,115
144,2,0
147,10,25
148,12,70
144,2,0
144,4,5
178,24,295
163,34,530
144,4,5
143,2,0
148,12,50
148,12,75
155,22,225
151,14,105
143,2,0
151,12,65
147,10,50
147,10,50
155,14,100
150,16,105
145,6,15
152,18,120
153,16,75
180,64,1205
144,4,5
150,16,130
149,12,70
147,10,40
151,14,90
143,2,0
144,4,5
143,2,0
144,4,5
146,8,30
145,6,15
146,8,25
143,2,0
144,4,5
143,2,0
143,2,0
145,6,15
143,2,0
145,6,15
144,4,5
148,10,45
143,2,0
143,2,0
143,2,0
143,2,0
150,14,80
143,2,0
143,2,0
148,12,75
143,2,0
143,2,0
158,22,170
148,10,35
143,2,0
144,4,5
148,8,30
144,4,5
147,10,40
145,6,15
144,4,5
149,10,45
144,4,5
144,4,5
144,4,5
143,2,0
143,2,0
143,2,0
143,2,0
143,0,0
142,0,0
142,0,0
144,4,5
143,2,0
143,2,0
144,4,5
142,0,0
143,2,0
143,2,0
142,0,0
144,4,5
142,0,0
143,2,0
142,0,0
142,0,0
142,0,0
326,20,205
220,26,275
27,14,90
95,28,295
34,14,105
45,16,140
29,16,115
26,14,95
55,16,140
23,12,75
18,2,0
14,6,15
320,20,155
22,16,115
95,16,115
14,6,15
27,8,30
44,16,130
216,18,165
91,16,135
20,12,75
21,12,75
19,12,75
51,18,155
319,12,60
103,18,115
28,18,115
27,16,95
17,12,70
13,6,15
15,10,50
8,4,5
332,38,540
226,30,470
148,34,505
107,36,540
116,34,500
30,10,50
34,16,140
59,28,425
28,8,30
27,4,5
25,4,5
26,2,0
23,0,0
16,6,5
41,4,5
8,2,0
324,26,225
19,8,30
76,16,135
108,24,200
17,4,5
16,0,0
340,36,635
234,44,630
69,28,420
41,12,75
37,12,60
52,30,390
41,16,130
59,32,525
59,36,600
37,12,65
52,32,470
34,6,15
40,18,115
35,8,30
36,10,50
36,10,50
36,10,45
69,38,670
39,16,130
317,14,105
211,14,105
12,6,15
208,10,45
312,6,15
206,6,15
332,30,360
226,30,370
31,8,30
30,6,15
25,4,5
116,24,265
42,20,155
27,8,30
36,20,155
27,8,30
41,6,15
24,2,0
23,0,0
322,14,105
216,18,135
51,14,105
17,6,15
15,4,5
16,6,15
14,2,0
14,2,0
9,8,30
8,8,30
14,6,15
5,4,5
5,4,5
11,6,15
211,16,75
16,6,15
15,4,5
100,10,50
10,6,15
9,4,5
7,2,0
321,22,205
215,24,220
16,8,30
17,10,45
20,10,50
312,6,15
206,6,15
310,2,0
11,2,0
11,2,0
96,2,0
8,4,5
208,10,40
83,8,30
17,6,15
331,26,370
83,26,310
106,32,400
58,24,285
24,4,5
27,10,50
27,10,50
28,8,30
25,6,15
24,4,5
22,0,0
22,0,0
31,10,35
92,12,55
10,4,5
10,4,5
320,18,175
311,4,5
320,20,170
317,16,140
340,52,795
512,174,3170
313,8,30
319,20,205
318,18,175
319,20,205
318,14,105
370,76,1055
313,8,30
434,122,1920
318,18,175
393,80,1590
323,24,230
387,66,1245
312,6,15
318,16,140
311,4,5
322,18,160
347,44,715
402,84,1495
311,2,0
315,10,35
319,18,150
316,14,90
313,6,15
311,4,5
310,2,0
316,14,105
322,14,90
316,14,80
313,6,10
317,14,75
328,28,305
313,8,30
315,6,15
312,6,15
315,10,50
337,38,710
311,4,5
315,10,35
337,40,690
313,8,30
330,32,570
311,4,5
315,10,50
329,30,400
316,12,75
313,6,10
315,10,50
316,14,60
314,8,30
320,16,115
311,4,5
345,56,1010
330,30,445
311,2,0
312,6,10
312,4,5
325,22,150
322,22,220
314,8,25
312,4,5
318,14,105
322,18,160
322,22,240
332,28,100
312,6,10
311,4,5
311,4,5
313,8,30
310,2,0
347,48,950
312,6,15
312,6,15
317,12,70
311,4,5
310,2,0
312,4,5
320,14,45
315,12,40
311,4,5
315,10,45
328,28,285
312,6,15
314,10,45
316,10,40
313,8,30
311,4,5
312,6,15
310,2,0
317,14,80
310,2,0
312,6,5
327,14,60
325,16,120
310,2,0
310,2,0
311,4,5
312,6,15
318,14,60
314,8,30
311,4,5
312,6,10
321,24,150
311,4,5
314,10,10
311,4,5
311,4,5
310,2,0
314,8,30
326,22,155
312,6,15
312,6,10
310,2,0
311,4,5
312,6,15
315,10,30
311,4,5
311,4,5
313,8,30
314,4,5
312,4,5
311,4,5
311,4,5
315,12,35
312,6,10
310,2,0
309,0,0
309,0,0
310,2,0
309,0,0
309,0,0
310,0,0
310,2,0
309,0,0
309,0,0
312,6,15
309,0,0
310,2,0
309,0,0
310,2,0
310,2,0
309,0,0
309,0,0
310,2,0
310,2,0
309,0,0
309,0,0
309,0,0
309,0,0
310,2,0
310,2,0
309,0,0
309,0,0
311,4,5
310,2,0
310,2,0
311,4,5
309,0,0
310,2,0
309,0,0
312,6,15
312,6,15
313,4,5
310,2,0
309,0,0
309,0,0
310,2,0
310,2,0
309,0,0
313,8,30
309,0,0
312,2,0
309,0,0
309,0,0
309,0,0
310,2,0
309,0,0
311,2,0
310,2,0
313,8,15
310,2,0
310,2,0
310,2,0
310,2,0
309,0,0
310,2,0
309,0,0
309,0,0
310,2,0
310,2,0
310,2,0
309,0,0
311,2,0
309,0,0
309,0,0
309,0,0
309,0,0
311,4,5
309,0,0
309,0,0
309,0,0
309,0,0
309,0,0
309,0,0
310,2,0
309,0,0
310,2,0
309,0,0
310,2,0
309,0,0
309,0,0
309,0,0
309,0,0
309,0,0
310,0,0
309,0,0
312,6,15
309,0,0
310,2,0
309,0,0
309,0,0
310,2,0
310,2,0
309,0,0
309,0,0
309,0,0
309,0,0
312,6,15
312,2,0
311,4,5
309,0,0
309,0,0
312,6,15
309,0,0
309,0,0
309,0,0
311,4,5
309,0,0
314,10,20
309,0,0
309,0,0
309,0,0
310,2,0
309,0,0
309,0,0
309,0,0
310,2,0
312,6,15
136,22,225
95,22,225
47,20,190
19,14,95
20,12,70
12,2,0
214,16,140
34,14,105
136,20,205
104,20,205
95,4,5
72,16,120
95,18,150
18,10,45
34,10,45
212,12,65
17,8,30
102,10,50
11,4,5
11,4,5
9,0,0
211,16,140
101,16,140
206,6,15
10,4,5
22,8,30
14,4,5
234,44,755
92,26,345
156,44,675
115,34,565
37,8,30
44,10,35
69,18,170
37,10,35
50,16,110
43,14,90
35,8,30
32,2,0
33,4,5
31,0,0
32,2,0
132,10,50
21,8,30
9,2,0
211,16,90
213,20,205
212,18,175
213,20,205
212,16,105
264,44,785
211,6,15
328,78,1535
212,18,175
205,4,5
211,10,40
287,82,1465
217,18,175
281,54,975
212,16,140
207,6,15
206,6,15
216,20,170
241,46,780
296,82,1490
220,22,235
213,20,165
207,8,30
210,14,90
206,6,15
207,8,30
209,10,45
216,14,90
207,6,5
222,30,310
205,4,5
207,8,30
224,28,375
213,16,120
231,36,535
210,12,60
231,40,645
209,12,65
209,12,50
223,26,310
210,12,75
209,10,50
210,10,50
205,4,5
207,8,20
208,10,45
212,16,100
204,2,0
215,16,125
212,10,45
239,48,900
208,6,15
207,8,20
219,18,140
207,6,5
217,20,125
204,2,0
206,6,15
216,18,160
216,26,280
208,8,30
214,10,30
241,46,810
215,18,100
204,2,0
206,6,15
205,4,5
206,6,15
208,8,30
211,14,80
205,4,5
205,4,5
206,4,5
207,8,30
204,2,0
204,2,0
204,2,0
209,6,15
210,12,35
205,4,5
206,6,15
204,2,0
215,12,75
205,4,5
206,2,0
220,22,145
212,14,80
206,6,15
209,10,30
206,6,15
204,2,0
205,4,5
206,6,15
205,4,5
206,6,15
220,18,100
206,6,15
204,2,0
207,8,30
204,2,0
205,4,5
206,6,15
204,2,0
204,2,0
204,2,0
204,2,0
204,2,0
204,0,0
203,0,0
203,0,0
203,0,0
204,2,0
203,0,0
203,0,0
203,0,0
203,0,0
204,2,0
207,8,0
203,0,0
204,2,0
203,0,0
203,0,0
203,0,0
204,0,0
203,0,0
203,0,0
203,0,0
203,0,0
203,0,0
203,0,0
203,0,0
203,0,0
203,0,0
203,0,0
203,0,0
203,0,0
207,8,30
203,0,0
203,0,0
69,12,55
21,12,55
20,8,25
25,6,15
1,0,0
97,8,30
19,18,175
20,20,205
19,18,175
19,16,140
88,18,125
22,12,75
19,14,90
20,8,30
16,12,75
11,2,0
86,4,5
6,2,0
6,2,0
19,18,175
18,18,175
18,16,140
9,2,0
6,2,0
6,2,0
19,18,175
19,16,140
10,2,0
13,2,0
45,4,5
9,8,30
186,58,825
145,48,810
139,20,195
154,40,670
69,12,65
68,8,30
65,8,30
70,18,95
72,20,135
64,6,15
66,10,45
74,20,195
84,16,70
65,8,30
73,20,120
67,8,30
66,10,50
66,10,50
67,10,50
67,12,55
66,10,50
63,4,5
64,6,10
64,6,15
67,6,15
63,4,5
62,2,0
65,2,0
63,4,5
62,2,0
66,4,5
64,6,15
64,6,15
63,4,5
63,4,5
61,0,0
61,0,0
63,4,5
61,0,0
62,0,0
4,2,0
129,8,30
43,10,50
148,30,380
116,30,370
39,8,30
37,12,70
39,22,200
40,20,165
30,14,105
30,14,105
30,14,105
25,4,5
23,0,0
19,2,0
9,2,0
8,0,0
15,4,5
209,62,1365
136,6,15
218,60,1275
131,10,35
132,12,70
132,14,105
133,16,80
128,6,15
131,10,30
129,8,30
129,8,20
136,20,140
161,42,785
126,2,0
139,16,120
128,6,15
130,8,30
148,16,65
141,22,190
128,6,5
131,10,45
144,26,260
128,4,5
134,12,50
137,22,140
133,14,95
126,2,0
127,4,5
134,16,115
127,4,5
125,0,0
130,10,50
128,6,15
126,2,0
128,6,10
125,0,0
128,4,5
128,6,15
127,4,5
127,4,5
125,0,0
126,2,0
126,2,0
125,0,0
128,6,15
125,0,0
125,0,0
126,2,0
127,4,5
125,0,0
125,0,0
128,6,15
131,10,40
125,0,0
127,4,5
125,0,0
142,20,150
127,4,5
130,10,50
129,8,30
126,2,0
126,2,0
130,8,15
126,2,0
126,2,0
126,2,0
126,2,0
126,2,0
126,2,0
134,10,25
128,6,10
128,6,15
127,4,5
126,2,0
125,0,0
128,6,15
127,4,5
128,6,5
125,0,0
125,0,0
125,0,0
131,10,30
127,4,5
126,0,0
127,4,5
128,6,15
127,4,5
126,2,0
128,4,5
125,0,0
126,2,0
18,16,140
11,6,15
9,2,0
9,0,0
98,22,205
177,54,1100
91,14,105
91,12,65
94,8,30
95,18,155
85,2,0
93,16,90
120,50,940
87,6,15
87,6,15
87,6,5
87,6,15
96,18,110
100,14,105
85,2,0
87,6,15
86,4,5
88,8,30
87,6,15
90,12,60
90,12,60
87,6,15
89,10,50
89,10,50
88,8,30
86,4,5
85,2,0
91,12,60
87,6,10
92,16,105
89,8,30
93,16,115
86,4,5
86,4,5
85,2,0
90,4,0
87,6,15
86,4,5
86,4,0
86,4,5
87,6,15
90,12,50
90,10,50
86,4,5
84,0,0
85,2,0
86,4,5
89,10,50
87,6,10
50,20,175
19,10,45
18,8,30
16,4,5
116,42,645
82,8,30
82,8,30
82,8,30
99,34,550
86,14,105
106,34,605
106,38,650
93,24,265
99,32,570
98,28,405
90,22,190
114,20,210
99,32,525
87,16,110
87,18,135
86,14,95
81,6,15
88,16,100
89,12,60
116,48,945
87,12,70
82,8,30
82,8,30
80,4,5
82,8,30
82,8,30
80,4,5
79,2,0
80,4,5
79,2,0
81,6,15
84,12,75
79,2,0
84,10,45
79,2,0
86,14,80
84,12,75
94,18,145
84,8,30
80,4,5
84,8,30
83,10,40
81,6,15
80,4,5
85,10,45
79,2,0
83,6,10
78,0,0
78,0,0
79,2,0
80,4,5
79,2,0
78,0,0
79,2,0
10,0,0
4,0,0
19,6,10
46,12,65
25,14,75
14,12,45
11,6,15
94,2,0
51,10,50
25,8,20
15,4,5
13,0,0
17,4,5
17,4,0
14,2,0
12,2,0
12,2,0
12,2,0
55,24,240
59,24,315
44,12,70
66,32,490
42,8,30
41,6,10
50,14,105
51,16,140
47,14,105
44,8,30
43,10,50
48,16,105
76,30,495
45,10,50
46,10,50
40,2,0
41,6,15
39,2,0
44,10,35
106,12,75
94,2,0
100,12,75
104,18,140
129,44,760
97,8,20
96,4,5
107,16,120
106,22,240
95,4,5
99,10,10
111,30,210
95,4,5
101,14,85
95,4,5
94,2,0
98,8,30
110,30,205
102,14,80
96,6,15
94,2,0
96,6,15
110,14,95
94,2,0
94,2,0
95,4,5
95,4,5
94,2,0
100,14,100
95,4,5
93,0,0
94,2,0
93,0,0
100,12,50
94,2,0
93,0,0
94,2,0
95,4,5
95,4,5
100,14,100
96,6,15
93,0,0
99,12,75
93,0,0
95,4,0
96,4,0
93,0,0
100,14,100
95,4,5
100,14,100
23,8,20
45,14,105
23,10,40
20,6,15
19,4,5
20,0,0
15,6,5
7,2,0
14,8,30
2,0,0
13,10,50
6,0,0
4,4,5
8,8,30
8,8,30
8,8,30
6,2,0
5,0,0
5,0,0
6,4,5
12,8,30
15,12,60
10,8,30
11,10,45
18,4,5
18,8,20
19,6,15
15,4,5
16,6,15
8,4,5
9,2,0
22,4,5
6,0,0
30,8,30
11,2,0
42,8,30
25,4,5
5,2,0
31,8,30
20,6,15
11,4,5
34,10,50
8,2,0
44,10,50
47,16,140
23,8,30
20,2,0
32,18,125
23,8,30
57,16,140
22,4,5
23,8,30
9,8,30
49,30,435
42,32,465
41,22,265
42,28,400
26,10,50
37,10,50
26,10,50
59,36,605
27,12,75
4,4,5
4,4,5
9,2,0
8,4,5
8,4,5
38,14,105
38,16,130
18,12,75
4,4,5
11,10,50
11,10,50
16,12,70
35,14,80
56,34,595
49,30,510
41,16,140
31,6,15
66,38,695
35,12,55
30,4,5
28,0,0
30,4,5
28,0,0
10,6,15
12,6,15
18,8,30
12,8,30
23,4,5
4,4,5
4,2,0
10,4,5
7,2,0
49,30,500
34,10,50
40,14,105
44,14,95
30,4,5
66,40,755
36,16,130
30,4,5
28,0,0
53,20,225
19,8,30
18,6,15
16,2,0
31,12,75
15,12,65
42,30,450
26,10,50
26,10,50
59,34,635
23,4,5
21,0,0
2,2,0
40,4,5
10,2,0
41,24,320
26,8,30
25,10,35
33,18,135
58,28,385
24,8,30
25,10,40
21,2,0
43,12,75
7,0,0
5,2,0
15,14,95
13,12,75
9,4,5
4,2,0
10,6,15
14,12,75
7,2,0
6,2,0
10,6,10
9,4,5
17,8,30
8,8,30
11,10,50
6,4,5
47,16,140
17,8,30
12,2,0
13,8,30
14,10,45
8,4,5
7,6,15
6,6,15
21,14,95
15,4,5
18,12,75
21,14,75
15,10,50
15,12,55
14,10,50
11,4,5
7,4,5
16,10,45
14,6,15
41,8,30
44,14,95
37,2,0
45,16,115
37,2,0
37,2,0
23,4,5
59,30,500
27,12,75
23,4,5
21,0,0
13,4,5
3,2,0
5,4,5
44,10,45
18,8,25
10,6,15
9,8,30
8,2,0
10,10,50
21,4,5
6,4,5
5,4,5
5,4,5
54,14,95
35,8,30
23,6,15
22,4,5
17,2,0
16,0,0
16,0,0
22,10,50
18,10,40
13,4,5
5,4,5
8,6,15
7,2,0
5,2,0
21,8,30
20,8,30
31,18,100
18,8,30
16,4,5
18,4,5
23,10,45
18,8,30
4,2,0
11,4,5
4,4,5
15,12,75
9,6,15
5,0,0
15,10,50
7,6,15
43,10,50
17,8,30
14,2,0
2,2,0
30,12,60
25,4,5
39,2,0
24,2,0
25,4,5
25,4,5
24,2,0
24,2,0
25,4,5
26,6,5
28,4,5
24,2,0
23,0,0
23,0,0
25,4,5
25,4,5
23,0,0
9,4,5
2,2,0
13,6,15
17,10,50
9,2,0
21,10,45
16,10,45
14,4,5
17,8,30
15,2,0
44,8,30
18,10,50
18,10,50
17,10,50
4,4,5
9,4,5
27,10,45
21,10,50
33,20,160
21,10,50
23,14,105
23,14,105
23,14,105
8,0,0
9,0,0
9,0,0
18,4,0
13,2,0
14,4,5
13,2,0
2,0,0
8,8,30
8,8,30
2,2,0
8,8,30
2,2,0
3,2,0
21,4,0
4,2,0
7,2,0
2,2,0
6,6,15
6,6,15
9,6,15
4,2,0
7,6,15
20,6,15
10,6,15
14,6,15
14,6,15
14,6,15
12,2,0
12,0,0
8,4,5
2,2,0
4,2,0
5,4,5
2,2,0
8,4,5
18,8,30
4,4,5
10,10,50
8,4,5
7,2,0
7,2,0
6,0,0
20,2,0
21,4,0
20,2,0
3,0,0
9,8,30
8,2,0
18,4,5
19,6,15
9,2,0
6,6,15
9,6,15
11,8,30
6,6,15
6,6,15
11,10,50
11,10,50
13,10,50
10,4,5
13,4,5
4,2,0
2,2,0
4,2,0
9,6,15
13,8,30
24,8,30
11,8,30
26,14,85
35,16,95
25,14,100
25,12,70
25,14,100
21,6,15
24,12,75
25,14,100
25,14,100
23,10,50
19,6,15
9,6,15
15,12,75
15,12,75
15,12,75
15,12,75
22,12,45
16,0,0
10,10,50
12,10,50
8,4,5
7,2,0
6,6,15
12,10,50
6,6,15
12,8,30
21,10,40
14,6,15
10,2,0
9,0,0
2,2,0
11,4,5
6,4,5
15,6,15
16,8,30
17,6,15
3,2,0
7,2,0
2,2,0
7,4,5
6,2,0
6,2,0
17,10,50
11,6,15
2,2,0
7,2,0
24,12,70
20,6,15
22,10,50
2,2,0
4,4,5
23,8,30
10,8,30
8,2,0
12,10,50
11,10,50
11,10,50
8,4,5
4,4,5
22,10,50
10,10,50
2,2,0
5,4,5
8,6,10
12,6,10
5,4,5
9,6,15
7,2,0
22,10,50
19,4,5
24,14,105
24,14,105
24,14,105
21,8,30
14,8,15
7,4,5
10,2,0
9,0,0
11,4,5
9,0,0
5,4,5
1,0,0
7,4,5
1,0,0
6,6,15
6,6,15
2,2,0
2,2,0
2,2,0
6,6,15
7,6,15
6,6,15
6,6,15
7,2,0
5,2,0
7,4,5
6,4,5
3,2,0
7,6,15
7,6,15
2,0,0
6,6,15
5,4,5
5,4,5
6,6,15
14,14,105
14,14,105
14,14,105
2,2,0
0,0,0
1,0,0
4,4,5
3,2,0
0,0,0
14,14,100
13,12,75
14,14,100
14,14,100
4,4,5
12,10,50
4,4,5
13,12,75
14,14,100
14,14,100
13,12,75
13,12,75
5,2,0
3,0,0
14,14,100
2,2,0
2,2,0
5,2,0
11,6,15
7,4,5
8,6,15
9,6,15
7,2,0
7,2,0
7,4,5
6,4,5
4,0,0
4,4,5
3,2,0
5,4,5
6,4,5
4,2,0
7,4,5
2,2,0
2,2,0
2,2,0
1,0,0
2,2,0
2,2,0
2,2,0
2,2,0
4,4,5
4,4,5
4,4,5
0,0,0
2,2,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2,2,0
2,2,0
2,2,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
