"0,1-d","2,1-d","3,1-d"
103,0,0
104,2,0
103,0,0
103,0,0
103,0,0
105,4,5
104,2,0
103,0,0
104,2,0
104,2,0
103,0,0
110,14,105
110,14,105
103,0,0
110,14,105
406,2,0
408,6,15
123,6,15
10,6,15
589,56,965
444,56,990
183,34,555
108,42,770
106,48,880
101,40,780
159,42,845
105,42,775
66,40,765
181,48,875
70,36,575
348,44,785
100,18,145
164,20,205
117,42,760
60,32,465
67,34,595
46,10,50
67,32,560
54,22,235
60,38,670
46,10,50
47,12,70
60,28,445
44,10,50
44,10,50
43,8,30
77,38,745
42,6,15
42,6,15
42,6,15
40,2,0
40,2,0
39,0,0
41,4,5
41,4,5
41,4,5
39,0,0
39,0,0
560,16,105
415,20,130
24,8,30
79,12,75
130,20,130
14,8,30
16,10,45
319,12,75
13,6,15
88,12,75
557,14,105
553,6,15
553,6,5
551,2,0
637,100,1750
553,4,5
955,382,5105
564,22,190
557,12,60
554,8,20
571,34,230
602,66,1335
554,8,20
694,186,2900
557,4,5
619,114,1665
556,10,45
552,4,5
561,18,155
561,22,240
647,108,1875
560,18,170
685,152,2535
556,12,75
568,20,85
556,12,70
552,4,5
617,100,1765
558,12,55
567,22,235
612,110,1560
609,56,1155
577,36,575
593,58,975
670,136,2470
561,16,100
616,106,2220
568,20,160
562,22,200
554,8,15
570,38,575
581,42,805
558,16,55
554,8,30
577,48,885
692,216,2590
567,32,345
561,22,165
563,26,255
560,12,65
556,8,30
573,34,535
555,8,15
551,2,0
581,50,845
558,16,115
555,10,45
552,4,5
573,34,395
563,20,145
553,6,15
558,12,60
557,12,60
562,20,190
556,12,35
555,10,40
572,40,460
558,12,65
859,258,4200
552,4,5
561,22,180
559,12,65
558,16,140
552,4,5
551,2,0
555,10,35
581,48,780
557,12,65
753,224,3635
560,20,205
560,18,125
555,8,15
559,18,175
552,4,5
551,2,0
558,12,35
560,20,205
559,14,105
551,2,0
611,58,965
555,10,50
573,30,355
675,86,1710
559,18,175
558,12,40
634,104,1740
564,26,245
628,138,1895
553,6,15
559,16,140
554,6,15
552,2,0
558,16,85
552,4,5
563,22,180
561,14,30
588,74,1030
643,88,1555
567,34,310
560,20,165
554,8,30
557,14,90
554,8,15
553,6,15
551,2,0
551,2,0
554,8,30
554,8,30
554,8,30
554,8,30
552,4,5
553,6,10
563,16,100
557,14,80
554,8,30
556,10,50
569,28,295
551,2,0
553,6,15
552,4,5
554,8,30
551,2,0
551,2,0
571,38,630
558,14,105
556,12,35
551,2,0
553,6,15
556,12,70
556,12,70
578,44,775
557,12,70
553,4,5
552,4,5
552,4,5
578,50,870
565,30,290
554,8,30
556,10,50
554,8,30
552,4,5
571,34,635
556,10,50
570,34,465
557,12,75
554,6,5
551,2,0
554,8,25
553,6,15
555,10,50
554,8,30
557,14,95
553,6,10
552,2,0
558,16,115
551,2,0
556,10,50
555,6,15
557,10,50
556,12,70
561,18,155
559,12,70
553,6,15
562,24,195
551,2,0
553,6,10
586,60,1050
571,32,525
556,12,75
554,6,15
566,24,180
563,24,240
555,8,15
554,6,10
553,4,5
557,12,60
552,4,5
559,18,115
559,18,135
556,12,45
555,10,50
555,10,50
554,4,5
555,10,50
563,18,160
552,4,5
563,22,235
551,2,0
552,4,5
553,6,15
573,16,80
551,2,0
553,6,10
558,16,105
553,6,15
553,4,5
560,20,140
551,2,0
553,6,15
561,14,70
552,4,5
588,64,1220
552,4,5
558,14,105
562,14,70
551,2,0
552,4,5
553,6,15
557,12,70
552,4,5
566,20,170
552,4,5
555,10,40
558,14,80
559,14,90
562,14,70
551,2,0
552,4,5
552,4,5
552,2,0
554,8,30
554,8,30
551,2,0
553,6,15
550,0,0
550,0,0
551,2,0
552,4,5
551,2,0
554,8,30
551,2,0
552,4,0
550,0,0
552,4,5
554,8,30
552,4,0
551,2,0
552,2,0
553,4,0
551,2,0
551,2,0
554,8,30
553,6,15
551,2,0
550,0,0
550,0,0
550,0,0
551,2,0
550,0,0
550,0,0
550,0,0
550,0,0
550,0,0
552,4,5
553,6,15
553,4,5
550,0,0
550,0,0
554,8,15
550,0,0
550,0,0
552,4,5
550,0,0
561,12,60
551,2,0
550,0,0
556,10,35
554,8,25
551,2,0
552,4,5
553,6,5
550,0,0
551,2,0
552,4,5
554,8,30
