"0,1-HhIndex","2,1-HhIndex","3,1-HhIndex"
240,2,0
40,2,0
240,28,140
240,4,5
240,14,35
240,2,0
240,6,9
240,2,0
240,2,0
240,12,32
240,38,256
240,8,15
240,40,308
240,2,0
240,6,9
240,27,119
240,12,35
550,48,388
240,14,35
240,6,9
240,0,0
240,4,5
240,2,0
240,6,9
240,0,0
240,0,0
240,2,0
240,0,0
240,2,0
240,2,0
240,38,281
240,4,5
405,47,388
240,2,0
240,16,51
240,10,20
240,6,9
240,16,48
240,35,250
240,8,14
240,4,5
240,0,0
240,6,11
240,43,321
240,0,0
240,4,5
240,30,163
240,2,0
240,2,0
240,8,14
240,4,5
240,16,49
240,10,20
240,0,0
240,18,70
240,40,290
240,16,52
240,40,332
240,12,27
240,0,0
240,12,30
240,10,26
240,8,14
240,2,0
240,4,5
240,17,53
240,6,9
240,2,0
240,0,0
240,32,191
240,0,0
240,2,0
240,10,19
240,16,60
240,30,163
240,36,224
240,2,0
240,4,5
240,0,0
240,28,131
240,0,0
240,8,14
240,34,200
240,40,297
240,12,35
240,42,310
240,13,34
240,8,14
240,0,0
240,2,0
240,16,45
240,16,50
240,6,9
240,6,9
240,6,9
240,26,116
240,32,179
240,9,15
240,4,5
240,15,43
240,8,14
240,10,20
240,0,0
240,2,0
240,25,96
240,34,212
240,17,61
240,15,42
240,0,0
240,0,0
240,16,49
240,10,19
240,8,19
240,4,5
240,26,111
240,2,0
240,0,0
240,0,0
240,6,7
240,2,0
240,16,61
240,2,0
240,26,114
240,14,35
240,8,19
240,4,5
240,6,9
240,21,81
240,14,41
240,0,0
240,2,0
240,8,14
240,6,9
240,2,0
240,2,0
240,10,20
240,10,20
240,0,0
240,0,0
240,8,14
240,16,52
240,6,9
240,0,0
240,2,0
240,3,0
240,7,15
240,8,14
240,23,90
240,10,25
240,0,0
309,46,385
240,2,0
240,16,44
240,17,61
240,4,5
240,4,5
240,16,43
240,2,0
240,2,0
240,10,25
240,16,44
240,6,9
240,4,5
240,0,0
240,4,5
240,2,0
240,8,14
240,2,0
240,30,165
240,10,25
240,0,0
240,46,360
240,2,0
240,0,0
240,0,0
240,10,19
240,0,0
240,8,14
240,16,61
240,0,0
240,0,0
240,10,19
240,4,5
240,6,9
240,16,53
240,4,5
240,0,0
240,2,0
240,8,16
240,6,9
240,0,0
240,16,61
240,14,35
240,0,0
240,6,15
240,0,0
240,2,0
240,2,0
240,8,17
240,33,200
240,2,0
240,0,0
240,8,14
240,6,9
240,10,20
240,22,90
240,6,11
240,4,5
240,0,0
240,4,5
240,0,0
240,4,6
240,40,312
240,16,53
240,4,5
240,8,14
240,40,280
240,17,54
240,8,14
240,31,171
240,6,9
240,2,0
240,16,44
240,0,0
240,0,0
240,6,9
240,2,0
240,6,9
240,10,22
240,4,5
240,0,0
240,2,0
240,4,5
240,16,50
240,6,12
240,28,137
240,0,0
240,36,257
240,18,65
240,2,0
240,0,0
240,2,0
105,28,133
104,28,129
550,28,144
405,28,144
144,28,140
98,28,121
135,27,114
70,20,70
60,28,117
48,27,113
121,28,125
40,2,0
41,8,14
309,28,144
41,10,25
44,23,86
203,28,144
40,2,0
41,6,9
125,28,140
41,8,15
94,26,103
41,8,14
41,14,33
40,0,0
41,8,14
41,10,20
41,6,9
40,0,0
40,6,9
40,4,5
40,4,5
40,2,0
40,2,0
40,0,0
40,0,0
41,8,14
40,2,0
40,4,5
144,4,5
18,4,5
550,14,38
405,14,35
144,14,35
13,8,14
120,14,35
142,14,38
309,14,35
79,14,38
13,6,9
135,2,0
405,6,11
120,6,11
10,6,9
15,4,5
6,2,0
2,2,0
405,2,0
20,2,0
26,6,9
550,14,43
405,12,30
97,11,25
30,13,41
28,12,36
26,5,7
26,6,9
31,10,19
26,4,5
93,14,70
41,10,19
26,4,5
29,14,56
26,12,30
25,2,0
30,10,26
25,12,34
26,10,26
25,12,34
25,12,27
25,12,34
25,12,34
24,10,20
108,37,274
550,40,276
104,6,9
105,36,228
405,40,276
105,36,229
144,36,210
106,37,256
135,38,254
104,17,53
105,36,228
104,28,120
105,32,158
122,34,194
105,36,202
104,14,40
104,15,43
143,27,114
104,28,125
104,10,20
309,40,274
104,17,59
104,16,53
105,30,152
203,40,274
105,31,149
126,39,259
105,37,244
104,18,53
104,2,0
104,16,44
106,36,225
104,14,34
104,6,9
104,8,14
104,8,21
104,8,14
104,8,14
104,6,9
104,13,45
105,31,175
104,2,0
104,6,9
104,12,27
104,2,0
104,2,0
104,8,19
104,8,14
104,4,5
104,8,14
104,6,9
104,9,17
104,2,0
104,4,5
104,2,0
104,13,33
104,6,9
104,4,5
104,6,9
104,4,5
104,6,9
104,7,13
104,4,5
104,2,0
104,4,5
104,4,5
104,2,0
104,4,5
104,2,0
104,6,9
104,6,9
104,2,0
104,2,0
104,2,0
104,4,5
104,2,0
104,0,0
104,0,0
104,4,5
104,2,0
104,4,5
104,2,0
104,0,0
104,4,5
104,2,0
104,0,0
104,2,0
104,4,5
104,0,0
104,0,0
104,2,0
104,0,0
104,2,0
104,0,0
104,2,0
104,0,0
104,2,0
104,0,0
104,4,5
104,2,0
104,2,0
104,0,0
104,0,0
550,8,15
10,6,9
9,4,5
19,6,13
11,6,13
9,0,0
9,0,0
9,0,0
550,42,324
105,38,284
405,42,324
103,18,57
104,36,269
103,8,14
144,37,232
103,9,21
106,40,309
135,39,307
104,36,228
104,28,140
104,32,172
122,34,199
104,37,230
103,13,37
103,27,123
104,32,200
103,2,0
143,26,122
103,15,42
103,28,118
103,16,58
103,8,14
103,24,100
309,42,316
103,17,53
103,16,43
103,16,44
104,30,158
103,10,25
203,42,305
103,14,35
104,32,190
103,8,14
103,22,105
126,40,301
105,40,288
103,18,64
103,16,44
106,36,268
103,8,14
103,14,35
103,10,20
104,32,205
103,15,42
103,6,9
103,19,64
103,6,9
103,4,5
103,6,9
103,4,5
103,10,20
103,17,70
103,6,9
103,10,19
103,8,14
103,18,68
103,9,19
103,2,0
103,6,9
103,4,5
103,4,5
103,4,5
103,10,20
103,4,5
103,8,14
103,15,60
103,4,5
103,10,20
103,2,0
103,6,9
103,4,5
103,6,9
103,2,0
103,2,0
103,2,0
103,0,0
103,6,9
103,0,0
103,4,5
103,0,0
103,2,0
103,0,0
103,6,9
103,2,0
103,0,0
103,2,0
103,0,0
103,0,0
103,0,0
103,4,5
103,2,0
103,0,0
103,2,0
103,2,0
103,0,0
103,14,35
103,14,35
103,0,0
103,14,35
405,2,0
405,6,9
120,6,9
9,6,9
550,34,216
405,34,216
144,30,139
70,32,184
69,33,210
65,32,196
120,34,210
70,32,190
45,30,191
142,34,201
44,30,140
309,33,192
64,15,42
125,19,61
80,32,190
42,28,114
44,30,147
40,10,20
45,30,144
42,20,65
43,30,161
40,10,20
40,10,26
42,28,117
