"0,1-nd","2,1-nd","3,1-nd"
14463,70,25
14389,6,0
14387,0,0
14387,0,0
14403,28,25
14394,14,0
14407,32,105
14390,8,0
14387,0,0
14421,48,125
14442,54,0
14387,0,0
14389,6,0
14396,20,25
14387,0,0
14387,0,0
14388,4,0
14387,0,0
14396,10,0
14387,0,0
14388,4,0
14387,0,0
14391,10,0
14387,0,0
14401,26,30
14388,4,0
14388,4,0
14387,0,0
14387,0,0
308147,354,4140
1748,54,3760
1718,32,3510
2783,92,3855
1811,72,4070
1129,0,0
926,0,0
926,0,0
321498,5292,369220
25347,3214,327620
183001,5028,366030
16398,884,62075
20265,2980,316900
15177,352,17415
39030,3058,296290
15666,430,23035
27333,3646,358805
36355,3650,337870
21049,2474,291470
17681,1708,179690
19422,1986,231835
32542,2674,255250
22546,2782,298100
15479,644,33905
17241,1586,160040
18134,2142,242595
14611,88,0
37979,2058,171180
16310,698,59455
17419,1552,170875
16167,846,66165
15282,380,19470
16987,1332,121535
114219,4676,367645
15680,890,63695
16240,724,56365
16468,782,81790
18317,1822,206895
15462,482,25155
59869,4124,352560
16434,682,73380
21088,2328,234640
15144,382,17775
16880,1384,106180
33530,3594,341115
24815,3316,333065
16267,972,74380
16540,804,73430
26395,3060,315860
15280,310,13865
15522,622,37565
15500,486,25760
18552,2254,230260
15649,696,37660
14925,248,8255
16527,976,88960
15416,292,13820
15087,204,7510
14909,238,7385
14875,188,5430
15853,496,29065
16100,996,54855
15069,280,11685
15513,434,19125
15324,362,17300
16390,948,76735
15262,384,16755
14924,100,0
14808,238,9430
14500,132,2915
14471,116,1980
14773,196,5065
14606,280,6315
14591,176,4550
14938,320,10690
15316,766,29180
14807,198,5485
14606,280,6315
14496,92,0
14770,260,8535
14572,112,1790
14802,274,9685
14680,102,0
14680,102,0
14475,72,0
14371,0,0
14545,146,3040
14371,0,0
14442,108,1855
14371,0,0
14574,84,0
14371,0,0
14545,146,3040
14407,52,0
14371,0,0
14458,76,0
14371,0,0
14371,0,0
14371,0,0
14553,146,4050
14373,6,0
14371,0,0
14377,12,0
14382,14,0
14371,0,0
14632,376,9850
14632,376,9850
14371,0,0
14632,376,9850
169378,220,0
169511,442,7755
19052,330,7755
1655,54,7755
311433,3430,217820
172936,3298,218330
28965,1896,172845
12006,1770,189560
11883,1986,210725
11208,1770,202420
22477,2242,210235
12481,1920,202260
7368,1482,183070
27914,2358,200770
7779,1314,155495
104154,2542,205805
11023,734,61105
23465,1056,96235
13484,1874,193655
6618,1096,109880
7425,1300,162110
5682,306,23110
7443,1294,150135
6138,698,74720
6736,1298,157685
5477,284,19225
5634,334,27455
6673,1040,127915
4745,222,6795
4745,222,6795
5095,192,13565
8278,1626,179060
4955,144,5290
4868,128,3700
4868,128,3700
4320,44,0
4551,46,0
4242,0,0
4248,16,25
4248,16,25
4248,16,25
4242,0,0
4242,0,0
309118,1406,47045
170621,1350,47230
3849,162,19830
9691,524,46080
20162,814,47230
2681,102,8295
3249,134,19410
101839,952,46080
2669,78,8030
11169,578,46080
308748,1058,34255
308333,564,13965
308432,628,11715
308020,236,0
318309,4896,344945
308028,246,3440
475963,10610,583510
309191,1612,62305
309027,1254,41400
308061,294,3770
309360,1416,62525
313227,4122,313935
308269,538,10745
331992,6960,457265
308265,466,9790
315033,4724,278845
308628,858,22810
308031,254,3510
309390,1696,69115
309534,1920,92740
320295,5248,358625
308812,1146,37095
329317,6366,408365
309244,1538,57130
309096,1068,34555
308785,1084,32480
308225,466,9790
314910,4902,304140
308852,1096,32210
309705,1982,82120
314235,4624,288540
314011,3994,304260
310643,2658,179890
312384,3924,274295
325504,6350,432870
309000,1306,43520
315508,5976,451690
309624,1670,67190
309141,1414,62735
308223,452,11430
310203,2594,163790
311096,3222,240190
308383,670,16325
308619,894,23505
310395,3092,189885
330941,6316,358300
309767,2228,97150
309272,1610,60170
309244,1816,70125
308604,740,17495
308591,812,19275
310381,2544,173885
308114,362,4860
308020,236,0
310806,3246,195740
309403,1752,73680
308754,1046,32045
308026,250,3470
310207,2386,125080
309432,1680,67795
308048,296,4210
308915,1166,38315
308762,962,29195
309404,1698,67640
308124,376,4475
308738,1034,27260
309949,2182,122595
308470,792,25710
407181,9142,560755
308427,624,11715
309202,1460,57150
308537,788,24145
309430,1702,81790
308427,624,11715
308020,236,0
308276,616,15055
311279,3442,229420
308424,678,25155
352831,8232,514440
308820,1190,38320
308454,928,20640
308567,776,18635
308796,1152,37510
308046,274,3685
308020,236,0
308637,848,20195
308820,1190,38320
309396,1632,73380
308020,236,0
314050,3616,251610
308629,910,22595
309842,1920,102995
326492,5120,368370
308796,1152,37510
308336,578,12225
317777,4886,347870
309229,1526,74700
316511,5100,297775
308740,892,22575
308787,1106,36075
308379,662,17305
308024,238,0
308625,954,20810
308025,246,3440
309502,1702,77850
308329,466,9520
311506,3758,212640
319357,4628,322690
309547,2032,88645
309196,1530,64010
308450,712,15040
